Phrases,Reading,Translation
溢れていた,あふれていた,It was overflowing.
出ていた,でていた,I was out.
怠るな,おこたるな,Don't neglect it.
入浴する,にゅうよくする,Take a bath.
買って帰ろう,かってかえろう,Let's get it and go home.
参りました,まいりました,Here I come.
面白くなってきた,おもしろくなってきた,It's getting interesting.
分けられた,わけられた,Have been divided.
泊まろう,とまろう,Let's stay here.
許可される,きょかさせる,Be permitted.
言い出す,いいだす,Start talking.
書かせる,きかせる,Let someone write.
よく言われるんですけどね,よくいわれるんですけどね,I got told that a lot.
ドヤ顔してるつもりないんですけれども,どやがおしてるつもりないんですけれども,"I don't mean to be smug, but..."
もしかしたら思っているから,もしかしたらおもっているから,Maybe because I'm thinking it.
内心成功したぜ,ないしせいこうしたぜ,I've succeeded on the inside.
送っていただけると嬉しいです,おくっていただけるとうれしいです,I would appreciate it if you could send it to me.
お待ちしております,おまちしております,We'll be waiting for you.
ボタンから送ることもできます,ぼたんからおくることもできます,You can also send it via the button
温泉にやってきました,おんせんにやってきました,We came to the hot springs.
雪が残ってますね,ゆきがのこってますね,There's still snow.
あらかじめカットしておく,あらかじめかっとしておく,Cut them in advance.
今度やってみようかな,こんどやってみようかな,Maybe I'll try it next time.
飽きたし,あきたし,I'm tired of it.
焚き火して,たきびして,Make a bonfire.
夜更かししたり,よふかししたり,And staying up late.
絶妙に混ざりあって,ぜつみょうにまざりあって,Exquisitely mixed.
食べ過ぎだろ,たべすぎだろ,You eat too much.
そんなやり方あったんだ,そんなやりかたあったんだ,I didn't know that was how it was done.
いつもきな粉零しちゃうんだよ,いつもきなここぼしちゃうんだよ,I always spill soybean flour.
絡めようとして,からめようとして,I'm just trying to mix it together.
火を起こしていきたいと思います,ひをおこしていきたいとおもいます,I'd like to make a fire.
オシャレ感が増しました,おしゃれかんがましました,It's more stylish.
映えを意識した設置となっております,はえをいしきしたせっちとなっております,The installation is designed to look good.
火がついてきました,ひがついてきました,It's catching fire.
薪を持ってきてくれました,まきをもってきてくれました,He brought me some firewood.
本気で照れる,ほんきでてれる,It's really embarrassing.
順調に炎は燃え上ってきています,じゅんちょうにほのおはもえあがってきています,The flame is burning steadily.
消えたなあ,きえたなあ,It's gone.
火吹き棒で再熱を試みる,ひふきぼうでさいねつをこころみる,Trying to reheat with a fire blowtorch
対面授業を受けに行った,たいめんじゅぎょうをうけにいった,I went to take a face-to-face class.
一番奥の席を確保しました,いちばんおくのせきをかくほしました,I got a seat at the far end.
そんなに苦手なら買わなきゃいいのに,そんなににがてならかわなきゃいいのに,"If you're that bad at it, you shouldn't buy it."
一緒に行こう,いっしょにいこう,Let's go together
彼は何度も繰り返して言った,かれはなんどもくりかえしていった,He said it over and over
その手紙を３回も繰り返し読んだ,そのてがみをさんかいくりかえしよんだ,I read the letter three times
単語を繰り返して書く,たんごをくりかえしてかく,Write the word repeatedly.
透けちゃった,すけちゃった,It's transparent.
透けちゃうのか,透けちゃうのか,It's transparent?
奥に入っちゃいました,奥に入っちゃいました,I'm in the back.
こういう見方じゃないですか？,こういうみかたじゃないですか？,Isn't this how you see it?
座ってやってみますか,すわってやってみますか,Shall we sit down and try?
肩甲骨は離れて広がっている,けんこうこつははなれてひろがっている,Shoulder blades spread apart.
右を向く,みぎをむく,Turn to the right.
後ろを向いて彼を見る,うしろをむいてかれをみる,Look back at him. 
南を向いた部屋,みなみをむいたへや,A room facing south 
そのホテルは海に向いている,そのほてるはかいにむいている,The hotel faces the sea.
その窓は庭に向いている,そのまどはにわにむいている,The window opens onto the garden.
女性に向いた仕事,かのじょにむいたしごと,A job suitable for a woman 
この土地は石が多くて農業には向かない,このとちはいしがおおくてのうぎょうにはむかない,These fields are too rocky for farming.
鏡に向かう,かがみにむかう,Look in a mirror.
彼は大群衆に向かって演説を始めた,かれはだいぐんしゅうにむかってえんぜつをはじめた,He faced the large crowd and began to make a speech.
駅に向かってるとこだよ,えきにむかってるとこだよ,I'm on my way to the station.
彼は私に向かってくる,かれはわたしにむかってくる,He comes to me.
今向かってます,いまむかってます,I'm heading over there now.
右を向いてください,みぎをむいてください,Turn to the right.
この服は寒い冬の日には向かない,このふくはさむいふゆのひはむかない,These clothes are not appropriate for a cold winter day.
公園の方に足を向けた,こうえんのほうにあしをむけた,I walked toward the park.
彼はその絵に目を向けた,彼はそのえにめをむけた,He turned his attention to the picture.
彼に背中を向ける,かれにせなかをむける,Turn one's back on him.
銃を彼に向ける,じゅうをかれにむける,Aim one's gun at him.
こっちに顔を向けなさい,こっちにかおをむけなさい,Turn your face this way
ふさわしい講座をお選びいただくために,ふさわしいこうざをおえらびいただくために,To help you choose the right course
出てくるかな？,,Do you think it'll come out?
納豆はさすがに探しても売ってませんでしたね,,"Natto is not sold, even though I looked for it."
アメリカでも日本酒は人気出てきてるよ,,Sake is becoming more and more popular in the US.
日本食食べたくなりますからね,,It makes me want to eat Japanese food.
お味噌汁飲みたい,,I want to drink miso soup.
お寿司食べたい,おすしたべたい,I want to eat sushi.
恋しくなるんですよ,こいしくなるんですよ,I miss it!
時代は変わってきてるんですかね,,"Times are changing, aren't they?"
探せばあるんでしょうけどね,,I'm sure it's out there if you look for it.
サーモンを出して頂いて,,They served me salmon.
マスクを着用し,,Wear a mask.
日光鬼怒川スパホテル三日月 さんに宿泊いたします,,We will stay at Nikko Kinugawa Spa Hotel Mikazuki.
では早速館内を散策してみましょう,ではさっそくかんないをさんさくしてみましょう,Let's take a walk around the building at once
ではテラスに出てみます,,I'll go out on the terrace.
こちらは水盤テラスです,,This is the water table terrace.
では早速座布団をしいて,,"Now, let's put the cushions on."
足湯を利用したいと思います,,I'd like to use the footbath.
早速足湯に浸かってみます,,I'm going to take a soak in the footbath right away.
疲れが癒されました,,My fatigue was relieved.
エレベーターを使って７階まで 上がります,,Take the elevator up to the seventh floor.
お部屋に到着しました,,We've arrived at our room.
では早速開けてみたいと思います,,"Now, I'd like to open it right away."
窓からの眺めはこんな感じです,,Here's the view from the window.
鬼怒川駅方面が見える感じですね,,You can see the direction of Kinugawa Station.
はいもうちょっと探検していきます,はいもうちょっとたんけんしていきます,"Yes, I'll explore some more."
お布団が入っております,,It contains some futons
朝ごはんが到着しました,,Breakfast has arrived.
しばらくゆったりまったり過ごします,,I relaxed and took it easy for a while.
釜飯が出来上がりました,,Kettle rice (Kama-meshi) is ready!
盛り付けました,,I served it up (dished up).
