Kanji,Reading,Meaning,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16
乗,"JOU, no-ru, no-ri no-seru","ride, get on",乗用車 じょうようしゃ passenger car,"乗客 じょうきゃく passenger, fare",乗務員 じょうむいん train man,乗馬する じょうばする ride a horse,試乗 しじょう trial ride,便乗する びんじょうする take advantage of the opportunity,乗車する じょうしゃする take a train,乗船する じょうせんする embark,乗降 じょうこう boarding and alighting,乗り換え のりかえ transfer,乗り越し のりこし riding past one’s stop,乗っ取る のっとる hijack,乗り物 のりもの vehicle,乗り込む のりこむ board,"乗せる のせる give a ride, place on something",乗る のる to ride
再,"SAI, SA, futata-bi",another time,再度 さいど another time,"再開 さいかい reopening, resumption","再来 さいらい return, second coming","再現する さいげんする reenact, reproduce",再三 さいさん again and again,"再興 さいこう revival, restoration","再生 さいせい reclamation, regeneration",再婚 さいこん remarriage,再来週 さらいしゅう the week after next,再来月 さらいげつ the month after next,再来年 さらいねん the year after next,再び ふたたび again,再び読む ふたたびよむ read again,,,
復,FUKU,return to,"復活 ふっかつ revival, rebirth, resurrection","復旧 ふっきゅう restoration, recovery","復職 ふくしょく reinstatement, resumption of office",復元 ふくげん restoration to original state,"回復 かいふく recovery, restoration, rehabilitation","復帰する ふっきする return, be restored, revert",復路 ふくろ return trip,"往復 おうふく going and returning, round trip",復習 ふくしゅう review,"復刻する ふっこくする republish, reissue","復文 ふくぶん retranslation, reply letter","反復 はんぷく repetition, reiteration",,,,
順,"JUN, yori, yoshi, yuki, nori, nobu","order, obey","順番 じゅんばん order, turn","順序 じゅんじょ order, sequence, system, procedure","順位 じゅんい order, rank, precedence","順々に じゅんじゅんに by turns, in order",順路 じゅんろ suggested route,筆順 ひつじゅん stroke order,"道順 みちじゅん route, itinerary","手順 てじゅん procedure, program, process",先着順 せんちゃくじゅん order of arrival,年齢順に ねんれいじゅんに by age priority,"順守する じゅんしゅする observe, obey, follow",順法 じゅんぽう law observance,"順調 じゅんちょう favourable condition, smooth progress",順風 じゅんぷう favourable wind,"順当な じゅんとうな proper, right, reasonable","順に じゅんに in order, by turns"
収,"SHUU, osa-meru, osa-maru","take in, income, obtain, reap, pay, supply, store","収容する しゅうようする accommodate, receive guest","収納 しゅうのう storing, harvesting","収穫 しゅうかく harvest, harvesting","吸収 きゅうしゅう absorption, assimilation","買収 ばいしゅう buying up, purchasing","回収する かいしゅうする collect, recover","収録する しゅうろくする collect, record","収集する しゅうしゅうする collect, gather",徴収する ちょうしゅうする collect taxes,"収入 しゅうにゅう earnings, income","収益 しゅうえき profit, proceeds",収得する しゅうとくする take possession of,領収 りょうしゅう receipt,月収 げっしゅう monthly income,"収める おさめる gain, obtain, achieve, attain","収まる おさまる be put back in place, be restored"
件,KEN,matter,"一件 いっけん matter, affair, item","用件 ようけん matter (of business), things to be done","人件費 じんけんひ personal expenses, labor cost","条件 じょうけん condition, terms, proviso","案件 あんけん matter, case, item","別件 べっけん separate case, another matter",件数 けんすう number of cases,五十件 ごじっけん 50 cases,例の件 れいのけん the matter you have been talking about,"事件 じけん event, affair",利用条件 りようじょうけん terms of use,"物件 ぶっけん article, thing, object",労働条件 ろうどうじょうけん working conditions,無条件 むじょうけん unconditional,検索条件 けんさくじょうけん search criteria,
冷,"REI, tsume-tai, hi-eru, hi-yasu, sa-meru, sa-masu",cold,"冷気 れいき cold air, cold, chill",冷水 れいすい cold water,冷房 れいぼう air conditioning,"冷凍 れいとう freezing, cold storage","冷却 れいきゃく cooling, refrigeration",冷蔵 れいぞう cold storage,"冷酷な れいこくな cruel, unfeeling","冷静な れいせいな cool, calm, cool-headed",冷たい つめたい cold (to touch),"冷える ひえる cool down, grow cold, feel chilly","冷え込む ひえこむ get colder, get chilled","冷やす ひやす cool, chill, refrigerate","冷める さめる cool off, get cold, cool down, subside","冷ます さます cool, let cool",冷や汗 ひやあせ cold sweat,"冷ややかな ひややかな cold, chilly, frigid, indifferent"
値,"CHI, ne, atai",value,"価値 かち value, merit",数値 すうち numerical value,絶対値 ぜったいち absolute value,平均値 へいきんち mean value,値が張る ねがはる be expensive,値段 ねだん price,値打ち ねうち price hike,"値切る ねぎる beat down the price, bargain","値引き ねびき reduction in price, discount",高値 たかね high price,仕入れ値 しいれね cost price,"値する あたいする be worth, deserve, merit",価値観 かちかん sense of values,偏差値 へんさち deviation value,値上げ ねあげ price increase,終値 おわりね closing price
修,"SHUU, SHU, osa-meru, osa-maru","cultivate, repair","修養する しゅうようする cultivate one’s mind, improve oneself",修了 しゅうりょう completion (of course),"修行 しゅぎょう training, study",修学旅行 しゅうがくりょこう school excursion,修士 しゅうし master’s degree,研修 けんしゅう study and training,"必修 ひっしゅう required, compulsory","修正 しゅうせい amendment, revision, improve","修理 しゅうり repair, mending",修復 しゅうふく restoration,"修繕する しゅうぜんする mend, repair","改修する かいしゅうする repair, improve",,,,
意,I,"idea, mind, heart, thought, taste, desire, liking, care","意味 いみ meaning, significance","注意 ちゅうい notice, caution, attention","意志 いし will, volition, intention","意識 いしき consciousness, awareness","意見 いけん opinion, view, comment","用意 ようい preparation, arrangements","得意 とくい satisfaction, pride, triumph, one’s strong point",,,,,,,,,
