W1,W2,W3,W4,W5,W6
人uman,未ending,凹ollow,忘forget,努ffort,逝emise
人erson,未ot yet,円en,忘blivion,努xert,磁agnet
入nter,末atter-part,円ircle,妄elusion,怒ngry,磁orcelain
入ut-inside,末nding,全ntir,妄houghtless,怒esent,慈ffection
火ire,抹ross-out,全hole,画icture,感eelings,慈enevolence
火lame,抹ipe-out,全omplete,画ainting,感motions,滋ourishment
六ix,日ay,金oney,価alue,憾egret,滋uxuriant
八ight,日un,金etal,価rice,憾eplore,疑oubt
穴ole,日apan,金old,面ace,減ecrease,疑uspicion
穴avity,百undred,栓ork,面urface,減educe,擬mitation
乙art B,白hite,栓topper,捜earch,減inus,擬imulation
乙econd group,可ossible,廷mperial cour,捜ook for,図ketch,凝tiffen
己elf,可pproval,艇oat,押ushing,図rawing,凝arden
己ne's own,拘rrest,艇essel,押ressing,脳rain,芽prout
忌ourning,拘dherence,庭arden,抽ulling,脳erebral,芽aplings
忌bhour,句hrase,年nnual,抽xtract,悩istress,雅raceful
太hick,句erse,年ear,昆nsect,悩nguish,雅legant
太bese,四our,缶an,混ixture,漁ishing,邪vil
犬og,匹[animal],缶anister,混lending,魚ishes,邪ad
犬anine,西estern,岳ummit,皆veryone,魚eafoods,勇ourage
大arge,西uropean,岳ountain peak,皆verything,無othing,勇ravery
大rand,矢rrow,岩ock,革eform,無ithout,通assing
大ig,矢art,炭oal,革eather,無bsence,通ommunicate
士entleman,医edicine,炭ignite,靴ootwear,隻[ships],痛ainful
士ighter,医octor,岸oastal,靴hoes,隻ne of a set,痛njury
土round,失ailure,岸seashore,華lower,集ather,振wing
土oil,失issing,正orrect,華hina,集ollect,振remble
仕ervice,冊[books],正ccurate,殻usk,進dvance,娠regnancy
仕ction,血lood,正recise,殻hell,進rogress,娠onception
水ater,血leeding,整ectify,穀ereal,筒ipe,震remble
水qua,皿late,整ut in order,穀rain,筒ube,震arthquake
氷reeze,皿ish,征onquest,款rticle,菌acteria,微light
氷ce,盟lliance,征onquer,款goodwill,菌isease,微inute
永ong-lasting,盟onfederacy,波aves,編diting,箇[objects],徴emand
永ternal,月onth,波urrent,編nitting,箇[places],徴ymptoms
主aster,月oon,婆ld woman,偏ncline,誓ledge,懲enalty
主rincipal,明right,婆randma,偏artial,誓wear,懲unitive
玉phere,明lear,渡ross-over,遍idespread,誓vow,薄hin
玉ewel,凸rotrude,渡and-over,遍ervasive,哲isdom,薄ight
王ing,凸onvex,忙usy,奴ellow,哲hilosophy,簿edger
王onarch,凹oncave,忙ectic,奴olleague,逝eath,簿ecord
