W1,W2,W3,W4,W5,W6
買う,続ける,漕ぐ,沿う,会う,見る
負う,向かう,認める,次ぐ,御座る,立つ
飲む,受ける,追う,見える,従う,仕舞う
沸く,示す,変える,効く,解く,飼う
開く,書く,合う,押す,願う,関する
含む,持つ,起こる,住む,焼く,考える
掛かる,下さる,行く,退く,分かる,与える
出来る,言う,這う,聞く,生まれる,遭う
置く,轢く,付く,注ぐ,上げる,言う
点く,請う,為る,向く,伝える,残る
浮く,入る,気付く,打つ,関わる,頂く
継ぐ,感じる,取る,待つ,覚える,泣く
付く,読む,続く,拭く,知れる,帰る
対する,引く,掛ける,見せる,剥ぐ,選ぶ
脱ぐ,湧く,乗る,敷く,抜く,欠く
問う,居る,蒔く,剥く,当たる,掃く
炊く,開く,送る,添う,勧める,終わる
拠る,立てる,変わる,忘れる,始める,掻く
突く,研ぐ,現われる,貸す,焚く,決める
来る,思う,成す,死ぬ,出す,就く
話す,溶く,遣る,就く,吐く,走る
呉れる,違う,切る,付ける,行く,教える
止める,出る,生きる,呼ぶ,成る,吸う
歩く,書く,履く,描く,置く,食べる
売る,有る,働く,撒く,過ぎる,接ぐ
縫う,巻く,動く,作る,答える,描く
渡る,入れる,知る,着く,得る,求める
行う,始まる,買う,空く,進む,説く
行く,嗅ぐ,述べる,弾く,笑う,引く
酔う,戻る,吹く,聞く,貰う,裂く
咲く,会う,舞う,使う,済む,為さる
