K1,M1,N1,W1,K2,M2,N2,W2,K3,M3,N3,W3,K4,M4,N4,W4,K5,M5,N5,W5
上,"above, up",a,上げる。上がる,上,"above, up",nobu,上る。上せる,生,life,i,生きる。生かす。生ける,生,life,u,生まれる。生む,生,life,ha,生やす。生える
生,life,na,生る。生す,流,flow,naga,流れる。流す,見,see,mi,見る。見える。見せる,出,"leave, go out","de, da",出る。出す。出かける,寝,sleep,ne,寝る。寝かす
言,say,i,言う,買,buy,ka,買う,使,use,tsuka,使う,歌,sing,uta,歌う,洗,wash,ara,洗う
会,meet,a,会う。会わせる,違,differ,chiga,違う。違える,習,learn,nara,習う,吸,breathe,su,吸う,思,think,omo,思う
着,wear,ki,着る。着せる,着,arrive,tsu,着く,掛,hang,ka,掛ける。掛かる,借,borrow,ka,借りる,降,descend,o,降りる
降,fall,fu,降る,勤,serve,tsuto,勤める。勤まる,浴,"bathe, pour on",a,浴びる。浴びせる,締,"fasten, tie",shi,締める。締まる,居,"exist, to be","i, o",居る
払,pay,hara,払う,合,"fit, suit",a,合う。合わす。合わせる,笑,laugh,"wara, e",笑う。笑む,向,face,mu,向かう。向く。向ける,行,"perform, conduct",okona,行う
行,go,"i, yu",行く,通,go back and forth,kayu,通う,通,pass through,too,通る。通す,拾,pick up,hiro,拾う,失,lose,ushina,失う
食,eat,"ta, ku",食べる。食う,教,teach,"oshi, oso",教える。教わる,忘,forget,wasu,忘れる,起,"wake up, rouse",o,起きる。起こす。起こる,入,"enter, insert","hai, i",入る。入れる
疲,tired,tsuka,疲れる。疲らす,開,open,a,開く。開ける,開,open,hira,開く,付,attach,tsu,付く。付ける,覚,remember,obo,覚える
知,know,shi,知る。知らせる,比,compare,kura,比べる。,問,ask,to,問う,選,choose,"era, yo",選ぶ。選る,呼,call,yo,呼ぶ
迫,approach,sema,迫る,変,change,ka,変わる。変える,勝,"win, excel","ka, masa",勝つ。勝る,保,"keep, preserve",tamo,保つ,聞,"hear, listen, ask",ki,聞く。聞こえる。聞かす
作,make,tsuku,作る,残,left,noko,残る。残す,許,"permit, allow",yuru,許す,抑,"restrain, keep within limits",osa,抑える,限,"limit, restrict",kagi,限る
示,"show, indicate",shime,示す,贈,"presents, give",oku,贈る,奪,snatch away,uba,奪う,追,"chase, drive away",o,追う,分,"divide, understand",wa,分ける。分かれる。分かる
離,"separate, detach",hana,離す。離れる,踏,"step on, based on",fu,踏む。踏まえる,打,hit,"u, bu",打つ,放,"throw, toss, release","hou, hana",放る。放す。放つ。放れる,訪,"visit, call on","tazu, otozu",訪ねる。訪れる
遭,meet,a,遭う。遭わせる,負,bear,o,負う,負,defeat,ma,負ける。負かす,飼,"keep, raise",ka,飼う,請,"request, beg",ko,請う
