W1,W2,W3,W4,W5
きれい,椅子,飲みすぎる,そら,区
おかね,家,どうぞ,会社,嫌い
土曜日,いろ,運動,交番,授業
醤油,午前,セーター,どうも,ふとい
教室,花瓶,さかな,近く,法律
おいしい,でかける,ゆうがた,辛い,入れる
朝,背広,辛い,たくさん,とても
いっさくねん,五日,病院,嫌い,最後
テープ,ちかい,西,運転,きいろい
涼しい,歳,シャツ,以上,先
金曜日,五つ,いろいろ,牛乳,出る
それで,黒い,話,えいが,私
大使館,覚える,少し,下,病院
カメラ,郵便局,きょうだい,もの,かわ
低い,する,ゆうめい,上,せん
出かける,晩,どうして,来月,うみ
きっさてん,ときどき,やすみ,先生,へや
足,意味,灰皿,青,出す
ごご,大人,お父さん,二,本
答える,男,あちら,左,起きる
あそぶ,トイレ,父,食べ物,それ
日記,降りる,地下鉄,公園,近い
東,鼻,詰まらない,ふく,喫茶店
先週,プール,年,お弁当,会う
おばあさん,一昨年,きいろ,来週,立派
右,来年,外国,今,砂糖
いえ,カレー,そして,熱い,走る
子供,鳥,呼ぶ,辞書,はな
タクシー,寝る,歌う,全部,終わる
字引,大変,一日,洋服,しまる
箸,全部,夜,家庭,使う
痛い,はる,耳,つとめる,はなす
図書館,後ろ,絵,広い,ちいさい
会う,郵便局,どこ,そうして,前
よむ,灰皿,ニュース,てがみ,お酒
遅い,天気,晩御飯,一昨日,煙草
えき,先生,明日,自動車,沢山
コーヒー,町,大変,コート,ええ
おわる,牛肉,いたい,張る,散歩
お腹,て,太い,毎日,花
らいしゅう,塩,遠く,西,向こう
奇麗,ごぜん,廊下,階段,犬
遠い,緑,こうえん,今朝,辛い
十日,いい,傘,ラジオ,書く
かど,一昨年,始め,暇,どようび
おそい,店,玄関,地図,家族
うるさい,レコード,けす,左側,時々
飲物,水,ことし,春,飛行機
部屋,洋服,いそがしい,待つ,入る
番号,朝ご飯,狭い,お金,隣
丈夫,病院,約束,机,もつ
箱,かわいい,ほんだな,だいたい,おふろ
兄,だんだん,アパート,大丈夫,使う
暗い,晴れる,悪い,忙しい,元気
速い,経済,面白い,帰る,学校
気温,電話,テープレコーダー,色,眼鏡
せびろ,作る,書く,さらいねん,左
テープレコーダー,理由,茶碗,なのか,今でも
日本人,八つ,昼,門,ちょっと
簡単,五月,もん,務める,かるい
ボールペン,今週,本,眼鏡,そと
セーター,封筒,カレンダー,聞く,わかる
伯母さん,少ない,お巡りさん,意味,二十日
庭,飴,生まれる,雨,買う
よく,色,お手洗い,後,毎年
やる,きれい,雨,しょうゆ,住所
あつい,いつも,銀行,いい,紅茶
たまご,撮る,紙,毎年,すると
明るい,キログラム,着く,貿易,朝ご飯
でんわ,どれ,豚肉,難しい,予約
並ぶ,木,置く,月曜日,また
こども,学校,大学,体育館,かわいい
また,宿題,持つ,それから,バス
横,下りる,ゆっくり,電気,デパート
たべる,大きい,高い,危ない,なぜ
しめる,れい,貸す,初めて,雑誌
向こう,姉,並べる,かびん,のみもの
