Sentences,Remarks
高かったら、買いません,"⚭ I-Adj-i + kattara【if, if it were, if it is】"
欲しかったら、差し上げます,"⚭ I-Adj-i + kattara【if, if it were, if it is】"
よかったら、明日電話をします,⚭ Yokattara【if it’s okay (with you)】
金持ちだったら、よかったと思います,"⚭ No・Na-Adj + dattara【if, if it were, if it is】"
明日暑ければ、泳ぎに行きましょうか,⚭ I-Adj-i + kereba【if it is】
静かであれば、昼寝ができるでしょう,⚭ No・Na-Adj + de areba【if it is】
病気ならば、休んだ方がいいと思います,⚭ No・Na-Adj + naraba【if it is】
コーヒーは暑ければ、暑いほどいいと思います,⚭ I-Adj-i + kereba + adj + hodo【the more adj the better】
便利なんらば、便利なほどいいです,⚭ No・Na-Adj + naraba + adj + na + hodo【the more adj the better】
コーヒーが暑ければ、よかったです,"⚭ I-Adj-i + kereba + yokatta desu【it would be better if it were, i wish it were】"
