Expression,Translation
おはようございます。,Good morning.
お水をお願いします。 【何かを頼む】,"Can I have some water, please?  【ask for something】"
痛い。,Ouch.
おはようございます。,Good morning.
はじめまして。スミスと申します。,Nice to meet you. My name is Smith.
ありがとうございます。,Thank you very much.
ちよっとお願いしたいことがあるんですが。,I have a small favor to ask you.
よかったら、今度、食事に行きませんか。,Would you like to have dinner with me sometime?
いいですね。,That sounds great.
一つ聞いてもいいですか。,May I ask you one question?
早めにチェックインして、街を散歩しませんか,Why don't we check in early and go for a walk around town?
少し暑いですね。窓を開けましょうか,It's a little hot. Shall I open a window?
どうしたんですか。,What's wrong?
がんばってください。,Good luck.
すごくよかったです。,It was very good.
これはひどいです。,This is terrible.
航空券の予約をしたいんですが。,I'd like to book a plane ticket.
もっと安いのはないですか。,Is there anything cheaper?
私はミラーです。,I am Miller.
私は納豆が好き・嫌いです。,I like/dislike natto.
今日は暑いですね。,It is hot today.
京都には、和風の旅館がたさんあります。,There are many Japanese-style inns in Kyoto.
水が飲みたいです。,I want to drink water.
これは去年ハワイで買ったシャツです。,This is a shirt I bought in Hawaii last year.
先に行ってください。,Please go ahead.
今度、一緒に秋葉原に行きませんか。,I'd like to go to Akihabara with you next time.
寒いからセーターを着ます。・暑いからセーターを脱ぎ ました。,"It's cold, so I'll put on a sweater. It is hot, so I took off my sweater."
まだ雨が降っています。,It is still raining.
ATMに寄ってから行きます。,I'll stop by an ATM before I go.
あれっ、もう全部飲んじゃったの?,"Oh, did you drink all of it already?"
スリッパをはいたままタタミの部屋に入ってはいけません。,Do not go into the tatami room with your slippers on.
いつも音楽を聴きながら勉強します。,I always listen to music while I study.
中に入ってもいいですか。いえ、 ここに入ってはいけません。,"May I come in? No, you can't come in here."
京都は行ったことがありますが、奈良はまだありません。,"I have been to Kyoto, but not Nara yet."
これは生で食べられますか。,Can I eat this raw?
どこに旅行に行きましょう(か)。,Where shall we travel?
パーティーの準備をしておいてください。,Please be prepared for a party.
よし、次はがんばろう。,"Okay, let's do our best next time."
あの角を曲がると、ピザ屋があります。,There is a pizza place around the corner.
ネットにつながらなくて、困っています。,I am having trouble connecting to the Internet.
田中さんにオーストラリアのお土産をあげました。,I gave Mr. Tanaka a souvenir from Australia.
忙しいのに、大丈夫ですか。,"Are you all right, even though you are busy?"
