Situation,Expression,Meaning,Usage,S1,S2,S3
Tense.Situation,とき,When,⚭ Vplain.I.Na+na.N+no,母は本を読むとき、めがねをかけます。,地震のときは、すぐに火を消しなさい。,
Tense.Situation,ながら,While,⚭ Vnn,わたしはいつも料理の本を見ながら料理を作ります。,発音のテープを聞きながら、日本語の勉強をした。,
Tense.Situation,あいだ,Throughout the time,⚭ Vru.Vteiru.I.Na+na.N+no,わたしは夏の間、ずっと北海道にいました。,両親が旅行をしている間、ぼくが毎日食事を作りました。,
Tense.Situation,あいだに,"During, When",⚭ Vru.Vteiru.I.Na+na.N+no,夏休みの間に引っ越ししたいです。,暇な間に本だなをかたづけてしまおう。,
Tense.Situation,ところだ,"About to, In the midst of, Just",⚭ Vru.Vteiru.Vta.Vteita,時刻は間もなく３時になるところです。,ご飯を食べているところに電話がかかってきた。,
Tense.Situation,おり（に）,Whenever there is an occasion,⚭ Vplain.I.Na+na.N+no,このことは今度お目にかかった折に詳しくお話しいたします。,このことは今度お目にかかった折に詳しくお話しいたします。,
Tense.Situation,さい（に）,"When, On the occasion of",⚭ Vplain.I.Na+na.N+no,非常の際はエレベーターを使わずに、階段をご利用ください。,国を出る際に、友人、知人からたくさんのお金を借りたのです。,
Tense.Situation,において,"In, At",⚭ N,式典は４あ会館において行われる予定。,この植物は、ある一定の環境においてしか花を咲かせない。,
Tense.Situation,にあたって,On the occasion of,⚭ Vru.N,新学期にあたって、皆さんに言っておきたいことがあります。,研究発表をするにあたって、しっかり準備をすることが必要だ。,
Tense.Situation,うちに,Before you know it,⚭ Vru.Vteiru.Vnai.N+no,今は上手に話せなくても練習を重ねるうちに上手になります。,ふと外を見ると、気がつかないうちに雨が降り出していた。,
Tense.Situation,さいちゅう（に）,In the middle of,⚭ Vteiru.N+no,新入社員の小林さんは、会議の最中にいねむりを始めてしまった。,今考えごとをしている最中だから、少し静かにしてください。,
Tense.Situation,つつ,While,⚭ Vnn,電車に揺られつつ、２時間ほどいい気持ちで眠った。,山に登りつつ、人は人生についてさまざまなことを考える。,
Tense.Situation,にあって,"In, At",⚭ N,今、国は経済成長期にあって、人々の表情も生き生きとしている。,数学は高度情報社会にあって、必要な学問的教養となっている。,
Time Order,まえに,Before,⚭ Vru.N+no,食事の前に手を洗いましょう。,寝る前に歯をみがきなさい。,
Time Order,あとで,After,⚭ Vta.N+no ,食事の後で、少し散歩しませんか。,この薬はご飯を食べる前に飲みますか、食べた後で飲みますか。,
Time Order,て,Then,⚭ Vte,電気を消して、部屋を出ます。,スーパーへ行って、たまごを買った。,
Time Order,てから,After,⚭ Vte,この仕事をぜんぶやってからビールを飲みます。,新しい家を買うときは、よく調べてから買いましょう。,
