Words,Words.1,Words.2,Words.3,Words.4
はくりょくがある,かわく,オーダーする,ぼう,こくばん
なごや,ほん,タイ,レモネード,さんぽする
アイロンをかける,ねこ,れんらくをとる,せわになる,こんしゅうまつ
なか,テキスト,しょうらい,ぬすむ,しあい
りょうしん,しゅうまつ,サンフランシスコ,けいざい,しょどう
きょうと,りょうりする,ただしい,めいごさん,こんしゅう
むすめさん,まい,ぬう,もってくる,しゅうしょくしけん
セントルイス,せかいじゅう,いぬ,よっかめ,えんぴつ
おれいする,はちがつ,とこや,りこんする,デモ
シン,よろこぶ,ジャック,キーホルダー,かれ
きれいな,やまもと,や,かんがえ,すし
けんきゅうする,しんねん,ひしょ,おなじ,はっこうする
また,かのじょ,ななつめ,ど,てん
おくる,でる,まんが,じん,はっぴょうする
たち,ゆれる,ときどき,よういする,たいこ
しろ,おもう,ろっぽんぎ,シャワー,ゆうしょく
おおさか,うえの,びようし,おてんき,もしもし
ゆうめいな,よこ,みやげ,カリフォルニア,ひげ
ビーフジャーキー,くらい,しょうがくきん,かんがえる,しちがつ
がいしょくする,クラスメート,はるかわ,たかだ,けさ
あたたかい,つづく,むっつ,おじいさん,きゅう
はりだす,から,よなか,かるい,あぶない
おばあさん,ページ,きる,ちば,おかんじょう
ジョン,もう,まがる,できるだけ,おもしろい
あそび,とき,わすれる,きいろい,はじめて
ネックレス,ジュース,かんこくじん,ずっと,てん
えんりょする,そふ,いらっしゃる,そっと,やすむ
あじ,としょかん,あむ,せんべい,ともだち
でんしレンジ,くつ,たいせつな,はれる,オレンジ
うわぎ,ようかめ,かばん,レシピ,やめる
せいきょう,のぼる,たりる,ひく,けす
ひとり,ベッド,しんぱいする,じこ,たべもの
おなまえ,デザイナー,はいる,リーダー,し
いたまえ,マグカップ,よみかた,うごく,みせ
ミーティング,まで,かつどうする,さかんな,いろいろな
きっぷ,ふんかする,いかだいがくいん,おとうさん,マクドナルド
くるま,おもい,なまえ,たまご,さま
はやい,かい,ふとる,びっくりする,おごる
たたく,みつかる,アイスクリーム,ちゃん,あれ
ようじ,サイエンス,かいしゃいん,しまる,さわる
だす,たしかに,おんなのこ,だいとうりょう,つぎ
クラス,およぐ,いつでも,きょうしつ,フラッシュカード
バレエ,こんど,おふろにはいる,わあ,かなしい
みじかい,やさしい,タイムズ,ぶんかてきな,なおす
ははのひ,グッスリ,ごぞんじだ,しぜん,おしょうがつ
チェン,ろくがつ,カタログ,レノン,いただく
テナント,おわり,つまらない,しょうがっこう,ステレオ
かざん,よっつ,ひく,ロック,アパート
あおい,ブラスバンド,おちゃをいれる,さらいしゅう,ジャズ
Ｔシャツ,にほんりょうり,ひらがな,くだもの,バター
ご,まいしゅう,ソフト,おねえさん,かきなおす
ノックする,ふたつめ,こうえん,ジャパン,しゅじん
ほか,なかむら,うんどうする,テレビ,ちゅうごくじん
までに,さきに,ワシントン,かむ,フィラデルフィア
かわいい,やむ,だれ,おせんべい,そろばん
のむ,はかる,さんがつ,した,おす
てんぷら,ご,シュミット,きんこ,もう
きんようび,てんき,きたない,こうえんする,がんばる
リン,さむい,ちゃんと,いろ,ラジオ
おちゃ,パスポート,じてんしゃ,まいばん,がっき
さいようする,ひきうける,せいせき,いそがしい,あの
くれる,きえる,よていひょう,はる,ノート
せんせい,ちょきんする,せわする,クレジットカード,きって
せつやくする,まんなか,けっこうな,へんな,ドンドン
めずらしい,バー,かたち,せんしゅ,はる
ダウンタウン,せ,ころす,はんこうする,そして
へん,ひるごはん,くすりや,ちかてつ,スケジュール
しゅっせきする,しんぶん,グランドキャニオン,くび,そうじする
はい,それなのに,なかやま,おそい,でかける
つよい,でんわする,おさとう,くろい,そと
おとこ,スキー,チョコレート,たつ,あんぜんな
かお,アラスカ,もんだい,おとしだま,けいざいがく
プログラム,クリスマス,もうすぐ,どうして,にほんじん
よしゅうする,めがねをかける,どの,つれていく,ミルク
あめ,あげる,ち,とる,ふうふ
ガールフレンド,まなぶ,たとえば,しんりがく,まける
たいしかん,だいじょうぶな,スカーフ,おしえる,ていねいな
いい,にんじん,にねんせい,ちゅうごくご,みがく
まえ,さくら,タクシー,すいようび,あかい
きこくする,やく,なな,だいがく,ばんごう
スペインご,かう,あき,き,なさる
ペレス,すいせんじょう,にる,テストする,カラオケ
えいこくじん,サラダ,それから,あちら,みどりいろ
ドライブする,おっしゃる,けんかする,こどもたち,おばさん
たすかる,とにかく,エグザミナー,フランスじん,つかれる
わたしたち,すこし,しゅうかん,フランスご,なにご
がくぶ,それでは,とくいな,かいものする,いらっしゃる
だいく,しゅっぱつする,けしゴム,ホノルル,みち
せなか,ローン,ジミー,みっかめ,ぐらい
がっかりする,あんなに,シェークスピア,おんな,ケーキ
だいじな,コーラ,くすり,え,さびしい
ウォン,くに,ドル,とおり,ふまじめな
さいふ,しがつ,ポップコーン,Ｅメール,きのう
たのしむ,なおる,どうぶつ,りょかん,よごす
まえに,しけんをうける,ごうかな,ここのつめ,かかる
あした,ドイツじん,バス,むすこさん,ネクタイ
こうこうせい,だす,なんじ,やすだ,れきしてきな
そぼろ,サインする,おかあさん,あんないする,マニュアル
へえ,いつかめ,ニール,すり,せつめいする
スカート,ちゅうがくせい,あげる,ひょうばん,たくさん
さら,うまれる,たつ,ほし,やっと
でんきや,おてら,おちつく,うん,いつつ
あける,もの,そつぎょうしき,に,ニューヨーク
さしあげる,ある,しゅうりする,てら,ごきょうだい
ぶんがく,イギリス,うっかり,にがい,じかん
スピーチする,はしる,いそぐ,シャンペン,しあわせな
かえる,ニュース,たんじょうび,おすし,こぼす
いらっしゃい,まつ,はいゆう,えん,デート
ひ,このあいだ,なくす,おせんべつ,どうろ
いす,かがくしゃ,にほんじんてきな,ボーイフレンド,ふたり
うれしい,ひくい,かいわ,おせいぼ,アドバイスする
さっか,あさごはん,ひざ,こわれる,エッセー
ふる,ペア,きけんな,タホ,ちゅうかがい
ごかぞく,にほんまち,いつ,ぶちょう,ねる
ちゅうとう,ひとりで,オートバイ,せいぶつがく,しゃしん
ちかい,どこかに,きびしい,わらう,サボる
Ｊポップ,うつす,おもしろい,さん,おいしい
エルビス,テレビきょく,ピザ,さらいねん,おとうと
ボート,トレーナー,すむ,せいじか,ワンピース
しお,れんらくする,どう,そこ,かく
ほめる,おじいさん,マリーナ,べんごし,よぶ
しんじゅく,ミッキーマウス,むし,ユニバーシティー,おりる
あさくさ,さらいげつ,かならず,うえ,きいろ
ひろい,らくな,じんじゃ,ふね,おちゅうげん
せんがっき,せき,もんく,あかちゃん,タンゴ
たおれる,ど,いもうとさん,れんしゅうする,どようび
うた,イタリアりょうり,じゅう,シカゴ,おつり
さいきん,おそうしき,かぞく,ビタミン,こども
いちねんせい,いやな,なんぷん,おふろ,プレスリー
こちら,ベンチ,いためる,すごい,ごらんになる
とうきょうタワー,おかげさまで,ドイル,たべる,めぐすり
フライトアテンダント,ほしがでる,りょうし,あし,ひよう
ダラス,こうこう,はん,パク,ていねいな
きらいな,ちゅうがっこう,ねんまえ,じ,なれる
おじさん,パイロット,ぜひ,ねぎ,たかい
ちがい,ソファー,せんたくき,りんご,かえす
そる,かなり,インターネット,ゴルフ,きこえる
かべ,こわす,まど,イヤリング,しょうがつ
ペン,ずっと,あるいて,ヒルマン,まだ
ラボ,にん,こむ,ワープロ,ばん
さかな,みなさん,ろんぶん,えいご,すると
きをつける,まいあさ,こしょうする,ホームステイする,たすける
せんもんがっこう,にゅうがくする,する,あいて,はじまる
おきる,しんおおさか,ひまな,くろ,びょうき
がっこう,いくら,チャイナタウン,ワイン,はな
むいかめ,さがる,しんせき,まつり,ハンドバッグ
じゅぎょう,まご,ぼんさい,グループ,ふくざつな
ふゆ,おそくまで,のど,べんきょうする,せんぱい
ぶん,こめ,いしかわ,のみもの,ぜんぶ
きらう,ふろ,けれども,しょうたいする,やすみ
スクリーン,けんちくか,シンフォニー,かぶき,にほんご
しゅうじ,おかし,ゲーム,きぶん,コース
みずぎ,さくしゃ,ここのつ,びょういん,かぶる
めぐすりをさす,おまごさん,うたう,とどける,ゆきだるま
きっさてん,てきとうな,しぬ,とうかめ,からい
ダンスする,せんもんてきな,マイル,いいえ,いく
きむら,よこはま,げいじゅつか,たのむ,はやい
よわい,しゃしんをとる,そうだんする,シャツ,あとで
それじゃ,ぼく,つたえる,とめる,カフェテリア
パソコン,おと,でる,ざんねんな,しけんにおちる
なんねんせい,よっつめ,カナダじん,じゅけんする,しらべる
もくようび,ゆっくりする,とどく,かみ,なに
ボストン,くる,おじさん,よみもの,じゅうにがつ
ぜったいに,ならう,さんねんせい,ディズニー,タバコ
わかい,アニメ,もつ,ふつかめ,すぐ
ききとり,ダイエットする,ジム,ろく,ちゅうかん
かんこくご,インタビューする,まんてん,アフリカ,にわ
つける,あそぶ,い,いえ,なんか
よやくする,ほしがる,ひきにく,おす,おまつり
クッキー,ひとつ,よねんせい,ぎゅうにく,たまに
がた,はやかわ,やました,やくす,おめでとうございます
でも,ほしい,よる,こづつみ,おとうとさん
じょうし,はち,だいがくいんせい,あに,さめる
まちがい,だんだん,ぎんざ,スニーカー,ふん
かたい,かいしゃ,しつれいな,あきはばら,とくに
かしゅ,おめざめになる,はかいする,ゆどうふ,ごはん
ちゅうもんする,うちゅうひこうし,おはなみ,せいじてきな,あとで
えいが,うち,なのかめ,ゆっくり,はながでる
らいしゅう,ちゃわん,にもつ,テープ,ヨセミテ
ゴクンと,ひとびと,はんぶん,ソン,びじゅつかん
こむぎこ,わるい,おおい,はたらく,さく
は,しゅうがくりょこう,とおやま,とお,やりかた
おい,ちゅういする,あなた,これから,ふゆやすみ
ホチキス,くわしい,ぶんか,オーストラリア,おはし
じつは,はじめる,ところ,かさ,あるく
バーベキュー,よふかしする,おんがく,あつい,きる
ひとばんじゅう,ウィルソン,はげます,コート,しんせつな
おさら,めしあがる,さんかする,コンピュータープログラマー,ていしゅつする
みみ,だい,みんな,まずい,たす
がいこく,へや,ふたつ,いまでも,おさしみ
やまだ,ひる,はこぶ,その,あね
ふべんな,ハンバーガー,たのしみにする,テニス,ただ
べんりな,あさって,まず,ごちそうする,わるぐち
けいざいてきな,みえる,おじ,しょうせつか,ねむい
にほんが,しっぱいする,うしろ,から,もっと
かいぎ,せんたくする,やる,ちょっと,たぶん
らくに,あく,くしゃみする,かわいそうな,ちょきんばこ
しゅうかん,せいぼ,ひがしアジア,つかいかた,グアム
あまい,とぶ,かない,ひこうき,おおきい
やすかわ,どのぐらい,ボーッとする,アトランタ,どれ
もういちど,まじめな,すう,いちがつ,つもり
すもう,こまる,と,にがつ,いつも
のり,おまわりさん,スーツ,りゅうがくする,ふるさと
だれも,げんかん,デザート,まいとし,どうぞ
いかが,あやまる,さがす,おおやさん,ひだり
ハート,きょうかしょ,なつ,カレーライス,ビール
チーム,ふる,リンカーン,カメラ,かた
こうつう,オフィスアワー,いしゃ,す,アーティスト
サービスする,じょうずな,さとう,うるさい,ななつ
ルームメート,ほんばこ,ビデオゲーム,たまねぎ,いっしょうけんめい
