Words,Meaning,Sentence,Translation
お手紙,letter,お手紙確かに拝受いたしました。,We have indeed received your letter.
お上手,skillful,皆さん滑り慣れてお上手でした。,Everyone was accustomed to skiing and was very good at it.
お忙しい,busy,お忙しい方のためにも授業回数も週2回から受講可能です。,"For those with busy schedules, classes can be taken as often as twice a week."
可燃物,flammable thing,溶接時には周囲に可燃物のないことを確認してください。,Ensure that there are no combustible materials in the surrounding area when welding.
可溶性,solubility,アルカリおよび濃硝酸には可溶性です。,Soluble in alkalis and concentrated nitric acid.
各国,each country,各国にはそれぞれの習慣がある。,Each country has its own customs.
片一方,one of the two,もう片一方の先端はネジ状になっている。,We are professional expert in cutting field.
片時,a monent,僕は片時も君から目を離さない。,"I never take my eyes off you, not even for a moment."
ご家族,your family,きっとご家族も喜ばれるに違いない。,I am sure your family will be pleased.
ご結婚,marriage,ご結婚お喜び申し上げます。,Congratulations on your marriage.
準決勝,semi-final,そのチームは準決勝に勝って決勝に進出した。,That team won the semifinals and advanced to the finals.
準会員,associate member,シェアリングエコノミー協会の準会員となりました。,We have become an associate member of the Sharing Economy Association.
諸設備,many facilities,諸設備の費用は払っていただきます。,You are required to pay for various facilities.
諸物価,various prices,諸物価は高騰し、さらに疫病が人々を襲った。,"Prices skyrocketed, and plague struck the people."
素足,bare foot,熱い砂の上を素足では歩けない。,You cannot walk barefoot on hot sand.
素焼き,unglazed pottery,京都で作られている彩色した素焼き人形だ。,They are colored unglazed dolls made in Kyoto.
全国民,the whole nation,全国民が選挙で投票した。,All citizens voted in the election.
全人口,entire population,これはドイツの全人口よりも多い。,This is more than the entire population of Germany.
総選挙,general election,この年二度目の総選挙だった。,It was the second general election of the year.
総合計,grand total,総合計を計算できます。,The total sum can be calculated.
数多く,in large numbers,それについては数多くの研究があります。,There are numerous studies on it.
数校,several schools,水害被災者たちは数校に収容された。,Flood victims were housed in several schools.
