Kanji,NR,KR,Meaning,W1,R1,M1,W2,R2,M2,W3,R3,M3
郎,ROU,.,"man, guy",野郎,やろう,"guy, fellow, buddy​",風太郎,ぷうたろう,unemployed person,新郎,しんろう,bridegroom
結,KETSU,"musu, yu","tie, bond, conclude",結婚,けっこん ,marriage,結果 ,けっか ,"result, consequence",結ぶ,むすぶ,"to tie, bind, link "
氏,SHI,.,family name,氏名,しめい,fullname,摂氏,せっし,celsius,氏族,しぞく,"clan, family"
衛,EI,.,"defense, protect",衛星,えいせい,satellite,衛生,えいせい,"hygiene, sanitation, health",防衛,ぼうえい,"defense, protection"
第,DAI,.,"number, ordinal",次第,しだい,depending on,第三者,だいさんしゃ,third party,第一位,だいいちい,first place
保,HO,tamo,"protect, guarantee, keep",保証,ほしょう,"guarantee, assurance",保つ,たもつ,"to keep, preserve",保険,ほけん,insurance
義,GI,.,"justice, honor",義務,ぎむ,"duty, obligation",義理,ぎり,"duty, honor",義塾,ぎじゅく,private school
吉,"KICHI, KITSU",.,good luck,不吉,ふきつ,unlucky,吉報,きっぽう,good news,吉兆,きっちょう,lucky omen
士,SHI,.,"gentlemen, samurai",士気,しき,morale,紳士,しんし,gentleman,同士,どうし,fellow
藤,TOU,fuji,wisteria,葛藤,かっとう,"conflict, complication",藤,ふじ,wisteria,藤色,ふじいろ,light purple​
井,"SEI, JOU",i,well,井戸,いど,water well,天井,てんじょう,ceiling,油井,ゆせい,oil well
江,KOU,e,"inlet, bay, creek",江戸,えど,edo,堀江,ほりえ,canal,江湖,こうこ,"the public, world"
張,CHOU,haru,lengthen,張る,はる,"to stick, paste, stretch",緊張,きんちょう,"tension, nervousness",拡張,かくちょう,"expansion, extension"
松,SHOU,matsu,pine tree,松,まつ,pine tree,松葉,まつば,pine needle,赤松,あかまつ,japanese red pine
応,OU,kota,answer,応える,こたえる,"to respond, answer",応援,おうえん,"aid, assistance",応急,おうきゅう,"emergency, first-aid"
視,SHI,mi,"see, inspect",視野,しや,"field of vision, view",視覚,しかく,"sense of sight, vision",視察,しさつ,"inspection, observation"
態,TAI,.,"attitude, condition",態度,たいど,"attitude, manner, behaviour",事態,じたい,"situation, state of affairs",状態,じょうたい,"state, condition"
姿,SHI,sugata,"figure, form",姿,すがた,"figure, appearance, state",姿勢,しせい,"posture, stance",容姿,ようし,physical appearance 
皇,"KOU, OU",.,emperor,天皇,てんのう,emperor of japan,皇居,こうきょ,imperial palace,皇帝,こうてい,emperor
宮,"KYUU, GUU",miya,"palace, shrine",宮殿,きゅうでん,palace,宮,みや,shrine,迷宮,めいきゅう,"labyrinth, maze"
離,RI,hana,separate,離れる,はなれる,to be separated,離す,はなす,"to separate, part, divide, keep apart",距離,きょり,"distance, range, interval​"
基,KI,moto,"basis, foundation",基準,きじゅん,"standard, basis, criterion",基づく,もとづく,to be based on,基本,きほん,"basics, fundamentals"
隊,TAI,.,"party, squad",軍隊,ぐんたい,armed forces,部隊,ぶたい,"force, unit, corps",連隊,れんたい,regiment
素,"SO, SU",.,"element, naked, uncovered",酸素,さんそ,oxygen,素直,すなお,"obedient, meek, honest",元素,げんそ,element
価,KA,atai,"price, value",物価,ぶっか,prices of commodities,価格,かかく,"price, value, cost",評価,ひょうか,"valuation, appraisal"
撃,GEKI,u,"beat, attack, assault",攻撃,こうげき,"attack, assault",撃つ,うつ,"to shoot, fore",衝撃,しょうげき,"shock, impact, crash"
振,SHIN,fu,"shake, wave, swing",振る,ふる,"to wave, shake, swing",振動,しんどう,"oscillation, vibration",振興,しんこう,"promotion, encouragement"
証,SHOU,.,"proof, evidence",証明,しょうめい,"proof, testimony",保証,ほしょう,"guarantee, assurance",認証,にんしょう,certification
派,HA,.,"group, faction",派手,はで,showy,派閥,はばつ,"clique, faction",派生,はせい,derivation
僕,BOKU,.,"me, i",僕,ぼく,"me, i",僕ら,ぼくら,we,僕たち,ぼくたち,we
佐,SA,.,"help, assistance",補佐,ほさ,"aid, help, assistance, assistant",少佐,しょうさ,"major, lieutenant commander",大佐,たいさ,colonel
紀,KI,.,"narrative, chronicle",世紀,せいき,century,紀元,きげん,era,紀元前,きげんぜん,"pre-era, bc."
統,TOU,su,"rule, govern",統べる,すべる,"to rule over, govern",大統領,だいとうりょう,"president, big boss",統制,とうせい,"regulation, control​"
器,KI,utsuwa,"utensil, vessel",楽器,がっき,musical instrument,器官,きかん,organs,食器,しょっき,tableware
異,I,koto,"different, uncommon",異常,いじょう,"strangeness, abnormality, disorder​",異なる,ことなる,"to differ, vary, disagree",差異,さい,"difference, disparity, gap"
護,GO,.,"defend, protect",保護,ほご,"protection, safeguard",看護,かんご,"nursing, nurse",弁護,べんご,"defense, defence, pleading"
条,JOU,.,"article, clause",条約,じょうやく,"treaty, pact, convention",条件,じょうけん,"condition, term, requirement",信条,しんじょう,"creed, belief, conviction"
独,DOKU,hito,"single, alone",独立,どくりつ,"independence, self-reliance",独身,どくしん,"bachelor, single",独特,どくとく,"peculiarity, uniqueness, characteristic​"
源,GEN,minamoto,"source, origin",資源,しげん,resources,根源,こんげん,"root, source, origin, cause",起源,きげん,"origin, beginning, source"
