Kanji,Expression,Author,Name,Words
耐,A RAKE MEASUREMENT can ENDURE,TAI,ta,耐える。忍耐。耐久性。耐性。耐久。耐火。耐熱。耐水。耐性菌。耐圧。耐用。耐震
堪,"A LAND with SWEET ANIMAL COUNTER can ENDURE, WITHSTAND, SUPPORT","KAN, TAN","ta, ko",堪らない。堪える。堪能。持ち堪える。堪る。堪忍。堪え兼ねる
件,"The PERSON and the COW had an AFFAIR, CASE or MATTER",KEN,kudan,事件。条件。用件。件数。案件
制,"The COW with a SCARF and a SWORD made a SYSTEM, LAW or RULE",SEI,.,制度。制服。規制。強制。統制
製,A SYSTEM of DRESS was MANUFACTURED or MADE IN,SEI,.,製品。製造。製作。製法。精製
休,A PERSON beside a TREE is RESTING,KYUU,yasu,製品。製造。製作。製法。精製
本,"Cutting down a TREE into a BOOK, PRESENT, MAIN or ORIGIN",HON,moto,休む。休暇。休憩。休息。休養
体,A PERSON with a BOOK has BODY and SUBSTANCE,TAI,karada,体温。体育。液体。体積。体制
憩,"A TONGUE and ONESELF sharing a HEART is in RECESS, RELAX, RELAX and POSE",KEI,iko,休憩。憩う。休憩所。一服休憩。小憩
息,ONESELF with a HEART can BREATH and RESPIRE,SOKU,iki,利息。ため息。窒息。生息。喘息
養,"A SHEEP that EATS can be FOSTER, BRING UP, REAR, DEVELOP and NORTURE",YOU,yashina,栄養。教養。養成。養う。療養
命,"Inside a ROOF is a MOUTH with a SEAL that is your FATE, DESTINY, LIFE and COMMAND","MEI, MYOU",inochi,命。運命。命じる。生命。救命
技,"A HAND SUPPORT is a SKILL, ART and TECHNIQUE",GI,waza,競技。技術。技師。演技。技能
攻,A CRAFT of FOLDING CHAIR is an AGGRESSION and ATTACK,KOU,se,攻撃。専攻。攻める。攻勢。侵攻
象,A BIRD HEAD PIG is an ELEPHANT,"SHOU, ZOU",.,対象。現象。気象。印象。象徴
像,"A PERSON with an ELEPHANT creates an IMAGE, FIGURE or a PICTURE",ZOU,.,映像。現像。想像。画像。肖像
蔵,"A GRASS combine with a CLIFF, RETAINER and HALBERD is a STOREHOUSE or REPOSITORY",ZOU,kura,冷蔵庫。埋蔵。蔵書。所蔵。貯蔵
臓,A MEAT STOREHOUSE is the VISCERA or INTERNAL ORGANS,ZOU,.,心臓。内臓。肝臓。腎臓。臓器
約,A THREADED LADLE is a PROMISE,YAKU,tsutzu,予約。約束。契約。婚約。節約
的,"A WHITE LADLE is a BULLS EYE, MARK or a TARGET",TEKI,mato,目的。性的。本格的。具体的。積極的
釣,"A GOLD LADLE is ANGLING, FISHING or CATCHING",CHOU,tsu,釣る。不釣合い。釣り銭。釣り合う。釣り堀
酌,A WEST LADLE is BAR TENDING or SERVING SAKE,SHAKU,ku,晩酌。媒酌。手酌。酌量。斟酌
軟,A CAR GAP is SOFT and TENDER,NAN,yawa,軟らかい。柔軟。軟化。軟骨。軟弱
