Kanji,NR,Meaning,W1,R1,M1,W2,R2,M2,W3,R3,M3,W4,R4,M4
安,AN,relax,安定,あんてい,stability,安全,あんぜん,safety,安易,あんい,"easy, simple",安価,あんか,low-priced
案,AN,"plan, suggestion",案内,あんない,"guidance, leading",提案,ていあん,proposal,答案,とうあん,examination paper,案外,あんがい,unexpectedly
偉,I,greatness,偉大,いだい,"great, grand",偉業,いぎょう,"great feat, great work",偉人,いじん,great person,偉徳,いとく,great virtue
違,I,differ,違反,いはん,"violation, offense",相違,そうい,"difference, discrepancy",違法,いほう,"illegal, illicit",違和感,いわかん,uncomfortable feeling
永,EI,eternity,永遠,えいえん,eternity,永久,えいきゅう,"eternity, permanence",永続,えいぞく,"permanence, continuation",永住,えいじゅう,permanent residence​
泳,EI,swim,水泳,すいえい,swimming,競泳,きょうえい,competitive swimming,泳者,えいしゃ,swimmer,遊泳,ゆうえい,"swimming, bathing"
古,KO,"old, used",古典,こてん,classics,古代,こだい,ancient times,中古,ちゅうこ,"used, second-hand, old​",古参,こさん,seniority
故,KO,"happenstance, the late",事故,じこ,accident,故人,こじん,the deceased,故障,こしょう,"breakdown, failure",故意,こい,intent
湖,KO,lake,琵琶湖,びわこ,lake Biwa,湖畔,こはん,lakeside,湖沼,こしょう,"lake, marsh, wetland",湖面,こめん,lake surface
工,KOU,craft,加工,かこう,"processing, manufacturing",工場,こうじょう,"factory, plant",工業,こうぎょう,manufacturing industry,工芸,こうげい,"industrial arts, craft"
紅,KOU,"crimson, deep red ",紅葉,こうよう,autumn leaves,紅茶,こうちゃ,black tea,紅潮,こうちょう,"flush, blush​",紅白,こうはく,red and white
功,KOU,"achievement, merits",成功,せいこう,success,功績,こうせき,achievements,功労,こうろう,meritorious deed,奏功,そうこう,"success, achievement"
巧,KOU,skilled,巧妙,こうみょう,clever,精巧,せいこう,"elaborate, exquisite ",技巧,ぎこう,"technique, finesse​",巧者,こうしゃ,cleverness
項,KOU,"paragraph, clause, item",項目,こうもく,heading,事項,じこう,"matters, items, facts",条項,じょうこう,"clause, article",要項,ようこう,important points
攻,KOU,"aggression, attack",専攻,せんこう,"major, special study",攻撃,こうげき,"an attack, assault",攻勢,こうせい,aggression,侵攻,しんこう,invasion
貢,KOU,"tribute, support",貢献,こうけん,contribution,朝貢,ちょうこう,bringing tribute,貢租,みつぐ,"annual tax, tribute",貢納,こうのう,paying a tribute
郊,KOU,"outskirts, suburbs",郊外,こうがい,suburb,近郊,きんこう,outskirts,遠郊,えんこう,outlying area,断郊競走,だんこうきょうそう,cross-country race
効,KOU,"merit, efficacy",無効,むこう,"invalid, void, ineffective",有効,ゆうこう,"valid, effective​",効果,こうか,"effect, efficacy, result",効率,こうりつ,efficiency
航,KOU,"navigate, sail",航空,こうくう,"aviation, flying",航海,こうかい,"sea voyage, navigation",運航,うんこう,"operating (ships, aircraft)",航路,こうろ,"route (sea, air)"
抗,KOU,resist,抵抗,ていこう,"resistance, opposition",反抗,はんこう,opposition,抗議,こうぎ,"protest, objection",対抗,たいこう,opposition
取,SHU,"take, fetch",取材,しゅざい,data collection,取得,しゅとく,acquisition,取水,しゅすい,water intake,取捨,しゅしゃ,"selection, choice"
趣,SHU,"purport, interest",趣味,しゅみ,hobby,趣向,しゅこう,"device, plan, idea, design",趣旨,しゅし,"meaning, point, gist",趣好,しゅこう,partiality
補,HO,"supplement, supply",補足,ほそく,supplementation,補給,ほきゅう,"supply, replenish",補償,ほしょう,"compensation, reparation​",補助,ほじょ,"assistance, support"
捕,HO,"catch, capture ",捕獲,ほかく,capture,捕鯨,ほげい,whaling,捕虜,ほりょ,prisoner of war,捕手,ほしゅ,catcher
舗,HO,"shop, store, pave ",舗装,ほそう,pavement,店舗,てんぽ,"shop, store​",舗道,ほどう,paved road,舗石,ほせき,paving stone
郷,KYOU,"home town, village",故郷,こきょう,hometown,郷愁,きょうしゅう,"nostalgia, homesickness",郷里,きょうり,"hometown, birthplace​",郷土,きょうど,native place
響,KYOU,"echo, sound",影響,えいきょう,"influence, effect",反響,はんきょう,response,音響,おんきょう,"sound, acoustics",交響曲,こうきょうきょく,symphony
帯,TAI,"sash, belt, zone",世帯,せたい,household,熱帯,ねったい,tropics,包帯,ほうたい,"bandage, dressing​",携帯,けいたい,hand-carry
滞,TAI,"stagnate, be delayed",渋滞,じゅうたい,"traffic jam, congestion",滞在,たいざい,stay,停滞,ていたい,"stagnation, tie-up",滞納,たいのう,being in arrears
朱,SHU,"cinnabar, red",朱色,しゅいろ,cinnabar red,朱印,しゅいん,red seal​,朱肉,しゅにく,thick red ink,朱筆,しゅひつ,red-ink brush
珠,SHU,"pearl, gem",珠算,しゅざん,calculation on an abacus,真珠,しんじゅ,pearl,数珠,じゅず,"rosary, prayer beads",珠玉,しゅぎょく,"jewel, gem"
