Kanji,Words,Reading,Meaning
遺,遺跡,いせき,"remains, ruins, relics"
差,遺伝,いでん,"heredity, genetic inheritance"
義,遺言,ゆいごん,"will, testament​, dying wish"
装,遺書,いしょ,"will, testament, suicide note"
置,文化遺産,ぶんかいさん,cultural heritage​
,遺伝子,いでんし,"gene, genetic"
,遺憾,いかん,"regrettable, unsatisfactory"
,遺産,いさん,"inheritance, bequest, legacy"
,遺族,いぞく,"bereaved family, surviving family"
,遺体,いたい,"corpse, remains"
,遺骨,いこつ,cremated remains 
,遺失物,いしつぶつ,"lost article, lost property"
,交差点,こうさてん,"crossing, intersection"
,差別,さべつ,"distinction, discrimination"
,差す,さす,"to shine, be visible, rise, flow in"
,差異,さい,"difference, disparity, gap"
,差し上げる,さしあげる,"to lift up, raise, give"
,日差し,ひざし,sunlight
,物差し,ものさし,"ruler, measure"
,目指す,めざす,"to aim at, try for, have an eye on"
,交差,こうさ,"crossing, intersection"
,差し支え,さしつかえ,"hindrance, impediment"
,誤差,ごさ,measurement or calculation error
,差額,さがく,"balance, difference, margin"
,時差,じさ,time difference
,格差,かくさ,"qualitative difference, disparity, gap"
,差し出す,さしだす,"to present, submit, tender"
,指差す,ゆびさす,to point at
,差し掛かる,さしかかる,"come near, approach, on the verge"
,偏差値,へんさち,"deviation value, standard score"
,大差,たいさ,big difference
,点差,てんさ,"point spread, point difference"
,差出人,さしだしにん,sender
,差し引く,さしひく,"to deduct, take away"
,小差,しょうさ,slight difference
,個人差,こじんさ,individual differences
,差し当たり,さしあたり,"for the time being, at present​"
,眼差し,まなざし,"look, gaze"
,差し伸べる,さしのべる,"to hold out, extend, stretch"
,差し込む,さしこむ,"to insert, put in, plug in"
,差し支える,さしつかえる,"to interfere, hinder, impeded"
,性差別,せいさべつ,sexual discrimination
,差し引き,さしひき,"deduction, subtraction, balance"
,講義,こうぎ,lecture
,義務,ぎむ,"duty, obligation"
,定義,定義,definition
,正義,せいぎ,"justice, right, righteousness"
,義理,ぎり,"duty, honor"
,主義,しゅぎ,"doctrine, rule, principle"
,意義,いぎ,"meaning, significance"
,民主主義,みんしゅしゅぎ,democracy
,社会主義,しゃかいしゅぎ,socialism
,資本主義,しほんしゅぎ,capitalism
,有意義,ゆういぎ,"significant, useful, meaningful"
,民族主義,みんぞくしゅぎ,nationalism
,道義,どうぎ,"morality, moral principles"
,義母,ぎぼ,mother-in-law
,大義名分,たいぎめいぶん,"just cause, good reason"
,恩義,おんぎ,"obligation, favour"
,義務教育,ぎむきょういく,compulsory education
,服装,ふくそう,"garments, attire"
,包装,ほうそう,"packing, wrapping"
,装飾,そうしょく,"ornament, decoration"
,舗装,ほそう,paving
,装置,そうち,"equipment, device, installation"
,武装,ぶそう,"arms, armament"
,衣装,いしょう,"clothing, costume, outfit"
,装備,そうび,equipment
,塗装,とそう,"coating, painting"
,正装,せいそう,"full dress, formal dress"
,変装,,
,装う,,
,盛装,,
,核武装,,
,内装,,
,改装,,
,装い,,
,安全装置,,
,仮装,,
,包装紙,,
,着陸装置,,
,室内装飾,,
,装甲,,
,装具,,
,装身具,,
,新装,,
,装丁,,
,偽装,,
,装着,,
,装束,,
,軽装,,
,位置,,
,置く,,
,物置,,
,処置,,
,配置,,
,放置,,
,設置,,
,前置き,,
,置き去り,,
,拘置,,
,置き換える,,
,置き忘れる,,
,応急処置,,
,買い置き,,
,配置転換,,
,防音装置,,
,倒置,,
,留置,,
,置き場,,
,据え置き,,
,置物,,
,再配置,,
