Sayachi.Sentences,Sayachi.Translation
素晴らしいですね,It's wonderful.
テレビ版もすごくいいですし,And the TV version is really good.
どちらも最高なんですけど,Both are the best.
なんでしょうかねアニメ色が一層濃い気がしませんか,I don't know...don't you think it's more animated?
ね？耳の保養だわと、わかります,"It's a treat for the ears, I can tell."
耳がもう嬉しいですよね？,"Your ears are happy already, aren't they?"
冒険に出かけたくなりませんか,Wouldn't you like to go on an adventure?
航海したくなりますね,It makes me want to sail.
一味になって,Become a part of the pirate
私子供の頃も見ていたんですけれども,I used to watch it when I was a kid.
大体やっぱり私の世代だと通る道じゃないですか？,"I think that's the way it is in my generation, isn't it?"
結構子供の頃旅行に行ってた時があって,I used to travel quite a bit when I was a kid.
茨城以外でもやっぱり全国でね,"Not just in Ibaraki, but all over the country."
やっぱみなさん子供たち好きで,I knew you all liked children.
アニメ好きなんですよね,I know you like cartoons.
やっぱり好きな方多いじゃないですか,"Many people like it, don't they?"
温泉行った時にみんなワンピースの話してるんですよ,"When we go to the hot springs, everyone is talking about One Piece."
温泉であの…共通の話題になっていて,At the hot spring...It's a common topic of conversation.
しかも丁度確か日曜日だったと思うんですよね,"And it was just Sunday, I think."
ちょうど放送される前後,Just before and after the broadcast
になるとみんなその話をしていて,And everyone is talking about that when it comes to
あ〜やっぱり全国の共通の話なんだなと思いました,"Oh, I knew it was a common story across the country."
ね？懐かしいですよね？,"right? It's nostalgic, right?"
みなさん「なになにの実」がいいですか？,"Everyone, what kind of fruit would you like?"
でも溺れちゃうの嫌ですよね？,"But you don't want to drown, do you?"
ゴムゴムの実は便利ですよね,Rubber gum berries are useful.
遠いところまで伸びますもんね,"It stretches a long way, doesn't it?"
お天気の実とかは？,"What about ""weather fruit"" and such?"
この後も是非楽しんでいただきたいなと思います,I hope you enjoy the rest of the show!
ということでCMをお披露目させていただきました,So we have unveiled our commercial!
