W1,T1,W2,T2,W3,T3,W4,T4,W5,T5,W6,T6
年,year,時間,time,来週,next week,晩,evening,毎年,every year,以前,"before, previously"
月,month,時,hour,再来週,the week after next,夜,night,毎日,every day,以後,"after, from now on"
日,day,分,minute,先週,last week,夕方,evening,毎晩,every night,以来,since then
日にち,date,秒,second,今月,this month,今朝,this morning,昨日,yesterday,以降,"from (time) onward, after"
曜日,day of the week,半,half,来月,next month,今晩,this evening,一昨日,the day before yesterday,時期,"time, period"
週,week,午前,morning,再来月,the month after next,今夜,tonight,昨年,last year,延期する,"postponement, to postpone"
週末,weekend,午前中,in the morning,先月,last month,春,spring,しあさって,three days from today,上旬,first 10 days of the month
時間,hours,正午,noon,今年,this year,夏,summer,先々週,the week before last,中旬,second 10 days of the month
日間,days,午後,afternoon,来年,next year,秋,fall,先日,the other day,下旬,last 10 days of the month
週間,weeks,今日,today,再来年,the year after next,冬,winter,当日,"that day, day of (something)",月末,end of the month
ヶ月(間),months,明日,tomorrow,去年,last year,季節,season,翌日,the following day,年末年始,year-end and new-year
年(間),years,明後日,the day after tomorrow,昨年,last year,毎,every,近いうちに,"soon, in the near future",今週末,this weekend
一日,one day,昨日,yesterday,一昨年,the year before last,毎朝,every morning,後日,"later, in the future",元旦,new years day
一年,one year,一昨日,the day before yesterday,朝,morning,毎週,every week,今後,"hereafter, in the future",普段,usually
半年,half year,今週,this week,昼,"day, midday",毎月,every month,当時,"at that time, in those days",普段着,everyday clothes
平日,weekday,初め,"beginning, at first",永遠,"forever, ever, eternity",次回,next time,一時,temporarily,~た途端,as soon as~
祝日,public holiday,今年の初め,beginning of this year,現代,"present age, modern times",機会,opportunity,一瞬,"moment, instant",まもなく,in a few moment
休日,"holiday, day off",後,later,今日,"today, this age",チャンス,chance,瞬間,instant,日程,schedule
期間,period,際,"when, whenever",時代,"era, period",きっかけ,"chance, start, cue, motive",後日,in the future,年中,whole year
延長する,"extension, to extend",同時,"simultaneous, same time",年代,"age, era, period, decade",祝日,"national holiday, public holiday",早速,"immediately, at once",日付,date
シーズン,season,たった今,just now,世紀,century,祭日,"national holiday, festival day",事前に,inadvance,日時,date and time
臨時,"temporary, provisional, special",早め,early,経つ,to elapse,休日,"holiday, day off, vacation",事前に必要,prerequisite,時期,period
休暇,vacation,現在,"present, now",ぶり,after (period of time) again,西暦,Christian era,近頃,nowadays,同時,at the same time
夜中,"at night, middle of the night",過去,past,日にち,date,元旦,New Year's Day,近々,soon,夜中,midnight
深夜,late at night,未来,the future (usually distant),日付,date,平日,weekday,ついに,finally,今回,this time
真夜中,middle of the night,将来,"future (usually near), prospects",日時,date and time,日中,in the daytime,常に,"always, constantly",一生,"whole life, a lifetime"
家族,family,父,father,母,mother,兄,older brother,姉,sister,妹,younger sister
弟,younger brother,祖父,grandfather,祖母,grandmother,お祖父さん,grandfather,お祖母さん,grandmother,祖父母,grandparents​
叔父,uncle,叔母,aunt,従兄弟,cousin (male)​,従姉妹,cousin (female),娘,daughter,女の子,girl
男の子,boy,子,child,兄弟,siblings,親,parents,父親,father,母親,mother
息子,son,子供,children,甥,nephew,姪,niece,夫,husband,妻,wife
奥さん,wife,嫁,"wife, bride",家内,(my) wife,配偶者,spouse,夫婦,married couple,親族,relative
身内,relatives,一族,"family, relatives",両親,parents,肉親,immediate family,義理の兄弟,brother in law,義理の姉妹,sister in law
