V1,R1,M1,V2,R2,M2,V3,R3,M3,V4,R4,M4,V5,R5,M5
為る,する,do,残す,のこす,leave,焼く,やく,bake,絶える,たえる,cease,老ける,ふける,grow old
居る,いる,"be, exist, have",探す,さがす,find,伸ばす,のばす,extend,覆う,おおう,cover,飲ます,のます,drink
有る,ある,"be, exist, have",至る,いたる,arrive,出会う,であう,encounter,務める,つとめる,serve,噛み合う,かみあう,engage in
言う,いう,say,経つ,たつ,pass,助ける,たすける,help,利く,きく,be effective,罹る,かかる,suffer from
成る,なる,become,似る,にる,resemble,望む,のぞむ,hope,分かれる,わかれる,divide,打ち殺す,うちころす,beat to death
来る,くる,come,守る,まもる,protect,通う,かよう,go through,下る,くだる,descend,面食らう,めんくらう,face
思う,おもう,think,困る,こまる,be in trouble,見付かる,みつかる,find,止む,やむ,stop,掘り下げる,ほりさげる,delve into
行く,いく,go,加える,くわえる,add,上る,のぼる,go up,見掛ける,みかける,see,鏤める,ちりばめる,inlay
見る,みる,see,調べる,しらべる,find out,亡くなる,なくなる,pass away,窺う,うかがう,see,擦れる,すれる,rub
出来る,できる,be able to,生ずる,しょうずる,produce,落ち着く,おちつく,settle down,輝く,かがやく,shine,染み付く,しみつく,soak
拠る,よる,depend on,驚く,おどろく,be surprised,纏める,まとめる,settle down,招く,まねく,invite,値切る,ねぎる,bargain
仕舞う,しまう,finish,失う,うしなう,lose,抜ける,ぬける,leave,寄せる,よせる,bring near,泣き叫ぶ,なきさけぶ,cry out
分かる,わかる,understand,合う,あう,match,取り上げる,とりあげる,take up,抑える,おさえる,restrain,掻き集める,かきあつめる,collect
持つ,もつ,have,無くなる,なくなる,lose,構う,かまう,prepare,沿う,そう,follow,逸る,はやる,go astray
考える,かんがえる,think,増える,ふえる,increase,戦う,たたかう,fight,溢れる,あふれる,overflow,償う,つぐなう,compensate
遣る,やる,do,上がる,あがる,go up,達する,たっする,reach,空く,すく,empty,興ずる,きょうずる,make merry
出る,でる,go out,起きる,おきる,get up,悩む,なやむ,worry,光る,ひかる,shine,果せる,はたす,fulfill (one's) desire
就く,つく,take,座る,すわる,sit down,洗う,あらう,wash,称する,しょうする,praise,晦ます,くらます,forget
取る,とる,take,聞こえる,きこえる,hear,疲れる,つかれる,get tired,促す,うながす,urge,消え失せる,きえうせる,disappear
聞く,きく,"listen, ask",思い出す,おもいだす,remember,着く,つく,arrive,込める,こめる,put into,色付く,いろづく,color
下さる,くださる,give,許す,ゆるす,"allow, forgive",喋る,しゃべる,talk,存ずる,ぞんずる,exist,振り下ろす,ふりおろす,shake down
知る,しる,know,落ちる,おちる,fall,慣れる,なれる,get used to it,囲む,かこむ,surround,後ずさる,あとずさる,retreat
呉れる,くれる,give,繰り返す,くりかえす,repeat,流す,ながす,flush,塗る,ぬる,paint,付け込む,つけこむ,take advantage of
入る,はいる,enter,回る,まわる,turn,握る,にぎる,hold,防ぐ,ふせぐ,prevent,捌く,さばく,dispose of
置く,おく,put,起こす,おこす,cause to happen,減る,へる,decrease,論ずる,ろんずる,discuss,罷り通る,まかりとおる,strike through
使う,つかう,use,通ずる,つうずる,pass,下げる,さげる,lower,押さえる,おさえる,seize,挽く,ひく,grind
対する,たいする,against,決まる,きまる,decide,占める,しめる,occupy,注ぐ,そそぐ,pour,悔いる,くいる,regret
於く,おく,be in,寝る,ねる,sleep,優れる,すぐれる,be gentle,引っ張る,ひっぱる,pull,買い求める,かいもとめる,buy
出す,だす,put out,比べる,くらべる,compare,包む,つつむ,wrap,切れる,きれる,cut,見定める,みさだめる,determine what to do with it
作る,つくる,make,限る,かぎる,limit,吐く,はく,exhale,陥る,おちいる,fall,掛け合う,かけあう,negotiate
行う,おこなう,do,振る,ふる,shake,消す,けす,erase,数える,かぞえる,count,編み出す,あみだす,knit
知れる,しれる,know,表わす,あらわす,show,覗く,のぞく,peek,隠れる,かくれる,hide,嘲る,あざける,ridicule
書く,かく,write,通す,とおす,pass,勝つ,かつ,win,咲く,さく,bloom,取り憑く,とりつく,haunt
付ける,つける,give,致す,いたす,be in accordance with,浮かぶ,うかぶ,float,高まる,たかまる,rise,追い求める,おいもとめる,pursue
貰う,もらう,get,基づく,もとづく,be based on,去る,さる,leave,備える,そなえる,prepare,煮える,にえる,boil
教える,おしえる,teach,消える,きえる,disappear,回す,まわす,turn,作り出す,つくりだす,create,打ちまける,ぶちまける,strike up a fight
掛ける,かける,"hang, put on, spend",尋ねる,たずねる,ask,除く,のぞく,remove,見出だす,みいだす,find,拗ねる,すねる,sulk
得る,える,"get, earn",見付ける,みつける,find,育つ,そだつ,grow,浮かべる,うかべる,imagine,乗り継ぐ,のりつぐ,ride over
