Verbs,Reading,Meaning
為る,する,do
居る,いる,"be, exist, have"
有る,ある,"be, exist, have"
言う,いう,say
成る,なる,become
来る,くる,come
思う,おもう,think
行く,いく,go
見る,みる,see
出来る,できる,be able to
拠る,よる,depend on
仕舞う,しまう,finish
分かる,わかる,understand
持つ,もつ,have
考える,かんがえる,think
遣る,やる,do
出る,でる,go out
就く,つく,take
取る,とる,take
聞く,きく,"listen, ask"
下さる,くださる,give
知る,しる,know
呉れる,くれる,give
入る,はいる,enter
置く,おく,put
使う,つかう,use
対する,たいする,against
於く,おく,be in
出す,だす,put out
作る,つくる,make
行う,おこなう,do
知れる,しれる,know
書く,かく,write
付ける,つける,give
貰う,もらう,get
教える,おしえる,teach
掛ける,かける,"hang, put on, spend"
得る,える,"get, earn"
見える,みえる,see
入れる,いれる,get in
受ける,うける,receive
付く,つく,be attached
違う,ちがう,different
始める,はじめる,begin
呼ぶ,よぶ,call
上げる,あげる,raise
過ぎる,すぎる,pass
感ずる,かんずる,feel
続ける,つづける,continue
食べる,たべる,eat
掛かる,かかる,take
変わる,かわる,change
読む,よむ,read
買う,かう,buy
生きる,いきる,live
切る,きる,cut
立つ,たつ,stand
帰る,かえる,go home
話す,はなす,talk
飲む,のむ,drink
示す,しめす,show
関する,かんする,concerns
与える,あたえる,give
頂く,いただく,receive
戻る,もどる,return
開く,ひらく,open
死ぬ,しぬ,die
従う,したがう,obey
止める,やめる,stop
願う,ねがう,wish
歩く,あるく,walk
待つ,まつ,wait
求める,もとめる,ask
認める,みとめる,admit
会う,あう,meet
続く,つづく,continue
向かう,むかう,go to
生まれる,うまれる,be born
見せる,みせる,show
当たる,あたる,hit
終わる,おわる,end
乗る,のる,ride
残る,のこる,remain
述べる,のべる,state
御座る,ござる,be
立てる,たてる,"stand, set"
答える,こたえる,answer
働く,はたらく,work
送る,おくる,send
始まる,はじまる,begin
含む,ふくむ,include
起こる,おこる,happen
関わる,かかわる,involve
忘れる,わすれる,forget
済む,すむ,finish
笑う,わらう,laugh
為さる,なさる,do
変える,かえる,change
引く,ひく,subtract
売る,うる,sell
進む,すすむ,advance
渡る,わたる,go across
選ぶ,えらぶ,choose
走る,はしる,run
現われる,あらわれる,show up
住む,すむ,live
伝える,つたえる,communicate
動く,うごく,move
決める,きめる,decide
勧める,すすめる,recommend
気付く,きづく,notice
描く,えがく,draw
覚える,おぼえる,remember
打つ,うつ,beat
成す,なす,"build, accomplish"
開ける,あける,open
向ける,むける,turn
殺す,ころす,kill
語る,かたる,tell
信ずる,しんずる,believe
合わせる,あわせる,match
用いる,もちいる,use
連れる,つれる,bring along
異なる,ことなる,differ
離れる,はなれる,leave
残す,のこす,leave
探す,さがす,find
至る,いたる,arrive
経つ,たつ,pass
似る,にる,resemble
守る,まもる,protect
困る,こまる,be in trouble
加える,くわえる,add
調べる,しらべる,find out
生ずる,しょうずる,produce
驚く,おどろく,be surprised
失う,うしなう,lose
合う,あう,match
無くなる,なくなる,lose
増える,ふえる,increase
上がる,あがる,go up
起きる,おきる,get up
座る,すわる,sit down
聞こえる,きこえる,hear
思い出す,おもいだす,remember
許す,ゆるす,"allow, forgive"
落ちる,おちる,fall
繰り返す,くりかえす,repeat
回る,まわる,turn
起こす,おこす,cause to happen
通ずる,つうずる,pass
決まる,きまる,decide
寝る,ねる,sleep
比べる,くらべる,compare
限る,かぎる,limit
振る,ふる,shake
表わす,あらわす,show
通す,とおす,pass
致す,いたす,be in accordance with
基づく,もとづく,be based on
消える,きえる,disappear
尋ねる,たずねる,ask
見付ける,みつける,find
触れる,ふれる,touch
払う,はらう,pay
遊ぶ,あそぶ,play
頼む,たのむ,ask
頑張る,がんばる,hold on to
抱く,いだく,hold
楽しむ,たのしむ,enjoy
流れる,ながれる,flow
捨てる,すてる,throw away
着る,きる,wear
迎える,むかえる,receive
取れる,とれる,"come off, able to get"
押す,おす,push
超える,こえる,exceed
並ぶ,ならぶ,line up
定める,さだめる,"define, determine"
学ぶ,まなぶ,learn
頷く,うなずく,nod
通る,とおる,go through
運ぶ,はこぶ,carry
伴う,ともなう,accompany
広がる,ひろがる,spread
付き合う,つきあう,accompany
泣く,なく,cry
進める,すすめる,advance
繋がる,つながる,connect
挙げる,あげる,raise
捉える,とらえる,catch
見詰める,みつめる,stare at
喜ぶ,よろこぶ,rejoice
避ける,さける,avoid
応ずる,おうずる,respond
届く,とどく,reach
近付く,ちかづく,approach
集まる,あつまる,gather
いらっしゃる,いらっしゃる,come
出掛ける,でかける,go out
眺める,ながめる,view
張る,はる,put up
含める,ふくめる,include
目指す,めざす,aim
愛する,あいする,love
隠す,かくす,hide
集める,あつめる,collect
食う,くう,eat
飛ぶ,とぶ,fly
齎す,もたらす,bring
叫ぶ,さけぶ,shout
逃げる,にげる,escape
抜く,ぬく,pull out
落とす,おとす,drop
暮らす,くらす,live
降りる,おりる,get off
果たす,はたす,fulfill
記す,しるす,note
生む,うむ,give birth
問う,とう,ask questions
止まる,とまる,stop
掴む,つかむ,seize
返す,かえす,return
過ごす,すごす,spend
追う,おう,chase
扱う,あつかう,handle
眠る,ねむる,sleep
及ぶ,およぶ,reach
怒る,おこる,be angry
要する,ようする,take
結ぶ,むすぶ,connect
図る,はかる,plan
歌う,うたう,sing
乗せる,のせる,get on board
申す,もうす,say
支える,ささえる,support
黙る,だまる,be silent
受け取る,うけとる,receive
抱える,かかえる,hold
叩く,たたく,tap
渡す,わたす,give
育てる,そだてる,bring up
借りる,かりる,borrow
受け入れる,うけいれる,accept
動かす,うごかす,move
分ける,わける,share
立ち上がる,たちあがる,stand up
訪れる,おとずれる,visit
当てる,あてる,hit
巡る,めぐる,go around
焼く,やく,bake
伸ばす,のばす,extend
出会う,であう,encounter
助ける,たすける,help
望む,のぞむ,hope
通う,かよう,go through
見付かる,みつかる,find
上る,のぼる,go up
亡くなる,なくなる,pass away
落ち着く,おちつく,settle down
纏める,まとめる,settle down
抜ける,ぬける,leave
取り上げる,とりあげる,take up
構う,かまう,prepare
戦う,たたかう,fight
達する,たっする,reach
悩む,なやむ,worry
洗う,あらう,wash
疲れる,つかれる,get tired
着く,つく,arrive
喋る,しゃべる,talk
慣れる,なれる,get used to it
流す,ながす,flush
握る,にぎる,hold
減る,へる,decrease
下げる,さげる,lower
占める,しめる,occupy
優れる,すぐれる,be gentle
包む,つつむ,wrap
吐く,はく,exhale
消す,けす,erase
覗く,のぞく,peek
勝つ,かつ,win
浮かぶ,うかぶ,float
去る,さる,leave
回す,まわす,turn
除く,のぞく,remove
育つ,そだつ,grow
終える,おえる,finish
外す,はずす,remove
呟く,つぶやく,mutter
向く,むく,turn towards
負ける,まける,lose
要る,いる,need
恐れる,おそれる,fear
直す,なおす,fix
設ける,もうける,set up
支払う,しはらう,pay
迫る,せまる,press
経る,へる,go through
振り返る,ふりかえる,look back
断る,ことわる,refuse
誘う,さそう,invite someone to join you
越える,こえる,go beyond
取り出す,とりだす,take out
急ぐ,いそぐ,hurry
慌てる,あわてる,hurry
訴える,うったえる,appeal
命ずる,めいずる,command
有する,ゆうする,have
別れる,わかれる,part
伝わる,つたわる,be transmitted
参る,まいる,go to
尽くす,つくす,devote oneself to
移る,うつる,move
告げる,つげる,tell
仰る,おっしゃる,tell
詰まる,つまる,be at one's wits' end
下ろす,おろす,bring down
広げる,ひろげる,spread
任せる,まかせる,leave to
掻く,かく,scratch
戻す,もどす,bring back
休む,やすむ,rest
遅れる,おくれる,delay
重ねる,かさねる,repeat
足りる,たりる,be enough
見なす,みなす,overlook
間違う,まちがう,make a mistake
閉じる,とじる,close
保つ,たもつ,keep
吸う,すう,suck
諦める,あきらめる,give up
耐える,たえる,endure
訪ねる,たずねる,visit
生かす,いかす,keep alive
下がる,さがる,step back
確かめる,たしかめる,make sure
鳴る,なる,sound
目立つ,めだつ,stand out
掲げる,かかげる,hold up
移す,うつす,move
並べる,ならべる,arrange
高める,たかめる,raise
奪う,うばう,take away
被る,こうむる,suffer
疑う,うたがう,doubt
履く,はく,put on
生み出す,うみだす,produce
迷う,まよう,go astray
襲う,おそう,attack
発する,はっする,emit
挟む,はさむ,pinch
登る,のぼる,climb
属する,ぞくする,belong
繋ぐ,つなぐ,connect
降る,ふる,descend
組む,くむ,assemble
取り組む,とりくむ,tackle
負う,おう,bear
載る,のる,be on top of
倒れる,たおれる,fall
撮る,とる,take
響く,ひびく,echo
応える,こたえる,respond
留まる,とまる,stay
指す,さす,point
接する,せっする,come in contact with
狙う,ねらう,aim
救う,すくう,save
満たす,みたす,fill
伸びる,のびる,extend
説く,とく,preach
貸す,かす,lend
加わる,くわわる,join
絶える,たえる,cease
覆う,おおう,cover
務める,つとめる,serve
利く,きく,be effective
分かれる,わかれる,divide
下る,くだる,descend
止む,やむ,stop
見掛ける,みかける,see
窺う,うかがう,see
輝く,かがやく,shine
招く,まねく,invite
寄せる,よせる,bring near
抑える,おさえる,restrain
沿う,そう,follow
溢れる,あふれる,overflow
空く,すく,empty
光る,ひかる,shine
称する,しょうする,praise
促す,うながす,urge
込める,こめる,put into
存ずる,ぞんずる,exist
囲む,かこむ,surround
塗る,ぬる,paint
防ぐ,ふせぐ,prevent
論ずる,ろんずる,discuss
押さえる,おさえる,seize
注ぐ,そそぐ,pour
引っ張る,ひっぱる,pull
切れる,きれる,cut
陥る,おちいる,fall
数える,かぞえる,count
隠れる,かくれる,hide
咲く,さく,bloom
高まる,たかまる,rise
備える,そなえる,prepare
作り出す,つくりだす,create
見出だす,みいだす,find
浮かべる,うかべる,imagine
