W1,W2,W3,W4
"シンプル <br>シンプル <br>simple <br>シンプルな考え","重大 <br>じゅうだい <br>serious・important・significant <br>重大な欠点","下品 <br>げひん <br>vulgar・coarse・crude <br>下品な宣伝看板 ","露 <br>あらわ <br>exposed・bare <br>露な判断 "
"窮屈 <br>きゅうくつ <br>narrow・tight・cramped <br>窮屈な場所","真摯 <br>しんし <br>sincere・earnest・serious <br>真摯な協議","周到 <br>しゅうとう <br>careful・thorough・meticulous <br>周到な研究 ","不潔 <br>ふけつ <br>unclean・dirty・filthy・impure <br>不潔な環境"
"知的 <br>ちてき <br>intellectual <br>知的な役割 ","稀 <br>まれ <br>rare・seldom <br>稀な副作用","真っ直ぐ <br>まっすぐ <br>straight・direct <br>真っ直ぐな運河","真っ赤 <br>まっか <br>deep red <br>真っ赤な紅葉"
"主要 <br>しゅよう <br>chief・main・principal <br>主要な管理","勇敢 <br>ゆうかん <br>brave・heroic・gallant <br>勇敢な冒険者","暢気 <br>のんき <br>carefree・optimistic・careless <br>暢気な生活","良質 <br>りょうしつ <br>good quality <br>良質な素材"
"性的 <br>せいてき <br>gender・sex <br>性的な挙動","気の毒 <br>きのどく <br>pitiful・unfortunate <br>気の毒な結果","同一 <br>どういつ <br>identical・same・fair <br>同一な記述","可能 <br>かのう <br>possible・potential <br>可能な構成"
"外的 <br>がいてき <br>external・outside <br>外的な差異","大雑把 <br>おおざっぱ <br>rough・not precise・broad <br>大雑把な推定","虚ろ <br>うつろ <br>cavity・hollow・void <br>虚ろな想像","曖昧 <br>あいまい <br>vague・ambiguous・unclear​ <br>曖昧な仮説"
"自在 <br>じざい <br>doing at will​ <br>自在な運用","様々 <br>さまざま <br>various・diverse・all sorts of​ <br>様々な方法","粗末 <br>そまつ <br>crude・rough・plain・humble <br>粗末な社宅","尋常 <br>じんじょう <br>common, usual <br>尋常な修行"
"大変 <br>たいへん <br>immense・enormous​・serious <br>大変な過程","気楽 <br>きらく <br>carefree・comfortable <br>気楽な規制","淫ら <br>みだら <br>indecent・obscene・improper <br>淫らな関係","単一 <br>たんいつ <br>single・simple・sole・individual <br>単一な解釈"
"微妙 <br>びみょう <br>subtle・delicate・complex <br>微妙な技術","希薄 <br>きはく <br>thin・diluted・lacking <br>希薄な溶液","如何 <br>いかが <br>questionable・how <br>如何な予算配分","安楽 <br>あんらく <br>ease・comfort・carefree・cozy <br>安楽な暮らし"
"可哀想 <br>かわいそう <br>poor・pitiable・pathetic <br>可哀想な被害者","スムーズ <br>スムーズ <br>smooth <br>スムーズな旅行管理","最適 <br>さいてき <br>most suitable <br>最適な季節","切 <br>せつ <br>eager・earnest <br>切な治療"
