Time,Time.Read,Time.Trans,House,House.Read,House.Trans,Person,Person.Read,Person.Trans,Family,Family.Read,Family.Trans,Body,Body.Read,Body.Trans,Personality,Personality.Read,Personality.Trans,Food,Food.Read,Food.Trans,Feels,Feels.Read,Feels.Trans
今日,きょう,today,居間,いま,living room,私,わたし,I,家族,かぞく,family,頭,あたま,head,行動的,こうどうてき,active,赤身,あかみ,"red flesh, lean meat",情けない,なさけない,"ashamed, shameful"
明日,あした,tomorrow,バルコニー,バルコニー,balcony,僕,ぼく,"I, me",娘,むすめ,daughter,耳,みみ,ear,積極的,せっきょくてき,aggressive,赤飯,せきはん,red rice (beans and mochi),望ましい,のぞましい,"desirable, preferable"
昨日,きのう,yesterday,手すり,てすり,railing,俺,おれ,"I, me",息子,むすこ,son,首,くび,neck,意欲的,いよくてき,ambitious,刺身,さしみ,sashimi,好ましい,このましい,"likeable, ikeable"
明後日,あさって,the day after tomorrow,天井,てんじょう,ceiling,私たち,わたしたち,we,男性,だんせい,male,頬,ほほ,cheek,勇敢,ゆうかん,brave,馬刺し,ばさし,horse-meat sashimi,申し分がない,もうしぶんがない,nothing to criticize
一昨日,おととい,the day before yesterday,絵画,かいが,painting,あなた,あなた,you,女性,じょせい,female,顔,かお,face,慎重,しんちょう,careful,海老,えび,"prawn, shrimp, lobster",快い,こころよい,"pleasant, agreeable"
今週,こんしゅう,this week,椅子,いす,chair,あんたたち,あんたたち,you,子供,こども,children,髪,かみ,hair,独創的,どくそうてき,creative,伊勢海老,いせえび, spiny lobster,清々しい,すがすがしい,refreshing
来週,らいしゅう,next week,壁,かべ,wall,彼,かれ,he,両親,りょうしん,parents,眉毛,まゆげ,eyebrow,勤勉,きんべん,diligent,片栗粉,かたくりこ,potato starch,爽快,そうかい,"invigorating, exhilarating"
再来週,さらいしゅう,the week after next,テレビ,テレビ,television,彼女,かのじょ,she,父,ちち,my father,目,め,eye,のんき,のんき,easygoing,若布,わかめ,"wakame, seaweed",待ち遠しい,まちどおしい,eagerly awaited
先週,せんしゅう,last week,コーヒーテーブル,コーヒーテーブル,coffee table,彼ら,かれら,they,母,はは,my mother,鼻,はな,nose,感情的,かんじょうてき,emotional,胡麻,ごま,sesame seeds,心強い,こころづよい,reassuring
今月,こんげつ,this month,絨毯,じゅうたん,carpet,彼女ら,かのじょら,they,兄,あに,my elder brother,口,くち,mouth,熱心,ねっしん,enthusiastic,缶詰,かんづめ,canned food,心細い,こころぼそい,discouraging
来月,らいげつ,next month,カーテン,カーテン,curtain,みんな,みんな,everyone,姉,あね,my elder sister,舌,した,tongue,外向的,がいこうてき,extroverted,大根,だいこん,"daikon, radish",空しい,むなしい,empty
再来月,さらいげつ,the month after next,エアコン,エアコン,air conditioner,皆さん,みなさん,everyone,弟,おとうと,my younger brother,歯,は,teeth,フレンドリー,フレンドリー,friendly,長芋,ながいも,chinese yam ,切ない,せつない,"sad, painful"
先月,せんげつ,last month,テーブル,テーブル,table,全員,ぜんいん,all,妹,いもうと,my younger sister,顎,あご,chin,勤勉,きんべん,hard-working,胡瓜,きゅうり,cucumber,物足りない,ものたりない,insufficient
今年,ことし,this year,ソファ,ソファ,sofa,人,ひと,person,兄弟,きょうだい,"siblings, brothers",唇,くちびる,lips,誠実,せいじつ,honest,小豆,あずき,adzuki bean ,煩わしい,わずらわしい,"annoying, troublesome"
来年,らいねん,next year,床,ゆか,floor,人々,ひとびと,people,姉妹,しまい,sisters,指,ゆび,fingers,優柔不断,ゆうじゅうふだん,indecisive,人参,にんじん,carrot,うっとうしい,うっとうしい,"annoying, irritating"
