Words,Remarks,Meaning,Sentence,Translation,Level
表現される,▸【receptive:passive】,be expressed,理想は言葉によって表現される。,Ideals are expressed by words.,1
読んではいけない,▸【prohibition】,should not read,薄暗い明かりで本を読んではいけない。,Do not read a book in dim light.,2
住みたい,▸【desiderative】,want to live,京都か奈良に住みたい。,I want to live in Kyoto or Nara.,1
お訪ねください,▸【sonkeigo:honorific】,please visit,忙しくない時にいつかお訪ねください。,Please visit us sometime when you are not busy.,1
来なさい,▸【imperative】,come,明日また来なさい。,Come back again tomorrow.,1
掲示します,▸【humble】,post,全従業員ラウンジに発表を掲示します。,Announcements will be posted in all employee lounges.,1
汚染されている,▸【resultative-receptive:passive】,being contaminated,この川は工場の廃棄物で汚染されている。,This river is polluted with factory waste.,1
言っていただける,▸【polite request】,could you say,今のをもう一度言っていただける。,Can you repeat what you just said.,2
来ていただく,▸【humble:polite-receptive】,have someone to come,完成後引き取りに来ていただくだけで大丈夫ですよ。,All you need to do is come and pick it up after completion.,2
歌ってもらう,▸【receptive】,have someone to sing,友達にコーラスを歌ってもらう。,Have a friend sing the chorus.,1
対応させていただく,▸【humble:polite-causative-receptive】,have someone to let me respond,お客様からのお問合せやご依頼内容に対応させていただくため。,To respond to inquiries and requests from customers.,3
処理させていただく,▸【humble:polite-causative-receptive】,have someone to let me process,お客様の情報を処理させていただく場合があります。,We may process your information.,3
走らせておく,▸【causative:set a cause to do】,let it run,プログラムを走らせておくことができます。,You can keep the program running.,2
