Pattern,Meaning,Structure,Remarks,Remarks.1,Remarks.2,Sentence,Translation,Sentence.1,Translation.1
to,if・when,Vru・Vnai + to,"the condition is general, habitual, actual or logical ",the consequence is certain or have constant result,,この橋を渡る<b>と</b>学校が見える。,"If you cross this bridge, you can see the school.",このボタンを押す<b>と</b>ドアが開きます。,"If you press this button, the door will open"
ba,if,Vcmd-stem + ba ⇢ Vba,the condition is generic hypothetical,the consequence is always or invariably happens,,朝早く出発すれ<b>ば</b>その列車に間に合うでしょう。,"If you leave early in the morning, you can catch that train.",もっと勉強すれ<b>ば</b>試験に合格できますよ。,"If you study more, you can pass the exam."
tara,if・when,Vta + ra,"the condition is hypothetical, uncertain, specific, one-time, or temporal",the consequence is dependent on the condition,,それは落とし<b>たら</b>割れるだろう。,That would break if dropped.,明日雨が降っ<b>たら</b>家にいよう。,"If it rains tomorrow, let’s stay home."
nara,if・if it is the case,Vru・Vnai + nara,"the condition is hypothetical, contextual or preferential",the consequence is independent of the condition,,訪れる<b>なら</b>早朝がオススメです。,An early morning is recommended if you visit here.,日本語が上手になりたい<b>なら</b>毎日練習しなさい。,"If you want to become good at Japanese, practice every day."
toki,when・at the time・a point in time,Vplain-form・I-Adj・Na-Adj+na・N+no + toki,situation that happens at the same time or in sequence,,,日本に行く<b>とき</b>パスポートを持っていきます,"When I go to Japan, I take my passport.",日本に行った<b>とき</b>たくさん写真を撮りました。,"When I went to Japan, I took a lot of photos."
toki ni,at the time of・on the occasion of,Vplain-form・I-Adj・Na-Adj+na・N+no + toki ni,emphasizes a specific point of time or situation,often used with verbs that express a change or an occurrence,,電話をかける<b>ときに</b>電池が切れました。,The battery died when I was making a phone call.,試験の<b>ときに</b>答えを忘れました。,I forgot the answer during the exam.
toki wa,when・ whenever,Vplain-form・I-Adj・Na-Adj+na・N+no + toki wa,emphasizes a general or habitual action or situation,often used with verbs that express an action or a state,,食べる<b>ときは</b>手を洗います。 ,I wash my hands when I eat.,雨が降る<b>ときは</b>傘を持ちます。,I take an umbrella when it rains.
aida,while・during,Vplain-form・N+no + aida,indicates the entire period of time or situation when something is happening,,,レポートが生成される<b>間</b>お待ちください。,Please wait while the report is generated.,このオプションを使用できるのは承認待ちの<b>間</b>だけです。,This option is only available while approval is pending.
aida ni,while・during,Vplain-form・N+no + aida ni,indicates a specific point of time or situation when something happens,used with verbs that express a change or an occurrence,,電話をしている<b>間に</b>ドアベルが鳴りました。,The doorbell rang while I was on the phone.,昼寝をしている<b>間に</b>地震がありました。,There was an earthquake while I was taking a nap.
ato ,after,Vta・N+no + ato,indicates the time or event that follows another time or event,usually followed by a noun or a verb in the past tense,used when action or condition is continuing,電話を切った<b>あと</b>彼からメールが来た。,"After I hung up the phone, he sent me an email.",昼ご飯の<b>あと</b>散歩に行きました。,"After lunch, I went for a walk."
