Script.EP1,Meaning.EP1,Script.EP2,Meaning.EP2,Script.EP3,Meaning.EP3,Script.EP4,Meaning.EP4,Script.EP5,Meaning.EP5,Script.EP6,Meaning.EP6,Script.EP7,Meaning.EP7,Script.EP8,Meaning.EP8,Script.EP9,Meaning.EP9,Script.EP10,Meaning.EP10,Script.EP11,Meaning.EP11,Script.EP12,Meaning.EP12
東京ですか？,Tokyo?,信濃屋酒店… １辛？,Shinanoya Liquor Store. Spice level one?,高野会館？,Takano Hall?,（猿川健太(さるかわ けんた)）きれいやな,How beautiful.,（配達員）すいません,Excuse me.,,,,,,,,,,,,,,
そうや ２年前に新たに 設けられた営業促進室や,Yeah. It's the Sales Promotion Team that was established two years ago.,10辛って 一体…,Then how bad is spice level ten?, ああ かなりの規模だが,"It's a large place,",（健太）どうにかなりませんか？,Can you help us?,こちらですね はい お待たせしました,Here's your order. -Thanks for waiting. -Thanks.,,,,,,,,,,,,,,
苦戦する東京支社の テコ入れのため,They teamed up a group of elites,ラスボス感 ハンパないっすよね,It's like fighting against the final boss.,今現在 なぜかわからないが 自販機を一台も設置していない,"but for some reason, they haven't installed a vending machine yet.",（前田(まえだ) 直）その件に関しましては 先月もそちらの部長に 伝えてあります,"As for that matter, I already talked to your manager last month.",こちらもですね,Here you go. This one as well. Thank you.,,,,,,,,,,,,,,
優秀な人材を揃えた 精鋭部隊という話や,in order to support the struggling branch office in Tokyo.,イエイ！,Yup!,一台も？,Not even one?,そこをどうにか お願いできないでしょうか,Can we ask you to make some adjustments?,ありがとうございます,-Thank you. -You're welcome.,,,,,,,,,,,,,,
あ でも 僕 サポート担当で 新規開拓の経験なんて 浅くてですね,"But I'm only a support member, and I've never recruited new clients.",だが ゲキカラドウを極めれば 勝てないことはない,But you can win by mastering the way of the hot and spicy.,もし自販機を置けたら ロンロンが 独占できるってことですよね,"If we get it installed, will Lonron have exclusive rights to it?",申請期限を過ぎた経費の 精算はできません,We cannot settle expenses that are past the deadline.,（篠宮亮介(しのみや りょうすけ)） ありがとうございました,Thank you very much.,,,,,,,,,,,,,,
猿川 お前自身のためや,"Sarukawa, this is for your own good.",ゲキカラドウ？,The way of the hot and spicy?,大役よ～ 大丈夫？,Can you handle this important role?,今後このようなミスは 絶対にしません,We'll never repeat this mistake!,（亮介） ありがとうございました,Thank you.,,,,,,,,,,,,,,
結果を出して 大阪に帰って来い,Produce good results and come back to Osaka.,そんなことより 私 ２辛のスーパーなかやへ,I'm off to the spice level two Supermarket Nakaya.,お猿には ちょっと早いんじゃないか,Saru isn't experienced enough.,だからどうか今回だけは,So please help us out this time.,あ あ すいません ありがとうございました,Sorry. Thank you.,,,,,,,,,,,,,,
必ずキャリアアップに繋がる,It’ll be advantageous for your career.,ああ よろしく頼むよ いってらっしゃーい,Good luck. -Bye.,やってくれるか 猿川君,"Sarukawa, will you be able to do it?",規則ですので,These are the rules.,（配達員）またお願いします （亮介）はい,-Please call us again. -Okay.,,,,,,,,,,,,,,
この時はまだ 東京転勤に,"At this moment in time, I never imagined that my transfer to Tokyo",大河内パイセン ２辛なのに 余裕っすよね,Spice level two must be a walk in the park for Ms. Okochi.,はい 僕に任せてください,Yes. Please leave it up to me.,（健太）そんな…,No way.,友麻パイセン カレーのときも ライス抜きなんすね,"Ms. Yuma, you eat curry without rice?",,,,,,,,,,,,,,
運命を変える出会いがあるとは 想像もしてへんかった,"At this moment in time, I never imagined that my transfer to Tokyo would lead to a life-altering encounter.",なぁなぁなぁ ゲキカラドウって 一体…,"Hey, what is the way of the hot and spicy?",高野会館の激辛度は…,The spice level for Takano Hall is…,では 忙しいので,"Well, I have work to do.",（山崎裕也(やまざき ゆうや)） カレーは飲み物ね 僕と一緒だな,"Curry is a drink, right? We think alike.",,,,,,,,,,,,,,
