Script.EP1,Meaning.EP1,Script.EP2,Meaning.EP2,Script.EP3,Meaning.EP3,Script.EP4,Meaning.EP4,Script.EP5,Meaning.EP5,Script.EP6,Meaning.EP6,Script.EP7,Meaning.EP7,Script.EP8,Meaning.EP8,Script.EP9,Meaning.EP9,Script.EP10,Meaning.EP10,Script.EP11,Meaning.EP11,Script.EP12,Meaning.EP12
皆さん おはようございます,"Good morning, everyone.",,,,,,,,,,,,,,,,,,,,,,
速水(はやみ)もこみちです さあ…,This is Mokomichi Hayami.,,,,,,,,,,,,,,,,,,,,,,
今日は どんなメールが 来てるのでしょうか？,What kind of e-mails are you getting today?,,,,,,,,,,,,,,,,,,,,,,
女子会かぁ…,A girls' night out...,,,,,,,,,,,,,,,,,,,,,,
女子会ということで,It's a girls' night out.,,,,,,,,,,,,,,,,,,,,,,
ヘルシーで かわいい 新感覚な,"How about a healthy, cute, new sensation?",,,,,,,,,,,,,,,,,,,,,,
冷製おつまみなんて どうでしょう？,"How about a new kind of healthy, cute, cold snack?",,,,,,,,,,,,,,,,,,,,,,
今日 作りたくなる 簡単レシピを紹介！,I'll show you an easy recipe that you'll want to make today!,,,,,,,,,,,,,,,,,,,,,,
女の子が喜びそうな この鶏もも これを…,Chicken thighs that the girls will love.,,,,,,,,,,,,,,,,,,,,,,
鶏もも肉は まず３等分したら,"First, cut the chicken thigh into thirds.",,,,,,,,,,,,,,,,,,,,,,
筋を切り 開いていきます,Cut the sinews out and open it up.,,,,,,,,,,,,,,,,,,,,,,
焼く前に こういうフォークを 用意します,"Before you cook it, you need a fork like this.",,,,,,,,,,,,,,,,,,,,,,
これを…,And we're going to...,,,,,,,,,,,,,,,,,,,,,,
刺していきます,Stick it in.,,,,,,,,,,,,,,,,,,,,,,
こうすることによって フライパンに 移したときに,"This way, when you put it in the pan.",,,,,,,,,,,,,,,,,,,,,,
火通りが よくなります,"So that when you put it in the frying pan, it cooks better.",,,,,,,,,,,,,,,,,,,,,,
ここら辺の周りが,When you see a little white around here.,,,,,,,,,,,,,,,,,,,,,,
ちょっと こう白くなってきたら ひっくり返すタイミングです,"When it starts to turn white, it's time to turn it over.",,,,,,,,,,,,,,,,,,,,,,
ほら！,Look!,,,,,,,,,,,,,,,,,,,,,,
いい色！,Nice color.,,,,,,,,,,,,,,,,,,,,,,
両面が 香ばしく焼けたら,When both sides are fragrant.,,,,,,,,,,,,,,,,,,,,,,
ねぎと しょうがを 加えます,Add the green onion and ginger.,,,,,,,,,,,,,,,,,,,,,,
まさかの梅干し！,Dried plums!,,,,,,,,,,,,,,,,,,,,,,
なんと 梅干しをフライパンへ！,Dried plums in the frying pan.,,,,,,,,,,,,,,,,,,,,,,
そして コンソメスープを 加えます,Add consomme soup.,,,,,,,,,,,,,,,,,,,,,,
ちょっとヒタヒタに なるぐらいまで 入れましょう,Add consomme soup.,,,,,,,,,,,,,,,,,,,,,,
更に 酒 しょうゆを入れ,Add sake and soy sauce.,,,,,,,,,,,,,,,,,,,,,,
味を調えたら そこへ落としぶた,"Add sake, soy sauce, soy sauce, season to taste, and a drop-lid.",,,,,,,,,,,,,,,,,,,,,,
落としぶたは アルミホイルで 簡単に作れます,You can use aluminum foil.,,,,,,,,,,,,,,,,,,,,,,
これで 15分から20分 煮詰めましょう,And let it simmer for 15 to 20 minutes.,,,,,,,,,,,,,,,,,,,,,,
見てください,And look at that.,,,,,,,,,,,,,,,,,,,,,,
柔らかくなってきました そしたら…,And then... when the chicken is tender.,,,,,,,,,,,,,,,,,,,,,,
鶏もも肉が 柔らかくなったら,When the chicken thighs are tender.,,,,,,,,,,,,,,,,,,,,,,
バットに取り出し ねぎと しょうがは取り除きます,"And when the chicken thighs are tender, we take them out onto a baking pan, and we remove the green onions and the ginger.",,,,,,,,,,,,,,,,,,,,,,
