Words,Meaning,Sentence,Translation
返す,to return (something),この本は期限が切れているので、今日中に返さなければなりません。,"This book is overdue, so I have to return it by today."
返事,"reply, answer",彼は私のメールに返事をしなかったので、心配になりました。,"He did not reply to my email, so I got worried."
返済,"repayment, reimbursement",彼は返済のために毎月一定額を積み立てている。,He is saving a fixed amount every month for repayment.
怖い,"scary, frightening",彼女は怖い話が苦手で、夜眠れなくなる。,She is bad at scary stories and can’t sleep at night.
恐怖,"fear, terror",彼は恐怖のあまり声も出せなかった。,He was so terrified that he could not utter a word.
怖がる,"to be afraid of, to fear",彼は犬を怖がらないで、触ってみなさい。,"Don’t be afraid of the dog, try touching it."
指輪,ring (jewelry),彼は彼女に指輪をはめて、プロポーズした。,He put a ring on her finger and proposed to her.
指定,"designation, specification",この列車は指定席がありません。,This train does not have reserved seats.
指す,"to point, to indicate",この漢字は何と読むのですか。辞書で指してください。,How do you read this kanji? Please point it out in the dictionary.
感情,"emotion, feeling",彼は感情的になりやすく、すぐに泣いたり笑ったりする。,He is easily emotional and cries or laughs quickly.
感覚,"sensation, sense",彼は音楽の感覚が鋭く、どんな曲でもすぐに覚える。,He has a keen sense of music and can remember any song quickly.
感染,"infection, contagion",彼はインフルエンザに感染してしまい、学校を休んだ。,He got infected with influenza and missed school.
声明,"declaration, statement",彼は記者会見で自分の立場を声明した。,He declared his position at a press conference.
小声,"whisper, low voice",彼は小声で彼女に耳打ちした。,He whispered in her ear in a low voice.
音声,"voice, sound",彼の音声は録音されていた。,His voice was recorded.
笑う,to laugh,彼は自分の失敗を笑って認めた。,He laughed and admitted his mistake.
笑顔,smiling face,彼女はいつも明るい笑顔でみんなを励ましてくれる。,She always encourages everyone with a bright smile.
微笑,to smile,彼は微笑を浮かべながらこちらに近づいてきた。,He approached me with a smile on his face.
支配,"to rule, to control",この国は独裁者によって支配されている。,This country is ruled by a dictator.
支給,"to supply, to provide",会社は従業員に食事券を支給している。,The company provides meal vouchers to its employees.
支える,"to support, to sustain",彼は家族を支えるために一生懸命働いている。,He works hard to support his family.
経済,economy,日本の経済はコロナ禍で大きな打撃を受けた。,Japan’s economy suffered a major blow from the coronavirus pandemic.
済む,"to finish, to settle",この仕事は今日中に済ませなければならない。,This work must be finished by today.
救済,"relief, aid",政府は災害にあった人々に救済金を支払った。,The government paid relief money to the people affected by the disaster.
込む,"to be crowded, to be congested",朝の電車はいつも人で込んでいる。,The train is always crowded with people in the morning.
申し込む,"to apply, to subscribe",彼は大学に入学するために試験に申し込んだ。,He applied for the exam to enter the university.
割り込む,"to cut in, to interrupt",彼は話の途中で割り込んできて、皆をイライラさせた。,He cut in while I was talking and annoyed everyone.
死亡,death,交通事故で死亡した人数は昨年より減少した。,The number of people who died in traffic accidents decreased from last year.
逃亡,"escape, flight",犯人は警察の追跡をかわして逃亡した。,The criminal escaped from the police chase.
滅亡,"ruin, destruction",古代文明は何が原因で滅亡したのだろうか。,What caused the ancient civilization to perish?
鳴く,to sing or make a sound (animals),夜中に犬が鳴いて、眠れなかった。,I couldn’t sleep because the dog was barking in the middle of the night.
鳴る,to ring or make a sound (inanimate),アラームが鳴るまで、起きないつもりだ。,I don’t intend to wake up until the alarm rings.
共鳴,"resonance, sympathy",彼の言葉に共鳴して、多くの人が集まった。,Many people gathered in sympathy with his words.
