Japanese,Korean,English,Spanish
目が覚める,깨어난다,I wake up,Despertar
目覚ましを止める,알람을 끈다,I turn off the alarm clock,Apago el despertador
寝返りをうつ,나는 침대에서 뒤척인다,I turn over in bed,Me doy la vuelta en la cama
二度寝する,두 번 잠든다,I fall back to sleep again,Me vuelvo a dormir dos veces
ふとんから出る,이불에서 나온다,I get out of bed,Me levanto de la cama
暖房をつける,난방을 켠다,I turn on the heater,Enciendo la calefacción
カーテン窓を開ける,커튼창을 열어라,Opening curtain windows,Abre la ventana de la cortina
ふとんをたたんで押し入れにしまう,이불을 접어서 옷장에 넣는다,I fold up the bedding and put it in the closet,Doblo la ropa de cama y la meto en el armario
ベッドを整える,나는 침대를 만든다,I make the bed,Yo hago la cama
パジャマを脱ぐ,잠옷을 벗는다,I take off my pajamas,Quitarse el pijama
トイレに行く,화장실에 간다,I go to the bathroom,Voy al baño
トイレの水を流す,화장실 물을 내린다,I flush the toilet,Tiro de la cadena
手を洗う,손을 씻습니다,I wash my hands,Me lavo las manos
手をふく,손을 닦습니다,I wipe my hands,Me limpio las manos
