Number,Questions,Translation
1,いま、日本ではワインの、<b>生産量</b>は年によって<b>上下</b>しますが、<b>輸出量</b>が増え、ワイン造りが盛り上がっています。<b>国外</b>の<b>大規模</b>なコンクールで高い<b>評価</b>を受ける日本のワインも<b>登場</b>してきている、というのが「日本ワイン」をとりまく<b>現状</b>です。,"In Japan today, wine production is rising and falling from year to year, but wine exports are increasing and winemaking is booming. The current situation surrounding ""Japanese wine"" is that some Japanese wines are receiving high acclaim in large-scale competitions outside of Japan."
2,<b>梅雨明け</b>が待ち遠しい<b>今日</b>このごろ、いよいよかき氷の<b>本格</b>シーズン<b>到来</b>です！　東京の<b>下町</b>・谷中にある「ひみつ堂」は、<b>天然</b>氷を手削りした上から、自家製蜜がとろ～りかかったかき氷を<b>目当て</b>に、<b>行列</b>ができる超人気店。これまで130<b>種類</b>以上のメニューが登場し、その数はまだまだ<b>増え続けています</b>。そのなかから、この夏食べたいかき氷をご<b>紹介します</b>。,"With the end of the rainy season just around the corner, the shaved ice season is finally in full swing!　Himitsudo, located in Yanaka, downtown Tokyo, is a very popular shaved ice store where customers line up to get their shaved ice, which is made from natural ice that has been shaved by hand and drizzled with homemade honey. The shop has so far offered more than 130 different kinds of shaved ice, and the number continues to grow. Here are some of the shaved ice items you should try this summer."
3,すき焼き風に<b>味付け</b>した神戸牛＆うどんを<b>特製</b>旨辛だしにつけて<b>楽しむ</b>「神戸牛旨辛つけうどん」と香ばしく焼き上げた神戸牛をたっぷりのせた「神戸牛焼肉丼」が2021年7月6日(火)から丸亀製麺に<b>登場</b>しています。これまでの神戸牛シリーズと<b>比べて</b>厚切りにカットされた神戸牛を楽しめるとのことで、<b>実際</b>に2品とも食べて味を確かめてみました。,"The ""Kobe Beef Udon Noodle"", which features sukiyaki-style seasoned Kobe beef and udon noodles dipped in a special spicy broth, and the ""Kobe Beef Yakiniku Donburi"", which features a generous portion of savory grilled Kobe beef, have been available at Marugame Seimen since July 6, 2021 (Tuesday). Compared to the previous Kobe Beef series, the Kobe Beef Yakiniku Donburi allows customers to enjoy thicker cuts of Kobe Beef, so we actually tried both items to see how they tasted."
4,地球上に<b>存在</b>する言語は、英語やフランス語などのメジャーなものから少数<b>民族</b>によって話されているマイナーなものまで、<b>数千</b>もの種類があると考えられています。ところが、<b>少数</b>の人々しか話さない言語は<b>消滅</b>の<b>危機</b>にあり、これらの言語が消滅することで「貴重な医学的知識」が失われてしまうと<b>指摘</b>されています。,"It is believed that there are thousands of languages on earth, ranging from major ones such as English and French to minor ones spoken by ethnic minorities. However, languages spoken by only a few people are in danger of disappearing, and it has been pointed out that ""valuable medical knowledge"" will be lost if these languages disappear."
5,"油長<b>酒造</b>、ブロックチェーン<b>技術活用</b>のサービス導入。<b>日本酒</b>の<b>魅力</b>や価値<b>最大化</b>を<b>追求</b>

<br>「<b>酒造り</b>の根源」である奈良から、<b>技術革新</b>で新たな<b>伝統</b>を<b>創り続けている</b>油長酒造<b>株式会社</b>（以下、油長酒造）。

<br>今回、<b>同社</b>はSBIトレーサビリティ株式会社が<b>提供</b>する、ブロックチェーン技術を<b>活用</b>したブランド<b>保護</b>を可能とするトレーサビリティ・サービス「SHIMENAWA（しめなわ）」を導入しました。

<br>まずは、 “物事の<b>最初</b>。出はじめ。はじまり”のことを指す「水端（みづはな）」ブランドから導入し、<b>今後</b>ほかの<b>銘柄</b>にも導入を進めるとのこと。","Aburacho Sake Brewery introduces service utilizing blockchain technology. Seeking to Maximize the Appeal and Value of Sake
<br>Ltd. (hereinafter referred to as ""Aburacho Sake Brewery"") continues to create new traditions through technological innovation from Nara, the ""root of sake brewing.
<br>This time, the company has introduced SHIMENAWA, a traceability service provided by SBI Traceability Corporation that enables brand protection using blockchain technology.
<br>First of all, ""the beginning of things. The beginning. Mizuhana"" brand, which means ""the beginning of things,"" and will be introduced to other brands in the future."
6,"宜野湾市の<b>海岸</b>沿いに建つ「ハッピーモア<b>市場</b>Tropical（トロピカル）店」は、<b>野菜</b>や<b>果物</b>の直売所と自然派<b>食品</b>のお店です。もともと市内のビニールハウスの直売所からスタートし、<b>仕入先</b>は小さな<b>農家</b>を中心に2000件<b>以上</b>。地元農家が愛情を注いで育てた野菜は、自分や<b>家族</b>が食べるために作った野菜なので、<b>農薬</b>はほとんど使わずに<b>育てています</b>。ハッピーモア<b>市場</b>はそうした農家と消費者とをつなぐファーマーズマーケットです。
<br>直売所ならではのおいしいスイーツもお<b>見逃</b>しなく。","Happy More Market Tropical, located along the coast of Ginowan City, is a vegetable and fruit direct sales and natural food store. Originally started as a direct sales shop in plastic greenhouses in the city, the store has over 2,000 suppliers, mainly small farmers. Local farmers lovingly grow vegetables for themselves and their families to eat, and they do so with little or no pesticides. Happy More Market is a farmers' market that connects such farmers with consumers.
<br>Don't miss the delicious sweets that only a direct sales market can offer."
7,"動画ストリーミングサービスの「Netflix」は、<b>新着</b>コンテンツを<b>把握</b>しやすくするアップデートをスマートテレビ向けアプリに提供<b>開始</b>した。ホーム<b>画面</b>に「まもなく配信（Coming Soon）」の列が<b>追加</b>され、テレビシリーズや映画がいつ<b>配信</b>開始されるかを<b>視聴者</b>に知らせるほか、オプションでリマインダーも<b>設定</b>できる。
<br><b>加入者</b>はこれまでも、「<b>新作</b>＆<b>人気</b>」メニューに<b>移動</b>してから、「<b>来週</b>配信される作品」「<b>今週</b>配信される<b>作品</b>」「配信予定の<b>注目</b>作品」の各列をスクロールすることが可能だった。こうした<b>操作</b>も引き続き行えるが、「まもなく配信」が<b>目立つ</b>位置に<b>表示</b>されることで、配信<b>時期</b>の<b>情報</b>を探すためにアプリ内の他の場所をクリックする必要がなくなった。このアップデートは、<b>各国</b>向けのNetflixアプリに<b>提供</b>される。","Video streaming service Netflix has launched an update to its smart TV app that makes it easier to keep track of new content. A ""Coming Soon"" column has been added to the home screen to let viewers know when TV series and movies will be available, with optional reminders.
<br>Subscribers have always been able to navigate to the ""New & Popular"" menu and then scroll through the ""Movies Coming Next Week,"" ""Movies Coming This Week,"" and ""Notable Movies Scheduled for Delivery"" columns. While these operations can still be performed, ""Available Soon"" is now prominently displayed, eliminating the need to click elsewhere in the app to find information on when it will be available. This update is available for the Netflix app for various countries."
8,"青山本店ショップ、青山<b>本店</b> BLUE BRICK LOUNGE（ブルー・ブリック・ラウンジ）では、「<b>抹茶</b>を楽しむ<b>贅沢</b>時間、抹茶の<b美味しさ<b>新発見</b>！」をテーマに「シガール オゥ マッチャ」と同じ<b>蔵出し</b>宇治抹茶を使用した4つの抹茶スイーツが<b>期間限定</b>で<b>登場します</b>。 <br><b>芳醇</b>な蔵出し宇治抹茶の<b>香り漂う</b>「シガール オゥ マッチャ」は、全国の販売<b>店舗</b>では2023年4月15日（土）より発売しています。 <br>「シガール オゥ マッチャ」6本入り 951円 <br>バターをふんだんに使用した<b>生地</b>に、抹茶を<b>混ぜ込んで</b>焼き上げ、ロール状に<b>巻いて</b>抹茶チョコレートを<b>詰めた</b>「シガール オゥ マッチャ」が今年も登場です。","Aoyama Honten Shop and Aoyama Honten BLUE BRICK LOUNGE (Blue Brick Lounge), under the theme of ""Luxurious time to enjoy matcha, discover new taste of matcha! four matcha sweets made with the same Uji matcha green tea that is used in the Cigar au Matcha will be available for a limited time only.

<br>Cigar au Matcha, with its mellow Uji matcha aroma, will be available at retail stores nationwide from April 15, 2023 (Sat.).

<br>Cigar au Matcha"" 6-packs, 951 yen

<br>The ""Cigar au Matcha,"" made with a dough rich in butter, mixed with matcha green tea, baked, rolled and filled with matcha chocolate, will be available again this year.
"
9,"【梅田】<b>ふわっとした生地</b>が<b>絶品の行列店</b>「どんたく」

<br>ひがし中通り<b>商店街</b>にある人気の老舗のお好み焼き・鉄板焼の名店「どんたく」をご紹介します。<b>細い路地</b>に<b>順番</b>を待つ人が並んでいました。
<br>「豚モダン」1100円。<b>ちゃんと</b>目の前で刷毛でソースを<b>塗って</b>、<b>削り節</b>と<b>青海苔</b>をかけてくれます。モダン焼きの麺はソフト麺で生地はふわふわとしてめちゃめちゃ<b>柔らかい</b>です。ふわふわの中に<b>豚肉</b>がカリカリしていて食感と味が楽しめました。「ねぎ焼き」990円のタレはポン酢にしました。ネギにコクがあります。ねぎ焼き<b>全体</b>があっさりとして食べやすいですし、柔らかくてパリッとしていて<b>香ばしい</b>です。とにかく、<b>美味い</b>です。ボリューム<b>満点</b>ですが、生地がフワッとしているのでけっこう食べられます。さすが、<b>老舗</b>の名店ですね！
","[Umeda] Dontaku, a restaurant with a long line of customers for its fluffy dough


<br>We would like to introduce “Dontaku"", a popular long-established okonomiyaki and teppan-yaki restaurant located in the Higashi Nakadori Shopping Arcade. There was a line of people waiting for their turn in the narrow alley.

<br>Pork Modern for 1,100 yen. The sauce is applied with a brush right in front of you and topped with shaved bonito flakes and green laver. The noodles of the modern yaki are soft and the dough is fluffy and extremely soft. The pork was crunchy and crunchy, and I enjoyed the texture and flavor of the pork. I chose ponzu as the sauce for the ""Negi-yaki"" (¥990). The green onion has a rich flavor. The whole Negi-yaki is light and easy to eat, tender, crispy and savory. Anyway, it is delicious. It is a large portion, but the dough is fluffy, so you can eat quite a bit of it. As you would expect from a long-established and well-known restaurant!"
10,"【堺・天神】<b>表面</b>は<b>カリッと</b>中はとろ～っと！「たこ焼き 卓味」

<br>おいしいお店を<b>発見した</b>ので紹介したいと思います。今回ご紹介するのは阪堺線「花田口駅」から<b>徒歩</b>3分の天神地区にある「たこ焼き 卓味」です。テイクアウトはもちろんのこと、イートインもできるとのことなのでお店で食べてきました。19時まではタイムサービスとのことで2個ずつ<b>増量</b>してくれましたよ。
<br>塩 6個450円。カレーソース 5個450円+チーズトッピング50円。まずは塩を食べてみました。表面はカリッと中はとろ～っとした<b>食感</b>。そのバランスが<b>絶妙</b>でお菓子っぽくなりすぎず、めちゃおいしいんです！！中からは<b>大きめ</b>にカットされた<b>蛸</b>と<b>干しえび</b>がでてきました。<b>ぎゅっと</b>旨味が<b>凝縮された</b>干しえびがたこ焼きの<b>出汁</b>を引き立てていて、シンプルに塩で食べるのがそのおいしさを一番感じられる食べ方だと思いましたカレーソースにチーズの<b>組み合わせ</b>はもうテッパン！おいしくないわけがないです。たこ焼きを<b>持ち上げる</b>ととろ～っととろけるチーズがたまりません。
","[Sakai/Tenjin] Crispy on the surface and melty on the inside! Takuji Takoyaki

<br>I would like to introduce a delicious restaurant that I have discovered. This time we would like to introduce Takuji Takoyaki, located in the Tenjin area, a 3-minute walk from Hanataguchi Station on the Hankai Line. They offer take-out as well as eat-in, so I went to the restaurant to try it, and they gave me two more pieces each as a time service until 7:00 p.m.

<br>Salt: 6 pieces, 450 yen. Curry sauce: 5 pieces for 450 yen + cheese topping for 50 yen. I tried the salt first. The surface was crispy and the inside was mellow. The balance between the two is exquisite, not too pastry-like, and extremely delicious! From the inside came a large cut octopus and dried shrimp. The dried shrimp, which has a concentrated flavor, enhances the broth of the takoyaki, and I thought that simply eating it with salt was the best way to experience its deliciousness! How could it not be delicious? The combination of curry sauce and cheese is a must-have!"
