Words,Meaning
気がある,to have an interest (in something)
気がすまない,not to be able to settle down (if something is not done)
気が済む,to be satisfied
気がする,to have a certain mood or feeling
気がせく,to feel under pressure
気が立つ,to be excited about
気が散る,to get distracted
気がつく,to notice
気がとがめる,to feel guilty
気がない,to be uninterested
気がふさぐ,to feel depressed
気がふれる,to go mad
気が滅入る,to feel depressed
気が利く,to be sensible
気が勝つ,to be determined or strong
気が合う,to get along (with someone)
気が向く,to feel like
気が回る,to be attentive to small details
気が変わる,to change one's mind
気が多い,fickle
気が大きい,generous
気が小さい,timid
気が差す,to feel uneasy
気が引ける,to feel awkward
気が弱い,timid
気が張る,to strain every nerve
気が強い,strong-willed
気が抜ける,to feel exhausted (after having been stressed)
気が揉める,to feel anxious
気が早い,short-tempered
気が晴れる,to feel refreshed
気が楽,feeling good
気が漫ろ,preoccupied
気が狂う,to go mad
気が短い,quick-tempered
気が紛れる,to be diverted (distracted) from
気が緩む,to relax one's mind
気が腐る,to feel dispirited
気が若い,young at heart
気が荒い,bad-tempered
気が詰まる,to feel constrained
気が違う,to be mad
気が重い,depressed
気が長い,patient
気を配る,to pay attention
気をそらす,to distract
気を使う,to pay attention to another's needs
気を付ける,to be careful
気を呑まれる,to be overwhelmed
気を張る,to steel oneself to
気を揉む,to worry
気をよくする,to be pleased
気を付け,to stand to attention!
気を休める,to ease up
気を入れる,to do in earnest
気を利かせる,"to (take in the situation, etc.) and make the smart move"
気を取り直す,to completely rethink
気を吐く,to make a good showing
気を回す,to read too much into things
気を失う,to lose consciousness
気を引き立てる,to cheer
気を引き締める,to brace oneself
気を引く,to attract someone's affection
気を抜く,to lose focus
気を持たせる,to encourage someone to expect something
気を散じる,to distract a person's attention
気を散らす,to distract a person's attention
気を晴らす,to cheer (someone) up
気を病む,"to fret, worry"
気を紛らす,to distract oneself
気を緩める,to relax one's attention
気を腐らす,to have the blues
気を落とす,to be discouraged
気を許す,to let one's guard down
気を静める,to becalm one's feelings
気を取られる,to be pre-occupied with
気に入る,to be pleased with
気に掛かる,to weigh on one's mind
気にかける,to weigh on one's mind
気に障る,to hurt one's feelings
気にしない,not caring
気にする,to mind (negative nuance)
気に留める,to (keep in) mind
気になる,to be on one's mind
気に召す,to like
気に病む,to worry
気のせい,in one's imagination
気の利く,attentive
気の多い,fickle
気の大きい,generous
気の小さい,timid
気の弱い,timid
気の早い,short-tempered
気の詰まる,constrained
気の迷い,delusion
気の長い,patient
気が進む,to be inclined to do
酒の気,looking tipsy
