Article,Translation
"日本で初めての量子コンピューター　利用が始まる

27日、理化学研究所が日本で初めて作った「量子コンピューター」を、大学や会社が利用できるようになりました。「量子コンピューター」は、今までのコンピューターよりとても速く計算できて、社会を大きく変えると言われています。

量子は、光の粒や電子などのとても小さい物質です。量子の世界で起こる物理の現象を利用すると、とても速く計算できます。量子コンピューターは、新しい薬を作ったり、経済の予測をしたりして、いろいろな問題を解決すると言われています。

理化学研究所は「大きい量子コンピューターを作るには、高い技術が必要です。日本も外国に負けないように、研究を進めます」と話しています。","Japan's First Quantum Computer Usage Begins

On March 27, universities and companies began using Japan's first ""quantum computer"" built by RIKEN. The ""quantum computer"" is said to be able to perform calculations much faster than conventional computers and is expected to revolutionize society.

Quantum is a very small substance such as a particle of light or an electron. Using physical phenomena that occur in the quantum world, calculations can be done very quickly. Quantum computers are said to solve many problems, such as creating new medicines and predicting the economy.

RIKEN says, ""Building a large quantum computer requires advanced technology. Japan will continue its research so as not to be outdone by foreign countries."
"青森県　十和田湖に行く道で雪の壁を作る作業が進む

青森市から十和田湖に行く「八甲田・十和田ゴールドライン」は冬になると、雪が多いため、道の一部を通ることができなくなります。

青森県は先月下旬から、この道で雪を片づける作業をしています。積もっている雪を削って、道の幅を少しずつ広くしていきます。県によると、雪の壁は高いところで6.5mぐらいになります。

作業をしている人は「白くてきれいな雪の壁を作ります。見に来た人に、高い雪の壁を見て驚いてもらいたいです」と話していました。

この道は、4月1日から車が通ることができるようになる予定です。","Aomori Prefecture, Aomori Prefecture: Snow Wall Building Work in Progress on Road to Lake Towada

The Hakkoda-Towada Gold Line, which goes from Aomori City to Lake Towada, becomes inaccessible in winter due to heavy snowfall on parts of the road.

Since late last month, Aomori Prefecture has been working to clear away the snow on this road. The accumulated snow is being scraped away to gradually widen the road. According to the prefecture, the wall of snow is about 6.5 meters high.

The person working on the project said, ""We will create a beautiful, white wall of snow. We want visitors to be surprised when they see the high snow wall,"" he said.

The road will be open to cars from April 1."
"「東京で桜が咲きました」

気象庁は14日、「東京で桜が咲きました」と言いました。東京の靖国神社にあるソメイヨシノという桜の木に花が咲いたのを見て、発表しました。ソメイヨシノでは今年、日本でいちばん早い発表です。

14日の発表は、東京でいちばん早く咲いた年と同じです。気象台の人は「今月、暖かい日が続きました。地球温暖化も関係があると思います」と話していました。

桜の木がたくさんある東京の上野公園では、今年は食べたり飲んだりしながらお花見ができます。咲いているソメイヨシノの花は少しだけですが、ほかの桜はきれいに咲いていて、留学生のグループがお花見を楽しんでいました。弁当を食べながら「もうすぐ卒業なので、最後に桜を見ながら集まることができてよかったです」と話していました。","Cherry blossoms have bloomed in Tokyo.""

The Japan Meteorological Agency said on March 14, ""Cherry blossoms have bloomed in Tokyo. The announcement was made after seeing flowers bloom on a cherry tree called Someiyoshino at Yasukuni Shrine in Tokyo. This is the earliest announcement of someiyoshino cherry trees in Japan this year.

The announcement on the 14th is the same as the year when Tokyo had the earliest blooming. A person at the weather bureau said, ""We had a series of warm days this month. I think global warming has something to do with it.

In Ueno Park in Tokyo, where there are many cherry trees, visitors can enjoy viewing cherry blossoms while eating and drinking this year. There are only a few Someiyoshino cherry blossoms in bloom, but other cherry trees are in beautiful bloom, and a group of international students were enjoying hanami. As they ate their lunch boxes, they said, ""We are graduating soon, so it was nice to be able to get together one last time to view the cherry blossoms."
"秋田県　雪の下にあるキャベツをとるイベント

秋田県由利本荘市の畑で5日、雪の下にあるキャベツをとるイベントがありました。270人ぐらいが集まりました。

キャベツは去年の秋にとることができる大きさになりましたが、雪が降る冬もそのままにしました。キャベツを雪の下に置いておくと、甘くなります。かむと、しゃきしゃきと音がしておいしいです。

畑には5000個ぐらいのキャベツが残っていました。家族などが道具を使って、雪の下から1つ1つとっていました。子どもと来た女性は「子どもにもいい経験になると思いました。宝物をさがすようで楽しかったです」と話していました。

イベントを開いた人は「農業を経験しながら、みんなで楽しんでほしいと思って始めました。寒いところで甘くなったキャベツを食べてほしいです」と話していました。","Akita Prefecture: Event to take cabbage under the snow

On March 5, there was an event to pick cabbages under the snow in a field in Yurihonjo City, Akita Prefecture. 270 people gathered.

The cabbages became large enough to be picked last fall, but were left in the field through the snowy winter. The cabbage becomes sweeter when it is left under the snow. When you bite into it, it makes a crunchy sound and tastes delicious.

There were about 5,000 cabbages left in the field. Families and others were using tools to pick them one by one from under the snow. A woman who came with her children said, ""I thought it would be a good experience for them. It was like searching for a treasure.

The person who organized the event said, ""I started this event because I wanted everyone to have fun while experiencing agriculture. I hope people will enjoy eating cabbage that has grown sweet in a cold place."
"京都の錦市場　ごみを片付けるお金を客に寄付してもらう実験

京都にある錦市場には、大勢の人が観光に来ます。食べ物の店が130ぐらいあって、食べながら歩くことを楽しむ人もいます。しかし、客が出すごみを片付けるのにお金がかかります。

店の人たちは旅行の会社と一緒に、片付けるお金の一部を客に寄付してもらう実験を10日から始めました。ごみ箱にあるQRコードを使って、1回100円を寄付してもらいます。ごみ箱は8つあります。

寄付してもらうごみ箱
去年も同じ実験をしましたが、集まったお金は1か月で1100円ぐらいでした。このため、今年はごみ箱にごみを捨てている舞妓の絵をかいて、みんなによく見えるようにしました。

店の人は「錦市場をこれからも楽しんでもらうために、実験がうまくいくといいと思います」と話しています。","Nishiki Market in Kyoto Experiment to have customers donate money to clean up trash

Many people come to Nishiki Market in Kyoto for sightseeing. There are about 130 food stores, and some people enjoy walking around while eating. However, it costs money to clean up the garbage that customers leave behind.

The store owners, together with a travel agency, started an experiment on April 10 to ask customers to donate a portion of the money to clean up the garbage. Using the QR codes on the garbage cans, customers are asked to donate 100 yen per batch. There are eight garbage cans.

Trash cans to be donated
We did the same experiment last year, but the amount of money collected was about 1,100 yen in one month. For this reason, this year we drew a picture of a maiko throwing trash into a trash can so that everyone can see it clearly.

The store owner said, ""I hope the experiment will be successful so that people can continue to enjoy Nishiki Market."
"「大学の工学部にもっとたくさん女性に入ってほしい」

大学の工学部では、機械や電気など、物を作る技術について勉強します。女性の学生にもっとたくさん工学部に入ってほしいと考える大学があります。

国によると、工学部で勉強する女性の割合は、去年15％ぐらいでした。ほかの学部と比べてとても低くなっています。

去年全国の大学の分野別女子学生比率の図
技術を勉強する学部が多い東京工業大学では、一部の試験で、合格する女性の数を先に決めておくことにしました。合格する女性の割合が増えます。2024年4月に入学する人のための試験から始めます。最初は58人、次の年は143人になります。

東京工業大学の入試における女子枠の図

東京工業大学の学長は「今は大学の男性と女性のバランスがとても悪いです。男性だけが集まるところで、新しいものを見つけたり作ったりすることができるか心配です。大きく変えることが必要だと考えました」と話しています。","I'd like to see more women in the university's engineering department'

In university engineering departments, students study mechanical, electrical, and other technologies for making things. Some universities want more female students to enter the engineering department.

According to the government, the percentage of women studying in engineering was about 15% last year. This is very low compared to other faculties.

Chart showing the percentage of female students by field of study at universities across Japan last year
Tokyo University of Technology, which has many faculties studying engineering, has decided to determine the number of women who will pass some examinations ahead of time. The percentage of women who pass will increase, starting with the exam for those entering in April 2024. The first year will have 58 students, and the next year 143.

Diagram of the quota for women in the entrance examination at Tokyo Institute of Technology

The president of Tokyo Institute of Technology said, ""Right now, the balance between men and women at the university is very bad. I am worried that we will be able to find or create something new in a place where only men gather. We thought it was necessary to make a big change,"" he said."
"多くの所で0℃以下になる　寒さや雪は26日まで続く

日本海側などでたくさん雪が降っています。いつもは雪が少ない所でも、雪が積もっている所があります。25日の朝は、日本の多くの所で0°C以下になりました。

京都府などでは24日、雪のため、JRの電車が駅と駅の間で動くことができなくなりました。乗っていた客には近くの駅まで歩いてもらいました。電車の中に長い時間いたため、体の具合が悪くなった人もいて、京都府では13人が病院に運ばれました。

寒さや雪は26日まで続きそうです。雪で通ることができなくなっている道もあります。雪や風がひどい所ではできるだけ出かけないようにしましょう。","Below 0°C in many places Cold and snow will continue until the 26th

A lot of snow is falling on the Sea of Japan side and other areas. Even in places where there is usually little snow, there are places where snow is piling up. 25th morning, it was below 0°C in many places in Japan.

In Kyoto and other areas, JR trains were unable to move between stations due to snow on the 24th. Passengers were asked to walk to the nearest station. Some people became sick after being on the train for a long time, and 13 people were taken to the hospital in Kyoto Prefecture.

The cold and snow are expected to continue until the 26th. Some roads are no longer passable due to snow. Try not to go out as much as possible in places where the snow and wind are severe."
"岩手県を走る三陸鉄道　「こたつ列車」で冬の景色を楽しむ

岩手県の海の近くを走る三陸鉄道では、冬になると、久慈駅と宮古駅の間を「こたつ列車」が走ります。暖かいこたつに入って、冬の景色を楽しむことができます。

列車の中には12のこたつがあります。乗っている人たちは、岩手県の海でとれたうにやあわびが入った弁当などを食べて楽しんでいました。

きれいな景色が見える所では、写真を撮ることができるように列車が止まりました。 こたつ列車にいる「なもみ」 途中で急に、鬼のような顔をした「なもみ」が出てきて、大きな声を出しながら、列車の中を歩きました。みんなびっくりしていました。

三陸鉄道の人は「こたつ列車に乗って、岩手県の海岸のすばらしさを知ってほしいです」と話しています。","Sanriku Railway ""Kotatsu Train"" Running in Iwate Prefecture: Enjoy Winter Scenery

On the Sanriku Railway, which runs near the sea in Iwate Prefecture, the ""Kotatsu Train"" runs between Kuji and Miyako stations in winter. Visitors can enjoy the winter scenery in the warm kotatsu.

There are 12 kotatsu in the train. The passengers enjoyed eating lunch boxes containing sea urchin and abalone from the sea in Iwate Prefecture.

Wherever there was a beautiful view, the train stopped so that people could take pictures. Namomi"" on the Kotatsu train On the way to the train, ""Namomi"" suddenly appeared, looking like an ogre, and walked through the train, making loud noises. Everyone was surprised.

The people at Sanriku Railway said, ""We want people to ride the Kotatsu Train and discover the wonders of the Iwate Prefecture coast."
"「今年の一皿」は「冷凍グルメ」

「今年の一皿」は、今年の日本の社会と関係があって、みんなの話によく出てきた食べ物です。食べ物についての情報を調べる会社が毎年選んでいて、今年は「冷凍グルメ」に決まりました。

「冷凍グルメ」は、レストランなどで出す料理を冷凍したものです。店のおいしい料理を家で食べることができます。いろいろな料理があって、自動販売機でも売っています。保存しやすくて、捨てる食べ物が少なくなります。

2人以上の家庭が冷凍食品に使ったお金は、新型コロナウイルスが広がる前と比べると、2年で20％以上増えました。冷凍食品の会社の団体によると、コロナウイルスが広がって家で食事する人が増えたため、冷凍食品を買う人も増えています。","The ""dish of the year"" is ""frozen gourmet

This year's ""dish of the year"" is a food that is related to this year's Japanese society and often comes up in everyone's conversation. It is chosen every year by a company that researches information about food, and this year they decided on ""frozen gourmet"".

Frozen gourmet"" is a frozen version of a dish served at a restaurant. It is a great way to enjoy delicious restaurant food at home. There are a variety of dishes available, and they are also sold in vending machines. They are easy to store and less food is thrown away.

The money spent on frozen food by households of two or more people has increased by more than 20% in two years compared to before the spread of the new coronavirus. According to an association of frozen food companies, more people are buying frozen food because the coronavirus has spread and more people are eating at home.

"
"京都の西明寺　紅葉がきれいな季節になる

京都の山にある西明寺という寺は、紅葉が有名です。近くには川もあります。今年も寺や周りの木の葉が赤や黄色になって、紅葉がいちばんきれいな季節になりました。

寺によると、今年は10月の終わりから朝や夕方の気温が低くなりました。このため、いつもより少し早く紅葉が始まりました。

来ていた人は、散歩をしたり寺の建物から景色を見たりしていました。兵庫県から来た女性は「建物の中から見える紅葉が、額に入れた絵のようできれいでした」と話しました。

西明寺の紅葉は11月中旬まで楽しむことができそうです。","Saimyoji Temple in Kyoto, Japan: Beautiful Autumn Leaves

A temple called Saimyoji Temple, located in the mountains of Kyoto, is famous for its autumn leaves. There is also a river nearby. This year again, the leaves on the temple and surrounding trees are turning red and yellow, and it is the most beautiful season for autumn foliage.

According to the temple, this year the morning and evening temperatures have been cooler since the end of October. This has caused the leaves to turn a little earlier than usual.

People who came to the temple took a walk and looked at the scenery from the temple building. A woman from Hyogo Prefecture said, ""The autumn leaves seen from inside the building were as beautiful as a framed picture.

The autumn leaves at Saimyo-ji can be enjoyed until mid-November."
