Script.EP1,Meaning.EP1,Script.EP2,Meaning.EP2,Script.EP3,Meaning.EP3,Script.EP4,Meaning.EP4,Script.EP5,Meaning.EP5,Script.EP6,Meaning.EP6,Script.EP7,Meaning.EP7,Script.EP8,Meaning.EP8,Script.EP9,Meaning.EP9,Script.EP10,Meaning.EP10,Script.EP11,Meaning.EP11,Script.EP12,Meaning.EP12
一体 誰が考えたのか,I'm not sure whose twisted idea it was,物語は暗転へ向かう,This story is about to take a dark turn.,,,,,,,,,,,,,,,,,,,,
若者を安っぽい施設に 閉じ込め,to put hundreds of adolescents in underfunded schools,暗い展開は好き,"Usually, I love dark turns.",,,,,,,,,,,,,,,,,,,,
夢破れた惨めな大人に 指導させる,run by people whose dreams were crushed years ago…,メリーゴーラウンドの ブレーキの故障とかね,Like when the carousel brakes mysteriously failed at my eighth birthday party.,,,,,,,,,,,,,,,,,,,,
いいサディズムね,but I admire the sadism.,でも今回は違う,But not this one.,,,,,,,,,,,,,,,,,,,,
誰が？,I want names.,捜索が長引きすぎです 見落としがあると？,"We've been searching for hours, Sheriff. The dogs need a break. Think we missed something?",,,,,,,,,,,,,,,,,,,,
一瞬でやられて分からない,"I don't know who they were, honest. -It happened so fast. -Pugsley, emotion equals weakness.",コレット川をさらったら 切り上げよう,"I say we double back, sweep Collet Creek, and then call it a night.",,,,,,,,,,,,,,,,,,,,
感情とは弱さよ,"It happened so fast. -Pugsley, emotion equals weakness.",ええ,Okay.,,,,,,,,,,,,,,,,,,,,
しっかりして,Pull yourself together.,見つからない？,How could you miss a dead body? -'Cause it wasn't there.,,,,,,,,,,,,,,,,,,,,
今すぐ,Now.,なかったんだ 足跡も血も争った形跡も,"How could you miss a dead body? -'Cause it wasn't there. No footprints, no blood, no sign of a struggle. Nothing, nada.",,,,,,,,,,,,,,,,,,,,
怖いか？,"You scared, kid? Scared?",一晩中 捜した,My search party looked all night.,,,,,,,,,,,,,,,,,,,,
平気？,You okay?,盲導犬を置いて捜索に出た？,"Well, your search party must have left their seeing-eye dogs at home.",,,,,,,,,,,,,,,,,,,,
最近 目覚めたこの能力は 弟にも話していない,I'm not about to confess to my brother that I've recently been plagued by visions.,怪物が殺したのよ,I saw that monster kill Rowan right in front of me.,,,,,,,,,,,,,,,,,,,,
前触れもなく襲い来る 快楽のない電気ショックだ,"They come on without warning, and feel like electroshock therapy, but without the satisfying afterburn.",ハッキリ見たか？ すぐ去った,Get a good look at this monster thing? -It didn't stick around for a chat.,,,,,,,,,,,,,,,,,,,,
私に任せて,Leave this to me.,同級生かもな 今のは差別的では？,"Maybe it was one of your classmates. -Sheriff, I find that question offensive.",,,,,,,,,,,,,,,,,,,,
ウェンズデー,Wednesday?,知るか 森で３人も バラバラ死体になってる,"I don't care, 'cause I got three other dead bodies in the morgue. -Hikers just ripped apart in the woods. -The mayor said those were bear attacks.",,,,,,,,,,,,,,,,,,,,
何をするの？,What are you gonna do?,町長は熊の被害だと,Hikers just ripped apart in the woods. -The mayor said those were bear attacks.,,,,,,,,,,,,,,,,,,,,
いつものアレよ,What I do best.,私の意見は違う,"Well, the mayor and I disagree on that.",,,,,,,,,,,,,,,,,,,,
ダルトン 見ろ 豚君の姉が来た,"Yo, Dalton, look. Pigsley's sister.",犯罪という証拠もなしに,"So you automatically assume a Nevermore student is the murderer,",,,,,,,,,,,,,,,,,,,,
おい 変人 部員だけでの練習中だ,"Hey, freak. -This is a closed practice.",当校の生徒が犯人だと 決めつけを？,"So you automatically assume a Nevermore student is the murderer, even though there's no evidence a crime was even committed.",,,,,,,,,,,,,,,,,,,,
弟を拷問していいのは私だけ,The only person who gets to torture my brother is me.,失礼 善良なのけ者だけの 学校だったな,"I'm sorry. I forgot, you only teach the good outcasts here, right?",,,,,,,,,,,,,,,,,,,,
いつまで不機嫌でいるの？,"Darling, how long do you intend on giving us the cold shoulder?",ローワンは逃げたのでしょう,My guess is Rowan ran away.,,,,,,,,,,,,,,,,,,,,
