Verbs,Pattern,Translation
拠る,校則に従う。,Follow school rules.
履く,忠告に従う。,Follow the advice.
響く,判決に従うほかない。,Have no choice but to abide by the ruling.
迎える,慣例に従う。,Follow convention.
振る,行列に従う。,Follow the procession.
従う,川に従って行く。,Follow the river.
聞こえる,指示に従ってください。,Please follow the instructions.
掴む,ルールに従わざるを得なかった。,Had to follow the rules.
解く,食事療法に従う。,Follow the diet.
挙げる,命令に従う。,Obey orders.
防ぐ,法律に従う。,Obey the law.
当てる,手順に従うことにより可能です。,Can be done by following the procedure.
立てる,修正に従うはずです。,Should follow the modification.
耐える,ハイヒールを履く。,Wear high heels.
据える,靴を履く。,Put on shoes.
治る,スカートを履くこととされていた。,Were required to wear skirts.
突き付ける,喜んで迎えるつもりです。,Gladly welcome them.
加える,空港に人を迎える。,Welcome people at the airport.
済む,客を笑顔で迎える。,Greet customers with a smile.
泊まる,医者を迎える。,Meet the doctor.
詰まる,温かく迎えられた。,Were warmly welcomed.
犯す,駅で迎える。,Meet at the station.
見付かる,正月を迎える。,Greet the new year.
参る,新しい時代を迎える。,Entering a new era.
図る,交渉も大詰めを迎えた。,Negotiations reached a critical point.
属する,終盤を迎えている。,Approaching the final stage.
結び付く,クラスに迎えて嬉しい。,Glad to welcome you to the class.
待つ,先生を迎えに走っていった。,Ran off to meet the teacher.
果たす,ホテルに車で迎えてください。,Please pick me up at my hotel by car.
覗く,よく響かない。,It doesn't resonate well.
貰う,音がここまで響いてきた。,The sound echoed up here.
揺れる,音は神経に響く。,Sound strikes a nerve.
移動する,仕事に響く。,It affects the work.
譲る,ボトルを振る。,Shake the bottle.
建てる,首を振る。,Shake your head.
効く,腕を振る。,Wave your arms.
呼ぶ,バットを振る。,Swing the bat.
暮れる,魚に塩を振る。,Sprinkle salt on the fish.
使用する,犬が尾を振った。,The dog wagged its tail.
外す,要点を掴む。,Get to the point.
交換する,性格を掴む。,Grasp the personality.
保持する,彼の手を掴んだ。,I grabbed his hand.
移す,泥棒を防ぐ。,Prevent thieves.
移る,腐敗を防ぐ。,Prevent spoilage.
乗せる,誤解を防ぐ。,Prevent misunderstandings.
下ろす,発生を未然に防ぐ。,Prevent outbreaks before they occur.
下がる,トラブルを防ぐ。,Prevent trouble.
出る,敵の侵略を防ぐ。,Prevent enemy invasion.
入れる,危険を防ぐ。,Prevent hazards.
掛ける,再発を防ぐ。,Prevent recurrence.
差す,食中毒を防ぐ。,Prevent food poisoning.
引く,計画を立てるつもりだった。,I was going to make a plan.
渇く,波風を立てる。,Make waves.
乾く,戦略を立てるなら。,If you want to make a strategy.
掻く,証人を立てる。,Put up a witness.
貯まる,予定を立てる。,Make plans.
溜まる,見通しを立てる。,Make a prediction.
堪る,生計を立てる。,Making a living.
閉める,解決策を立てる。,Formulate a solution.
占める,特に焦点を当てる。,Special focus on.
締める,真ん中に当てた。,Hit it right in the middle.
絞める,２等賞を当てた。,I won the second prize.
湿る,答えを当てた。,I guessed the answer.
覆う,パッチを当てる。,Apply a patch.
経つ,傷口にガーゼを当てる。,Apply gauze to the wound.
立つ,激痛に耐える。,Endure intense pain.
建つ,運命の試練に耐える。,Endure the trials of fate.
裁つ,過酷な訓練に耐え抜く。,Endure harsh training.
断つ,苦痛に次第に耐えきれなくなる。,The pain gradually becomes unbearable.
断る,悲しみに耐えきれず。,Unable to bear the grief.
建てる,刺すような視線に耐えきれず。,I couldn't bear the stinging stares.
利く,列車の荷重に耐える。,Withstands train loads.
効く,高温に耐える服。,Clothing that withstands high temperatures.
絶える,地震にも耐える建築物。,Buildings that can withstand earthquakes.
耐える,水中での使用に耐えるカメラ。,Cameras that can withstand underwater use.
堪える,敵の猛攻に耐える。,Withstand the onslaught of the enemy.
注ぐ,苦境に耐える。,Withstand adversity.
至る,暴風に耐える。,Withstand storms.
努める,精神的重圧に耐える。,Withstand the mental pressure.
勤める,校長に据える。,Install as principal.
優れる,仕事に腰を据えている。,I am sitting down to work.
指導する,目を据える。,Set your eyes.
誘導する,腰を据えて研究する。,Sit down and research.
導入する,薬で君の風邪は治る。,The medicine will cure your cold.
,軽い運動で腰痛が治った。,Light exercise cured my back pain.
,風邪は治りましたか。,Have you recovered from a cold?
