Words,Reading,Meaning,S1,T1
可能,かのう,"possible, potential",可能な限りの手を尽くした。,We exhausted every possibility.
好き,すき,"liked, well-liked, favourite",好きな方を選んでいいよ。,You can take your pick.
確か,たしか,"sure, certain, positive, definite​",その病気の確かな治療法。,A sure cure for the disease.
重要,じゅうよう,"important, momentous, essential",彼はきわめて重要な役割を果たした。,He played a pivotal role.
十分,じゅうぶん,"enough, sufficient, plenty, adequate",一時ディレクトリに十分なスペースがありません。,Not enough space in temporary directory.
様々,さまざま,"various, varied, diverse, all sorts of​",この問題は様々なやり方で解決できるかもしれない。,This problem could be solved in a variety of ways.
嫌,いや,"disagreeable, detestable, unpleasant",彼女は始終周りの人に嫌なことを言う。,She keeps saying disagreeable things to those around her.
大変,たいへん,"immense, enormous, great​, serious",ちょっとした不注意が大変な事故につながる。,A little carelessness can lead to a serious accident.
簡単,かんたん,"simple, easy, uncomplicated​, brief",妻は簡単な家事ができるくらいまで回復しました。,My wife has recovered enough to do simple household chores.
明らか,あきらか,"clear, obvious, evident, plain, bright",何か明らかな違いはあるんですか？,Is there any obvious difference?
非常,ひじょう,"emergency​, extraordinary, unusual ",彼は野球で非常な上手さを発揮した。,He showed great skill at baseball.
大切,たいせつ,"important, necessary, indispensable​",みんなの大切な瞬間を共有しよう。,Let's share everyone's precious moments.
同様,どうよう,"same, similar, (just) like, equal​",同様な感情はこのミーティングによって呼ばれますか？,Similar sentiments are called for by this meeting?
完全,かんぜん,"perfect, complete​",土偶が完全な形で出土した。,A clay figurine was excavated in its complete form.
大丈夫,だいじょうぶ,"safe, secure, sound",その猫は大丈夫なの？,Is that cat okay?
奇麗,きれい,"pretty, beautiful, clean, clear, tidy, neat ",とっても奇麗な水槽やお魚に感動しました。,I was very impressed by the beautiful aquarium and fish.
特別,とくべつ,"special, particular, extraordinary",服装に関する特別な規則はない。,There are no special rules regarding attire.
大事,だいじ,"important, serious, crucial​, valuable",人生にはもっと大事なことがある。,There are more important things in life.
有名,ゆうめい,famous​,有名な映画スターになりたい。,I want to be a famous movie star.
新た,あらた,"new, fresh, novel​",政局は新たな局面を迎えた。,The political situation has entered a new phase.
相当,そうとう,"appropriate, suitable, befitting",彼は相当な暮らしをしている。,He makes quite a living.
静か,しずか,"quiet, silent, ​unhurried, calm",静かな流れは深い。,The quiet flow is deep.
如何,いかが,questionable​,いかがなものでしょうか？,What do you think?
豊か,ゆたか,"abundant, wealthy, plentiful, very, extremely",日本は豊かな国です。,Japan is a rich country.
明確,めいかく,"clear, precise, definite, distinct​",出かける前に明確な計画を立てておいてほしい。,I want you to have a clear plan before you go out.
有効,ゆうこう,"valid, effective​",不可侵条約が有効な間わが国は安全である。,"As long as the non-aggression pact is in effect, our country is safe."
遥か,はるか,"far away, far off, far, distant, long ago",遥かな目的地まで走り抜ける自由と信頼の翼。,Wings of freedom and trust that run to faraway destinations.
単純,たんじゅん,"simple, plain, uncomplicated",この仕事は単純なので子供にもできる。,This job is simple and can be done by children.
確実,かくじつ,"certain, sure, definite, reliable",この説は確実な根拠に基づいている,This theory is based on solid evidence.
残念,ざんねん,"deplorable, regrettable, disappointing",残念な報告が過去いろいろありました。,There have been various disappointing reports in the past.
巨大,きょだい,"huge, gigantic, enormous​",彼は巨大な家に住んでいる。,He lives in a huge house.
意外,いがい,"unexpected, surprising​",意外な話があるんだ。,I have a surprising story to tell.
立派,りっぱ,"splendid, fine, handsome, elegant",彼は立派な教育を受けた。,He received a good education.
特殊,とくしゅ,"special, particular, peculiar, unique",特殊な才能を与えられた動物もいる。,Some animals are given special talents.
見事,みごと,"splendid, magnificent, excellent, fine",見事な出来栄えのつぼ。,A jar of superb workmanship.
多様,たよう,"diverse, varied​",我々の保険の範囲は多様な損害に及びます。,Our insurance coverage covers a wide variety of losses.
高度,こうど,"high-degree, high-grade",彼らは高度な技術のコンピューターを開発した。,They developed highly technical computers.
当たり前,あたりまえ,"natural, reasonable, obvious​, usual, common",本当に当たり前な衝動と義務ね。,It's a really natural impulse and obligation.
容易,ようい,"easy, simple, plain​",それは決して容易な仕事ではない。,It is by no means an easy task.
懸命,けんめい,"eager, earnest, strenuous, fervent",様々な歴史家による懸命な研究努力にも拘らず。,Despite the best efforts of research by various historians.
適切,てきせつ,"appropriate, suitable, fitting",適切なダイエットと運動はともに健康にとって重要だ。,Proper diet and exercise are both important for health.
上手,じょうず,"skillful, skilled, proficient",彼はかなり上手な英語で話し出した。,He spoke out in fairly good English.
同一,どういつ,"identical, same, fair",それらを個々のクライアントの同一なセット2つに適用します。,Apply them to two identical sets of individual clients.
独自,どくじ,"original, unique, distinctive",独自な設計で導入されてきました。,It has been introduced with a unique design.
大好き,だいすき,"loveable, very likeable",数学は彼女の大好きな科目です。,Math is her favorite subject.
真面目,まじめ,"serious, honest, sober, grave",彼女は真面目な学生です。,She is a serious student.
必死,ひっし,"frantic, frenetic, desperate​",食物の必死な検索において寄与する。,Contributes in the frantic search for food.
素直,すなお,"obedient, meek, docile, unaffected​",彼は素直な性質だ。,He has an honest nature.
丁寧,ていねい,"polite, courteous, civil​, careful",彼に丁寧な返事を書くつもりです。,I will write him a polite reply.
幼稚,ようち,"childish, infantile, immature",誰だよこんな幼稚な記事書いたの。,Who wrote this childish article?
主要,しゅよう,"chief, main, principal, major​",私の店は町の主要な通りにあります。,My store is located on a major street in town.
盛ん,さかん,"prosperous, successful​, popular, active",盛んな拍手を送った。,The audience applauded enthusiastically.
余計,よけい,"too many, too much, excessive",こんな余計な機能なんでつけたんだろう。,What did they add this needless function for?
直,ちょく,"direct, being straight, in person, frankness",直な表現にはこの画家の並々ならぬ力量をみることができる。,The painter's extraordinary ability can be seen in his direct expression.
重大,じゅうだい,"serious, important, significant",彼は重大な発見をした。,He made a significant discovery.
急速,きゅうそく,rapid (e.g. progress)​,彼らはその市の急速な発展に驚いた。,They were amazed at the rapid development of that city.
曖昧,あいまい,"vague, ambiguous, unclear​",その曖昧な噂は嘘だと分かった。,That vague rumor turned out to be false.
正式,せいしき,"due form, official,  formal",あなたは正式なスピーチを用意する必要がありません。,You do not need to prepare a formal speech.
奇妙,きみょう,"strange, odd, peculiar",空に何か奇妙なものが見えた。,I saw something strange in the sky.
知的,ちてき,intellectual​,知的な読書のための正しい速度などというものは存在しない。,There is no such thing as the correct speed for intelligent reading.
微か,かすか,"faint, dim, weak",川の向こうにかすかな明りが見えた。,I saw a faint light across the river.
真っ直ぐ,まっすぐ,"straight, direct, upright, straightforward, frank",最初の光景は真っ直ぐな運河が海に注いでいる場所です。,The first scene is where a straight canal empties into the sea.
深刻,しんこく,"serious, severe",深刻な問題を抱えている。,We have a serious problem.
貴重,きちょう,"precious, valuable",あれは貴重な経験だった。,That was a valuable experience.
微妙,びみょう,"subtle, delicate, fine, complex, doubtful",私はかなり微妙な立場にある。,I am in a rather delicate position.
有力,ゆうりょく,"influential, prominent, strong",彼はその職の最も有力な候補者だった。,He was the most likely candidate for the position.
可哀想,かわいそう,"poor, pitiable, pathetic",お前はパパに捨てられた可哀想な子供だよ。,You are just a poor kid who was abandoned by his daddy.
純粋,じゅんすい,"pure, true, genuine",その子は純粋な心を持っていた。,The child had a pure heart.
新規,しんき,"new, fresh",新規な成体組織由来の幹細胞およびその用途。,Novel adult tissue-derived stem cells and their uses.
穏やか,おだやか,"calm, quiet, gentle, moderate",彼女は穏やかな声で話しました。,She spoke in a calm voice.
公的,こうてき,"public, official",彼は公的な立場でその会に出席した。,He attended that meeting in his official capacity.
熱心,ねっしん,"enthusiastic, keen, eager",チームは常に熱心なボランティアを探しています。,The team is constantly looking for enthusiastic volunteers.
素敵,すてき,"lovely, wonderful",この近くには素敵なレストランがたくさんある。,There are many nice restaurants nearby.
強力,きょうりょく,"powerful, strong",彼らはより強力な武器を作った。,They made more powerful weapons.
法的,ほうてき,legal,製造業者はその製品の欠陥に対して法的な責任がある。,The manufacturer is legally liable for defects in its product.
密か,ひそか,"secret, private",密かな商品は海外から輸入された。,Covert goods were imported from abroad.
透明,とうめい,"transparent, clear",この透明な液体には毒が含まれている。,This clear liquid contains poison.
独特,どくとく,"peculiarity, uniqueness, characteristic",日本の花火はどうしてこんなに独特なの？,Why are Japanese fireworks so unique?
高等,こうとう,"high class, high grade",早期検査によって高等な実験動物でもさらに有望な結果を出しています。,Early testing has produced even more promising results in higher laboratory animals.
不可欠,ふかけつ,"indispensable, essential",運動は犬にとって絶対不可欠なものだ。,Exercise is absolutely essential for dogs.
身近,みぢか,"near oneself, familiar",身近な問題。,An issue that one is familiar with.
豊富,ほうふ,"abundant, plentiful",内容の豊富なホームページ。,A home page with abundant contents.
有利,ゆうり,"advantageous, favourable, profitable",委員会はその法案に有利な報告をした。,The committee reported favorably on the bill.
優秀,ゆうしゅう,"superior, excellent",優秀な成績を得る。,Achieve excellent results.
稀,まれ,"rare, seldom",自然界ではきわめて稀な現象。,A phenomenon extremely rare in nature.
活発,かっぱつ,"lively, active, animated",活発な議論を戦わせる。,Have a lively discussion.
夢中,むちゅう,"absorbed in, immersed in, crazy about",,
頻繁,ひんぱん,"frequent, incessant",トラックの往来の頻繁な通り。,A road with heavy truck traffic.
不要,ふよう,"unnecessary, unneeded",ショップに行くとつい不要な物まで買ってしまう。,"When I go to a shop, I always end up buying things I don't need."
大幅,おおはば,"big, large, drastic",夏物衣料の大幅な値下げ。,Drastic price reductions on summer clothing.
滅多,めった,"thoughtless, reckless, seldom",滅多なことは言うな。,Be careful about what you say.
偉大,いだい,"great, grand",人類の偉大な足跡。,Mankind's great achievements.
強烈,きょうれつ,"intense, strong, severe",強烈な刺激を求める。,Seek a strong stimulus.
増し,まし,"better, preferable",もうちょっと増しなことが言えないのか?,Can't you say anything nicer?
