Sentence,Meaning
年齢確認させていただく場合がございます,We may ask you to verify your age.
節電にご協力ください,Please Help Us Conserve Electricity.
先に席をお取りください,Please Take a Seat before Ordering.
食券を買ってから席にお着きください,Please buy a meal ticket before sitting down.
食べ終わりましたら、食器類は返却口までお願いします,Please return your used dishes to the return counter.
ゴミは持ち帰りましょう,Please Take Your Trash with You.
足元にご注意ください,Watch Your Step.
ドアの反対側に人がいる場合があります,There may be people on the other side of the door.
ご用の際はボタンを押してください,Please Press Button for Assistance.
席にご案内しますのでお待ちください,Please Wait To Be Seated.
当店は前払い制となっております,Payment Must Be Made in Advance.
お1人様、1品以上のご注文をお願いいたします,All customers must order at least one item.
冷房中につき、ドアはお閉めください,The air conditioning is on. Please keep the door closed.
かぶり物をご試着の際には、必ずフェイスカバーをご利用ください,Please use a face cover when trying on pull-over items.
商品の返品は7日以内にお願いします,Returns Accepted within 7 Days of Purchase.
試着室への持ち込みは3点までです,3 Items per Person in Changing Rooms.
不良品以外は交換できません,Returns Accepted for Defective Goods Only.
