Kanji,Translation
日本文学が好きですか。,Do you like Japanese literature?
その案を文書にして下さい。,Please put that plan in writing.
公文書を取り交わした。,They exchanged official documents.
小切手は受付で交付します。,The checks are issued at the reception desk.
女子学生と男子学生はひそかに口付けを交わした。,The schoolgirl and schoolboy secretly exchanged a kiss.
明日学校に行きたくない。,I don't want to go to school tomorrow.
土曜日に学校はありますか。,Do you have school on Saturdays?
校正のしごとを受け入れた。,I accepted a proofreading job.
校長の話はいつも分りやすい。,It's always easy to understand what the principal says.
男子学生たちは学校におくれた。,The boy students were late for school.
四月には学校行事がたくさんある。,In April we have a lot of school events. 
この本を 8 月までに校正してほしい。,I would like you to proofread this book by August.
部活があるので土曜日も学校へ行く。,Since I have club activities I go to school on Saturdays too.
国定の休日には全ての学校が休みになります。,All schools are closed on national holidays.
母は女子校に行った。,Mother attended a girls' high school.
母は父より二つ下です。,My mom is two years younger than my dad. 
明日母校に行ってみます。,I will visit my alma mater tomorrow.
お母さんはカナダ人です。,Mother is Canadian.
父母とも国立大学を出ています。,Both my parents are from national universities.
お母さんはこの事をどう見ました?,How did your mother take the matter?
母はケーキを八つ切れに分けました。,Mother divided the cake into eight slices. 
二日毎にジムに行きます。,I go to the gym every other day.
あのスーパーは毎月十日にパンが安い。,That supermarket puts bread on sale on the tenth of every month.
海へ行くより山へ行くのが好きだ。,I prefer going to the mountains than to the sea.
本校では海上生活について学びます。,At our school we learn about life at sea.
公海上で用いられるラジオ交信を学んでいる。,I'm studying radio communications used on the high seas.
中国には百万長者がたくさんいる。,There are loads of millionaires in China.
六ヶ月ずっと工事中です。,This construction work has been going continuously for six months. 
下水の工事はいつからですか?,When will the drainage work commence?
このテーマパークは人工海水を用いる。,This theme park uses artificial seawater.
正式な公文書。,Formal official documents.
ゴルフクラブ一式。,One set of golf clubs.
入学式は明日です。,The entrance ceremony is tomorrow.
工学を本式に学びたい。,I'd like to formally study engineering.
これは日本式の生活だ。,This is the Japanese style of living.
これを公式に言っておく。,I will say this publicly.
式を立てることを学びたい。,I'd like to study how to set up equations.
公式サイトを見て下さい。,Please look at the official site.
式の日取りはまだ定かではない。,The schedule for the ceremony is not yet fixed.
公式行事は正式なホールで行われた。,The official event was held in a formal hall.
校長は学校行事を公式に取りけした。,The principal officially canceled the school event.
学生たちはみな分子式を書き出した。,The students all began writing molecular formulas.
この手書きのものは正式な文書ではない。,This handwritten thing is not a formal document.
 国王は武力にうったえた。,The king appealed to arms.
東武バスで入学式に行けますか。,Can I go to the school entrance ceremony on the Tobu bus?
国が武力を用いるのはよくないです。,It's not good for the country to use military force.
話の糸口。,Conversation starter.
 前回のように。,Just as last time.
一人前のスープ。,A single serving of soup.
式の前日に自分で書いた。,He wrote it himself the day before the ceremony. 
その前の木曜も行った。,I also went the Thursday before that. 
レースでかなり前に出る。,Get way out front in the race. 
お前は人を信じすぎだよ。,You trust people too much. 
目の前に一人の男が立った。,A man stood in front of me. 
 はたが目の前に立てられた。,The flag was raised before our eyes.
それぞれ二人前ずつ十分にある。,There's enough for two servings each. 
学校に行く前になにをしますか。,What do you do before going to school?
六十前後です。,About sixty or so.
後ろから行きます。,I'll follow. 
後ろから火が付いた。,It was lit from behind.
セーター後ろ前だよ。,Your sweater is on backwards. 
これ後回しにしないでよ。,Don't keep putting this off.
前者と後者あまりかわらない。,There's not much difference between the former and the latter.
午前中に行こう。,Let's go in the morning.
その事は午後に話そう。,Let's talk about that matter in the afternoon.
午後に用事がたくさんある。,I have a lot of things to do this afternoon.
式は午後の中ごろに行われた。,The ceremony was held in the middle part of the afternoon.
土曜日は正午ごろに学校に行く。,On Saturdays I go to school around noon.
式は正午ちょっと前におわった。,The ceremony ended just before noon.
あめは午後には上がるだろうか?,Will the rain clear up this afternoon? 
牛は午前中に子牛を生んだ。,The cow gave birth to a calf in the morning.
くさは子牛の全体をくすぐった。,The grass tickled the calf's whole body.
サーロインは牛の後部の一部である。,Sirloin is one part of the rear of an ox. 
年月日を入れて下さい。,Please fill in the date here.
ハンサムな中年男がいた。,A handsome middle-aged man was there.
生年月日を書いて下さい。,Please write your year and date of birth.
毎年なん回日本に行きますか。,How many times do you go to Japan each year?
公式に一年年を取った!,I'm officially one year older!
二十年もこんなゆきはなかった。,It hasn't snowed like this in twenty years.
一年くらいずっと工事中ですね。,This construction work has been going continuously for about a year.
ご用件はなんでしょうか?,What can I help you with?
別の用件でお話しがあります。,I would like to talk about a different matter.
この条件でアパートがありますか?,Are there any apartments that fit these conditions?
文化行事。,Cultural events. 
日本の国花はなんですか?,What is the national flower of Japan?
母は生け花が大好きだった。,Mother loved ikebana.
毎年四月に花見に行きます。,We go to view the blossoms each April.
北海の小さなサメ。,A small shark of northern waters.
北口であいましょう。,Let's meet at the North Exit.
父は毎年東北になん回も行く。,My father goes to Tohoku many times each year.
日本の北部ってどこからですか?,Where does northern Japan start?
子どもを比べてはいけない。,It's not right to compare one child with another.
背部にある入口から入ろう。,Let's use the rear entrance.
体の上部又は背部にある小さなきんにく。,A small muscle on the upper or rear part of the body.
車体全体を活用する。,Make use of the whole car body.
ここで下車してもいいですか?,May I get off here?
だから車で行くなと言ったんですよ。,That's why I told you not to go by car.
気取るな。,Don't put on airs. 
お前正気か?,Have you lost your mind? 
無気力な学生。,A shiftless student.
相互依存。,Mutual dependence. 
依願たいしょくする。,Retire voluntarily.
 アルコール依存症。,Alcohol dependency. 
中東の石油に依存している。,Dependent on Middle Eastern oil. 
砂を詰めた袋。,A bag filled with sand. 
 紐付きゴミ袋。,Garbage bag with drawstrings.
水を入れる皮袋。,A container of skin for holding water. 
自分の手袋が見当たらない。,I can't find my gloves.
少年は大袋のポップコーンを 1 袋食べた。,The child ate a large bag of popcorn.
少年は機械的に袋を光の方に向けました。,The boy mechanically turned the bag toward the light. 
みんな彼のことを褒めたたえる。,Everyone speaks highly of him.
 足の裏面。,The underside of the foot. 
人生の裏側。,The seamy side of life. 
小切手に裏書する。,Endorse a check.
人気のない裏通り。,Minor back roads. 
 彼女は夫を裏切った。,She cheated on her husband.
月の裏側は見えません。,We cannot see the other side of the moon. 
彼女はシャツを裏返した。,She turned the shirt inside out. 
衣類の内側に裏地を当てる,Attach an inside lining to a garment. 
裏面のシールを剥がします。,Peel off the sticker on the back. 
彼らは裏ルートで交渉した。,They negotiated via a back channel. 
今日は天気がいいです。,The weather's nice today.
このバッグは重いです。,This bag's heavy.
私も兄もテニスが上手です。,My brother and I are good tennis players.
彼女の子供は学校にいます。,Her children are at school.
私 は タクシードライバー です。,I'm a taxi driver.
あなたは彼女の絵を見たことがありますか?,Have you seen any of her paintings?
先週私は彼女の絵を少しだけ見ました。,I saw some of her work last week.
彼女 は 五年前レストランのウエートレスでした。,Five years ago she was a waitress in a restaurant.
あなたは彼女と話したことがありますか?,Have you ever spoken to her?
私は先週のパーティーで彼女と知り合いましたが、結構いい人でした。,I met her at a party last week. She's very nice.
毎日誰かがオフィスを掃除します。,Somebody cleans the office every day.
昨日誰かがオフィスを掃除しました。,Somebody cleaned the office yesterday. 
バターは牛乳から作られています。,Butter is made from milk.
どのぐらいに一回部屋を掃除しますか?,How often are these rooms cleaned?
この家は百年前に建てられました。,This house was built one hundred years ago.
車の事故で誰か怪我しましたか?,Was anybody injured in the accident?
二人病院に運ばれました。,Two people were taken to the hospital.
誰に車の運転を教わりましたか?,Who taught you to drive?
あのスイッチを触るなと警告されました。,I was warned not to touch the switch.
暑い天気は疲れを感じさせます。,Hot weather makes me feel tired.
両親は彼女を1人で出かけさせません。,Her parents wouldn't let her go out alone.
バッグを持ってあげますよ。,Let me carry your bag for you.
私達 は 2時間 待たされました。,We were made to wait for two hours.
大統領は何時間も討論していました。,The president went on talking for hours.
