K1,M1,K2,M2,K3,M3,K4,M4,K5,M5,K6,M6,K7,M7,K8,M8
一,one,音,sound,学,study,金,gold,五,five,山,mountain,耳,ear,出,exit
右,right,下,below,気,spirit,空,empty,口,mouth,子,child,七,seven,女,woman
雨,rain,火,fire,九,nine,月,"moon, month",校,exam,四,four,車,car,小,little
円,"circle, yen",花,flower,休,rest,犬,dog,左,left,糸,thread,手,hand,上,above
王,king,貝,shellfish,玉,jewel,見,see,三,three,字,character,十,ten,森,forest
人,person,夕,evening,先,before,大,large,町,town,日,"day, sun",百,hundred,目,eye
水,water,石,stone,早,early,男,man,天,heavens,入,enter,文,sentence,立,stand up
正,correct,赤,red,草,grass,竹,bamboo,田,rice field,年,year,木,tree,力,power
生,life,千,thousand,足,leg,中,in,土,earth,白,white,本,book,林,grove
青,blue,川,stream,村,village,虫,insect,二,two,八,eight,名,name,六,six
引,pull,何,what,画,brush stroke,外,outside,丸,round,帰,homecoming,強,strong,計,plot
羽,feathers,科,department,回,-times,角,angle,岩,boulder,弓,bow,教,teach,元,beginning
雲,cloud,夏,summer,会,meeting,楽,music,顔,face,牛,cow,近,near,言,say
園,park,家,house,海,sea,活,lively,汽,vapor,魚,fish,兄,elder brother,原,meadow
遠,distant,歌,song,絵,picture,間,interval,記,scribe,京,capital,形,shape,戸,door
古,old,公,public,行,going,国,country,作,make,姉,elder sister,時,time,秋,autumn
午,noon,広,wide,高,tall,黒,black,算,calculate,思,think,室,room,週,week
後,behind,交,mingle,黄,yellow,今,now,止,stop,紙,paper,社,company,春,springtime
語,word,光,ray,合,fit,才,genius,市,market,寺,Buddhist temple,弱,weak,書,write
工,craft,考,consider,谷,valley,細,dainty,矢,arrow,自,oneself,首,neck,少,few
場,location,親,parent,星,star,線,line,太,plump,知,know,朝,morning,点,spot
色,color,図,map,晴,clear up,前,in front,体,body,茶,tea,直,straightaway,電,electricity
食,eat,数,number,切,cut,組,association,台,pedestal,昼,daytime,通,traffic,刀,sword
心,heart,西,west,雪,snow,走,run,地,ground,長,long,弟,younger brother,冬,winter
新,new,声,voice,船,ship,多,many,池,pond,鳥,bird,店,store,当,hit
東,east,読,read,売,sell,父,father,歩,walk,妹,younger sister,門,gates,曜,weekday
答,solution,内,inside,買,buy,風,wind,母,mother,万,ten thousand,夜,night,来,come
頭,head,南,south,麦,barley,分,part,方,direction,明,bright,野,plains,里,ri
同,same,肉,meat,半,half,聞,hear,北,north,鳴,chirp,友,friend,理,logic
道,road-way,馬,horse,番,turn,米,rice,毎,every,毛,fur,用,utilize,話,talk
悪,bad,意,idea,運,carry,屋,roof,開,open,館,large building,究,research,去,gone
安,relax,育,bring up,泳,swim,温,warm,階,storey,岸,beach,急,hurry,橋,bridge
暗,darkness,員,employee,駅,station,化,change,寒,cold,起,wake up,級,class,業,profession
医,doctor,院,institution,央,center,荷,baggage,感,emotion,期,period,宮,Shinto shrine,曲,bend
委,committee,飲,drink,横,sideways,界,world,漢,China,客,guest,球,ball,局,office
銀,silver,係,person in charge,県,prefecture,港,harbor,仕,attend,歯,tooth,式,style,守,guard
区,ward,軽,lightly,庫,warehouse,号,nickname,死,death,詩,poem,実,reality,取,take
苦,suffering,血,blood,湖,lake,根,root,使,use,次,next,写,copy,酒,sake
具,tool,決,decide,向,yonder,祭,ritual,始,begin,事,matter,者,someone,受,accept
君,pal,研,polish,幸,happiness,皿,dish,指,finger,持,hold,主,lord,州,state
拾,pick up,重,heavy,昭,shining,乗,ride,真,true,昔,long ago,息,breath,対,opposite
終,end,宿,inn,消,extinguish,植,plant,深,deep,全,whole,速,quick,待,wait
習,learn,所,place,商,make a deal,申,humbly say,進,advance,相,inter-,族,tribe,代,substitute
集,gather,暑,hot,章,badge,身,somebody,世,generation,送,send off,他,other,第,no.
住,dwell,助,help,勝,victory,神,gods,整,organize,想,concept,打,strike,題,topic
炭,chacoal,柱,pillar,定,determine,都,metropolis,湯,hot water,農,farming,畑,farm,皮,pelt
短,short,丁,street,庭,courtyard,度,degrees,登,ascend,波,waves,発,departure,悲,sad
談,discuss,帳,notebook,笛,flute,投,throw,等,etc.,配,distribute,反,anti-,美,beauty
着,wear,調,tune,鉄,iron,豆,beans,動,move,倍,double,坂,slope,鼻,nose
注,pour,追,chase,転,revolve,島,island,童,juvenile,箱,box,板,plank,筆,writing brush
氷,icicle,負,defeat,平,even,命,fate,由,reason,羊,sheep,落,fall,礼,thanks
表,surface,部,section,返,return,面,mask,油,oil,洋,ocean,流,current,列,file
秒,second,服,clothing,勉,exertion,問,question,有,have,葉,leaf,旅,trip,練,practice
病,ill,福,blessing,放,set free,役,duty,遊,play,陽,sunshine,両,both,路,path
品,goods,物,thing,味,flavor,薬,medicine,予,beforehand,様,Esq.,緑,green,和,peace
愛,love,囲,surround,塩,salt,課,chapter,街,boulevard,管,pipe,季,seasons,機,machine
案,plan,胃,stomach,億,hundred million,芽,bud,各,each,関,connection,紀,chronicle,議,deliberation
以,by means of,印,stamp,加,add,改,renew,覚,memorize,観,outlook,喜,rejoice,求,request
衣,garment,英,England,果,fruit,械,contraption,完,perfect,願,petition,旗,national flag,泣,cry
位,rank,栄,prosperity,貨,cargo,害,harm,官,bureaucrat,希,hope,器,utensil,救,salvation
給,salary,鏡,mirror,郡,county,欠,lack,固,harden,康,health,材,lumber,察,guess
挙,raise,競,compete,径,diameter,結,tie,功,achievement,告,revelation,昨,yesterday,参,visit
漁,fishing,極,poles,型,mould,建,build,好,fond,差,distinction,札,tag,産,give birth
共,together,訓,instruction,景,scenery,健,healthy,候,climate,菜,vegetable,刷,printing,散,scatter
協,cooperation,軍,army,芸,technique,験,verification,航,navigate,最,most,殺,kill,残,remainder
士,gentlemen,児,newborn babe,種,species,松,pine tree,照,illuminate,省,focus,折,fold,選,elect
氏,family name,治,reign,周,circumference,笑,laugh,賞,prize,清,pure,節,node,然,if so
史,history,辞,resign,祝,celebrate,唱,chant,臣,retainer,静,quiet,説,opinion,争,contend
司,director,失,lose,順,obey,焼,bake,信,faith,席,seat,浅,shallow,倉,godown
試,test,借,borrow,初,first time,象,elephant,成,become,積,volume,戦,war,巣,nest
束,bundle,帯,sash,仲,relationship,底,bottom,徒,junior,特,special,敗,failure,費,expense
側,side,隊,regiment,貯,savings,停,halt,努,toil,得,gain,梅,plum,必,invariably
続,continue,達,attain,兆,portent,的,target,灯,lamp,毒,poison,博,Dr.,票,ballot
卒,graduate,単,simple,腸,intestines,典,code,堂,hall,熱,heat,飯,meal,標,signpost
孫,grandchild,置,placement,低,lower,伝,transmit,働,work,念,wish,飛,fly,不,negative
夫,husband,兵,soldier,包,wrap,満,full,約,promise,利,profit,輪,wheel,歴,curriculum
付,attach,別,separate,法,method,未,not yet,勇,courage,陸,land,類,sort,連,take along
府,municipality,辺,environs,望,ambition,脈,vein,要,need,良,good,令,orders,老,old man
副,vice-,変,unusual,牧,breed,民,people,養,foster,料,fee,冷,cool,労,labor
粉,flour,便,convenience,末,tip,無,nothingness,浴,bathe,量,quantity,例,example,録,record
圧,pressure,衛,defense,応,apply,仮,provisional,快,cheerful,刊,publish,寄,draw near,久,long time
移,shift,易,easy,往,journey,価,value,解,untie,幹,tree trunk,規,standard,旧,old times
因,cause,益,benefit,桜,sakura,河,river,格,status,慣,accustomed,技,skill,居,reside
永,eternity,液,fluid,恩,grace,過,overdo,確,certain,眼,eyeball,義,righteousness,許,permit
営,occupation,演,performance,可,can,賀,congratulations,額,forehead,基,fundamentals,逆,inverted,境,boundary
均,level,潔,undefiled,限,limit,護,safeguard,構,posture,再,again,在,exist,賛,approve
禁,prohibition,件,affair,現,present,効,merit,興,entertain,災,disaster,財,property,支,branch
句,phrase,券,ticket,減,dwindle,厚,thick,講,lecture,妻,wife,罪,guilt,志,intention
群,flock,険,precipitous,故,circumstances,耕,till,混,mix,採,pick,雑,miscellaneous,枝,twig
経,sutra,検,examination,個,individual,鉱,mineral,査,investigate,際,occasion,酸,acid,師,expert
資,assets,質,quality,述,mention,承,comply,情,feelings,政,politics,責,blame,絶,discontinue
飼,domesticate,舎,cottage,術,art,証,evidence,織,weave,勢,forces,績,exploits,銭,coin
示,show,謝,apologize,準,semi-,条,clause,職,post,精,refined,接,touch,祖,ancestor
似,similar,授,instruct,序,preface,状,status quo,制,system,製,manufacture,設,establish,素,elementary
識,discriminating,修,discipline,招,beckon,常,usual,性,gender,税,tax,舌,tongue,総,general
造,create,属,belong,態,attitude,提,propose,銅,copper,燃,burn,版,printing block,俵,bag
像,statue,率,ratio,団,group,程,extent,導,guidance,能,ability,比,compare,評,evaluate
増,increase,損,damage,断,severance,適,suitable,徳,benevolence,破,rend,肥,fertilizer,貧,poverty
則,rule,退,retreat,築,fabricate,敵,enemy,独,single,犯,crime,非,un-,布,linen
測,fathom,貸,lend,張,lengthen,統,overall,任,responsibility,判,judgment,備,equip,婦,lady
富,wealth,複,duplicate,弁,valve,報,report,貿,trade,夢,dream,輸,transport,容,contain
武,military,仏,Buddha,保,protect,豊,bountiful,暴,outburst,迷,astray,余,too much,略,abbreviation
復,restore,編,compilation,墓,grave,防,ward off,務,task,綿,cotton,預,deposit,留,detain
領,territory,映,reflect,拡,broaden,干,dry,机,desk,供,submit,系,lineage,穴,hole
異,uncommon,延,prolong,革,leather,巻,scroll,揮,brandish,胸,bosom,敬,awe,絹,silk
遺,bequeath,沿,run alongside,閣,tower,看,watch over,貴,precious,郷,hometown,警,admonish,権,rights
域,range,我,ego,割,proportion,簡,simplicity,疑,doubt,勤,diligence,劇,drama,憲,constitution
宇,eaves,灰,ashes,株,stocks,危,dangerous,吸,suck,筋,muscle,激,violent,源,source
厳,stern,,,,,,,,,,,,,,
