Concept,Information
Brain,.
Pituitary gland,Releases hormones into blood. Controls growth and body development.
Hypothalamus,"Brain part. Regulates, sleep, hunger and body temperature."
Thalamus,Relays sensory signals from body to cerebrum.
Brain stem,Connected to spinal cord. Links the brain to the rest of the body. Controls heartbeat and breathing.
Cerebrum,"Controls all conscious actions and thoughts, analyzes sensory data and stores memories."
Cerebellum,Complex folded structure. Controls balance and movement.
Cerebrum,.
2 hemisphere,Left and right hemisphere.
Left hemisphere,"Language, scientific thought, rational thought, mathematical skills, writing skills,  verbal skills."
Right hemisphere,"Spatial skills, art, imagination, insight, music, creative thoughts, emotion."
4 lobes,"Frontal lobe, temporal lobe, parietal lobe, occipital lobe."
Frontal lobe,"Thought, speech, personality and emotion"
Temporal lobe,Sound recognition.
Parietal lobe,"Process information from the senses especially from skin, muscle and joints."
Occipital lobe,Received nerve signal from the eye. Interprets visual information.
Brain mapping,.
Prefrontal cortex,"Associated with personality, thinking and awareness."
Broca’s area,Controls speech and word formation.
Premotor cortex,"Initiates, guides and coordinates action."
Motor cortex,Controls coordinated muscle movement.
Somatic sensory cortex,"Analyzes nerve signals from skim, muscles and joints."
Sensory association cortex,Coordinates information from all senses.
Visual association cortex,Analyzes visual data to form mental images.
Wernicke’s area,Interprets written and spoken language.
Primary visual cortex,Receives visual data from the eyes.
Auditory association cortex,"Associates sound signals with memories, emotions and other senses."
Primary auditory cortex,Analyzes nerve signals from the ear.
Memory concept,.
Making memories,Memories are formed by electrical signals making connections between nerve cells so that they form a network. Often activated network creates a long term memory.
Sensory memory,Memory from our senses. Last for a few secs.
Short term memory,Prefrontal cortex. Lost after around 20 secs. Limited capacity.
Long term memory,Often activated nerve cell network creates a long term memory. Lasts for months or several number of years.
Recall,A measure of memory in which the person must retrieve information learned earlier. 
Recognition,A measure of memory in which the person need only identify items previously learned.
Involuntary recall,The brain retrieves a memory by itself. Trigger especially by smelling. Sounds and sight can be also a trigger.
Recording a new memory,Takes place in the temporal lobe.
"Relearning, Rehearsal",Review or relearning previously learned information.
Memories,.
Unconscious and emotional memory,Stored in amygdala.
Spatial memory,Stored in hippocampus. Parietal lobe.
Procedural memory,Stored in putamen. Learned skills and procedures
Episodic memory,Stored in cortex. Memories of personal and life events
Semantic memory,Stored in temporal lobe. Learned facts and details
Encoding,.
Visual encoding,Perceiving visual objects. Encode visual information.
Acoustic encoding,Hearing sounds. Encoding audio information.
