W1,R1,T1,W2,R1,T2,W3,R3,T3,W4,R4,T4
アワビ,アワビ,abalone,,,,,,,,,
捨てる,すてる,"abandon, throw away, cast away",,,,,,,,,
捨て猫,すてねこ,abandoned cat,,,,,,,,,
諦める,あきらめる,"abandon, give up",,,,,,,,,
投げる,なげる,"abandon, throw, give up",,,,,,,,,
投げ出す,なげだす,"abandon, resign, throw down",,,,,,,,,
乗り捨てる,のりすてる,"abandon, get off",,,,,,,,,
取り下げる,とりさげる,"abandon, withdraw",,,,,,,,,
減らす,へらす,"abate, decrease, diminish",,,,,,,,,
治まる,おさまる,"abate, die down, calm down, cool off",,,,,,,,,
治める,おさめる,"abate, subdue",,,,,,,,,
略す,りゃくす,"abbreviate, omit, take, capture",,,,,,,,,
略語,りゃくご,abbreviation,,,,,,,,,
省略,しょうりゃく,"abbreviation, omission",,,,,,,,,
省略形,しょうりゃくけい,abbreviated style,,,,,,,,,
退く,しりぞく,"abdicate, step back, withdraw",,,,,,,,,
退位する,たいいする,abdicate,,,,,,,,,
辞任する,じにんする,"abdicate, resign from a position",,,,,,,,,
お腹,おなか,"abdomen, belly",,,,,,,,,
腹部,ふくぶ,abdomen,,,,,,,,,
