Question,A,B,C,D
この町の【人口】どのぐらいですか。,🅰 にんこう,🅱 ひとくち,🅲 じんこう,🅳 いりぐち
暑いですね。エアコンを＿＿。,🅰 つけましょう,🅱 あけましょう,🅲 おしましょう,🅳 ひらきましょう
黒いペン＿＿書いてください。,🅰 を,🅱 に,🅲 が,🅳 で
あの人は【かいしゃいん】です,🅰 会社人,🅱 会社員,🅲 社会人,🅳 社会員
ああ、のどが＿＿。つめたい　水が飲みたい。,🅰 いたかった,🅱 かわいた,🅲 すいた,🅳 ぬれた
田中さんはイギリス人＿＿結婚しました。,🅰 と,🅱 に,🅲 を,🅳 へ
今、【四時】です。,🅰 よじ,🅱 しじ,🅲 ようじ,🅳 よんじ
すみません、お手洗いを＿＿ください。,🅰 かけて,🅱 かりて,🅲 かえして,🅳 かして
この道＿＿まっすぐ行って下さい。,🅰 に,🅱 を,🅲 で,🅳 が
【ことし】日本へ来ました。,🅰 来年,🅱 去年,🅲 本年,🅳 今年
あの先生の授業は＿＿。,🅰 つまる,🅱 つまらない,🅲 つもる,🅳 つもらない
先月日本に来ました。来月の10日＿＿います。,🅰 まで,🅱 から,🅲 か,🅳 でも
【今日】は日曜日で、休みです。,🅰 きょう,🅱 きゆう,🅲 ほんじつ,🅳 こにち
これは、＿＿食べられない。,🅰 まずくて,🅱 おいしくて,🅲 やすくて,🅳 きらくて
では、土曜日＿＿日曜日にもう一度電話します。,🅰 に,🅱 も,🅲 や,🅳 か
これから日本語を【勉強】します。,🅰 ばんきゅう,🅱 べんきょう,🅲 べんきゅう,🅳 ばんきょう
今日が＿＿で、明日が三日です。,🅰 はつか,🅱 ふつか,🅲 よっか,🅳 はたち
＿＿フランス語ができる人はいませんか。,🅰 だれが,🅱 だれか,🅲 だれでも,🅳 だれも
父はフランス語が【じょうず】です。,🅰 下手,🅱 手上,🅲 手下,🅳 上手
東京まであとどのぐらいかかりますか。もうすぐ＿＿よ。,🅰 つきます,🅱 でます,🅲 うごきます,🅳 かえります
これは日本語で＿＿言いますか。,🅰 なに,🅱 どう,🅲 どうやって,🅳 なぜ
【駅】まで、タキシー十分です。,🅰 いき,🅱 あき,🅲 うき,🅳 えき
＿＿、失礼ですが、田中さんではありません。,🅰 ええ,🅱 あのう,🅲 ああ,🅳 じゃあ
きのうは、そんなに＿＿ね。,🅰 寒くないでした,🅱 寒くなかったです,🅲 寒くなかったでした,🅳 寒かったではないです
【けさ】は七時に起きてジョギングしました。,🅰 本朝,🅱 分朝,🅲 会朝,🅳 今朝
チャネルを変えるから、テレビの＿＿とってください,🅰 リモコン,🅱 パソコン,🅲 エアコン,🅳 コンピューター
私はテニスが好きですが、上手＿＿。,🅰 ありません,🅱 ないです,🅲 なりません,🅳 じゃありません
休みの日は【母】に電話をします。,🅰 はは,🅱 ちち,🅲 まま,🅳 かか
ただいま。＿＿。,🅰 いってきます,🅱 いただきます,🅲 いらっしゃいませ,🅳 お帰りなさい
田中さんは＿＿やさしい人です。,🅰 きれいで,🅱 きれいくて,🅲 きれいと,🅳 きれい
先生が【学生】に話をします。,🅰 がせい,🅱 がくせい,🅲 がくせん,🅳 がっせい
いい天気だから、どこかへ＿＿か。,🅰 でかけません,🅱 でません,🅲 あそびません,🅳 きません
あなたのコーヒーカップはどれですか。いちばん＿＿です。,🅰 大きかった,🅱 大きもの,🅲 大きいの,🅳 大きい
【ほんや】は駅の前にあります。,🅰 書店,🅱 書屋,🅲 本店,🅳 本屋
