Kanji,Meaning,W1,R1,M1,W2,R2,M2,W3,R3,M3
郎,"man, guy",野郎,やろう,"guy, fellow, buddy​",風太郎,ぷうたろう,unemployed person,新郎,しんろう,bridegroom
結,"tie, bond, conclude",結婚,けっこん ,marriage,結果 ,けっか ,"result, consequence",結ぶ,むすぶ,"to tie, bind, link "
氏,family name,氏名,しめい,fullname,摂氏,せっし,celsius,氏族,しぞく,"clan, family"
衛,defense,衛星,えいせい,satellite,衛生,えいせい,"hygiene, sanitation, health",防衛,ぼうえい,"defense, protection"
第,number,次第,しだい,depending on,第三者,だいさんしゃ,third party,第一位,だいいちい,first place
古,"old, used",古典,こてん,classics,古代,こだい,ancient times,中古,ちゅうこ,"used, second-hand, old​"
故,"happenstance, the late",事故,じこ,accident,故人,こじん,the deceased,故障,こしょう,"breakdown, failure"
湖,lake,琵琶湖,びわこ,lake Biwa,湖畔,こはん,lakeside,湖沼,こしょう,"lake, marsh, wetland"
工,craft,加工,かこう,"processing, manufacturing",工場,こうじょう,"factory, plant",工業,こうぎょう,manufacturing industry
紅,"crimson, deep red ",紅葉,こうよう,autumn leaves,紅茶,こうちゃ,black tea,紅潮,こうちょう,"flush, blush​"
功,"achievement, merits",成功,せいこう,success,功績,こうせき,achievements,功労,こうろう,meritorious deed
巧,skilled,巧妙,こうみょう,clever,精巧,せいこう,"elaborate, exquisite ",技巧,ぎこう,"technique, finesse​"
項,"paragraph, clause, item",項目,こうもく,heading,事項,じこう,"matters, items, facts",条項,じょうこう,"clause, article"
攻,"aggression, attack",専攻,せんこう,"major, special study",攻撃,こうげき,"an attack, assault",攻勢,こうせい,aggression
貢,"tribute, support",貢献,こうけん,contribution,年貢,ねんぐ,annual tribute,貢ぐ,みつぐ,"to support, finance"
取,"take, fetch",取材,しゅざい,data collection,取得,しゅとく,acquisition,取材,しゅざい,news coverage
趣,"purport, interest",趣味,しゅみ,hobby,趣向,しゅこう,"device, plan, idea, design",趣旨,しゅし,"meaning, point, gist"
補,"supplement, supply",補足,ほそく,supplementation,補給,ほきゅう,"supply, replenish",補償,ほしょう,"compensation, reparation​"
捕," catch, capture ",捕獲,ほかく,capture,捕鯨,ほげい,whaling,捕虜,ほりょ,prisoner of war
舗," shop, store, pave ",舗装,ほそう,pavement,店舗,てんぽ,"shop, store​",老舗,しにせ,long-established shop
郷,"home town, village",故郷,こきょう,hometown,郷愁,きょうしゅう,"nostalgia, homesickness",郷里,きょうり,"hometown, birthplace​"
響,"echo, sound",影響,えいきょう,"influence, effect",反響,はんきょう,response,音響,おんきょう,"sound, acoustics"
帯,"sash, belt, zone",世帯,せたい,household,熱帯,ねったい,tropics,包帯,ほうたい,"bandage, dressing​"
滞,"stagnate, be delayed",渋滞,じゅうたい,"traffic jam, congestion",滞在,たいざい,stay,停滞,ていたい,"stagnation, tie-up"
朱," cinnabar, red",朱色,しゅいろ,cinnabar red,朱印,しゅいん,red seal​,朱肉,しゅにく,thick red ink
珠,"pearl, gem",算盤,そろばん,abacus,真珠,しんじゅ,pearl,数珠,じゅず,"rosary, prayer beads"
殊,"particularly, especially",特殊,とくしゅ,"special, particular, peculiar",殊勲,しゅくん,distinguished services,殊勝,しゅしょう,admirable
未,"still, not yet",未知,みち,unknown,未定,みてい,"undecided, indefinite",未来,みらい,future
味,"flavor, taste ",中味,なかみ,contents,味覚,みかく,taste,調味料,ちょうみりょう,"seasoning, flavouring"
魅,charm,魅力,みりょく,charm,魅了,みりょう,fascinating,魅力的,みりょくてき,"charming, fascinating"
