Words,Meaning,Sentences,Translation
来る,to come,雨天の後には晴天が来る。,After rain comes fair weather.
見る,"to see, look, watch, view, observe, look over",映画でも見ていこうか。,Let's stop off and see a movie.
居る,"to be, to exist",彼は昨年北海道にいましたか。,Was he in Hokkaido last year?
くれる,"to give, let some have",彼女は私たちに食べるものをくれた。,She gave us something to eat.
要る,"to be needed, to be wanted",この家は家賃がいらない。,This house is free of rent.
それ,that,誰がそれを知ろうか。,Who'd know that?
時,"time,, hour, moment, a point in time, occasion, case",私の家に来れる時は、まず電話をして下さい。,"When you can come to my house, please call me first."
される,"to be dine (to someone), to be doing",奨学金が交付された。,I got a grant for my tuition.
から,"from, because, since",ここから歩いて２時間もの距離だ。,It is no less than two hours' walk from here.
僕,"I, me",僕の声は届いていますか。,Can you hear I'm calling?
板,"board, plank, sheet of meta, plate, pane, slab, cutting board, chef, stage",私はその板をインチで計った。,I measured the board in inches.
前,"ago, before, in front of",駅に着く前に列車は発車していた。,The train started before we got to the station.
ではない,"is not, am not, are not",能力がすべてではない。,Ability alone is not enough.
よう,"appearing, looking, way to, method of, form, style, like",こういう機器では買いたくなるような値段です。,"It's an attractive price, for this sort of device."
中,"in, inside, middle, center, among, with in, during, while",なぜ森の中で道に迷ったのか。,Why did you get lost in the woods?
言う,"to say, to utter, to declare, to name, to call",私に一回だけ言わせてくれ。,Let me say it once for all.
先生,"teacher, master, doctor",彼は駅で英語の先生にばったり会った。,He met his English teacher at the station by accident.
見える,"to be seen, to be in sight, to be visible",あちらに富士山が見えます。,We can see Mt. Fuji over there.
私,"I, me",正確に言うと私は大学講師です。,"Specifically, I'm a university lecturer."
べき,"should, must, ought to, to be done",君は彼に本当のことを言うべきだった。,You should have told him the truth.
積もり,"intention, plan",私は外国へ行くつもりだったが。,I intended to have gone abroad.
年,"year, counter for years",私がここへ来てから二年になる。,It is two years since I came here.
という,"called, named, said, to say, to be said, to be called",それは何という動物だ。,What an animal it is!
有る,"to be, to exist (in animate), to have, to be located, to be quipped with, to happen, to come about",私たちの学校には１０の学級がある。,Our school has ten classes.
男,"man, male, fellow, guy",農場で一人の男が働いている。,There is a man working on the farm.
この,this,このスカーフはすべすべする。,This scarf feels soft.
行けない,"wrong, not good of no use, must not do",あなたはこの部屋で眠ったらいけません。,You are not to sleep in this room.
思う,"to think, to consider",彼は彼女をとても魅力的だと思います。,He thought her very charming.
には,"for (in regard to), in (in regard to), in order to",この国には外国人の観光客が大勢いる。,Foreign tourists in this country are numerous.
んです,"the expectation is that, the reason is that, the fact is that, it is that",あの、本当は、ちょっと具合が悪いんです。,"Well... actually, I'm sick."
させる,"to make (someone) do, to allow (someone) to",医者は少女に抗生物質を服用させた。,The doctor dosed the girl with antibiotics.
方,"direction, way, side, area, type, method, means",どっちの方に行くとよいかな。,Which way shall we go now?
悪い,"bad, poor, undesirable",彼女はいつも体の具合が悪いと不平を言っている。,She is always complaining of her poor health.
にも,"also, too, as well, even, be also, to/in.. also (inclusive)",この規則はいくとおりにも解釈できる。,This rule reads several ways.
ので,"because of, since, the reason is, that being the case, given that, so",私は非常に早く起きたのでその列車に間に合った。,"Because I got up so early, I caught the train."
鳴る,"to sound, to ring, to resound, to echo, to roar, to rumble",突然ベルが鳴った。,The bell rang suddenly.
学生,student (esp. a university student),ここの本は学生が誰でも利用できます。,These books are accessible to all students.
立つ,"to stand, to rise, to stand up",あの建物の前に立っている人は誰ですか。,Who is the man standing in front of the building?
よりも,"in comparison to, rather than, than (inclusive comparison)",彼女は彼よりも優れた指導者だ。,She is a more proficient leader than he is.
や,"such things as, and",賃金や給料は定期的に受け取る給与のことです。,Wages and salary are pay received at regular times.
考え,"thinking, thought, view, opinion, concept, idea, notion, intention, consideration",彼の考えは私の考えと一致しない。,His ideas do not fit in with mine.
自分,"myself, yourself, oneself, himself, herself, I, me",自分のすらっとした姿を得意に思っています。,She is vain about her slender figure.
って,"you said, he said, she said, they said, says that,as for the term, as for",楽しい時って、あっと言う間に時間過ぎちゃうんだよね。,"When you're enjoying yourself, the time seems to fly by."
である,"be is, (formal, literary)",それらの街の交通法は同じである。,Those cities have uniform traffic laws.
酔う,"to get drunk, to become intoxicated, to feel sick, to become nauseated, to be elated",彼は多かれ少なかれ酔っていた。,He was more or less drunk.
あの,that,あのお店ではおいしいリンゴが販売中です。,There are some nice apples on sale in that shop.
他,"other (place, thing, person), the rest",彼は他の事に気を取られている。,He is preoccupied with something else.
無い,"nonexistent, not being (there)",私は忙しいし、それには興味もない。,"I am busy, and I'm not interested in that, either."
決して,"never, by no means, not in the least, in no way",あなたのご親切を私はけっして忘れません。,I shall never forget your kindness.
積極的,"positive, assertive, active, proactive, aggressiv",何事にも積極的な態度を取るようにしなさい。,Try to have a positive attitude about everything.
凍結,"freezing (e.g. water), freezing (prices, wages, assets, etc.)",冬は道路を凍結するのでよく滑って転びます。,It is easy to slip and fall during icy winters.
道,"road, path, street, lane, passage, route, way, distance, journey, course",暗い道では足元に気をつけなさい。,Watch your step in dark alleys.
あれ,that,質ではこれはあれよりはるかに勝っている。,This one is of much higher quality than that one.
でも,"but, however, even if, even though",楽しく遊んできなさい。でも道に迷わないように。,"Have fun, but don't get lost."
いただける,"to be able to receive, to be able to take, to be able to accept",部屋を見せていただけますか。,Could I see the room please?
尾,"tail (animal, kite, comet, etc.), tail end",魚は尾を動かして泳ぐ。,A fish swims by moving its tail.
人間,"human being, person, man, mankind, humankind",すべての人間は法律的には対等である。,All human beings are legally equal.
物,"thing, object, article, stuff, substance",地震ほど怖い物はない。,Nothing is so terrible as an earthquake.
まで,"until, up to, till, to, as far as",市内までいくバス乗り場は、どこですか。,Where's the bus for the city?
やめる,"to stop (an activity), to cease, to discontinue",今日は雨降りなので、買い物はやめよう。,"It being rainy today, let's cancel our shopping."
だけ,"only, just, merely, simply, no more than",店にあるのは、これ一つだけです。,It is the only one there is in the shop.
しか,"only, nothing but",彼はせいぜい１０ドルしか持っていない。,He has not more than 10 dollars.
うち,"inside, within, while, during, among, amongst",若いうちに海外へ行かれることをお勧めします。,I advise you to go abroad while young.
ながら,"while, during, as",私は食事をしながら本を読みました。,I read a book while eating.
知らせ,"news, word, tidings, notice, notification, information",彼はその知らせにすっかり失望した。,He was very much disappointed at the news.
知る,"to be aware of, to know, to be conscious of, to cognize, to notice, to feel",彼はその結果を知って満足した。,He was satisfied to know the result.
顔,"face, visage, look, expression",なんとすてきな顔をしているのだろう。,What a nice face she has!
です,"be, is",日本では、月給です。,"In Japan, we are paid by the month."
では,"then, well, so, well the",では明日その事について彼に尋ねてみます。,"I will ask him about it tomorrow, then."
市,"city, market",当市には大気汚染はありません。,Our city is free from air pollution.
わかる,"to understand, to comprehend, to grasp, to see, to get, to follow",おっしゃる意味がわかりませんが。,What you said does not make sense.
上手,"skillful, skilled, proficient, good (at), adept, clever",夫は私より上手に料理する。,My husband is better able to cook than I.
彼女,"she, her, girlfriend",彼は彼女をとても魅力的だと思います。,He thought her very charming.
とは,indicates word or phrase being defined,社会と個人とは不可分である。,Society and the individual are inseparable.
強い,"strong, potent, competent, domineering, tough, intense, firm, fierce",きみの腕や足は十分に強くなった。,Your arms and legs have grown strong enough.
渡す,"to ferry across (e.g. a river), to carry across, to traverse, to lay across, to build across, to hand over, to hand in, to pass, to give, to transfer",それじゃあこのメモを渡してください。緊急です。,"Then, please give him this note. This is urgent."
ホテル,hotel,その町で最高のホテルはどこですか。,Which is the best hotel in the town?
返る,"to return, to come back, to go back, to become extremely, to become completely",今度日本に返って来られるのはずっと先のことでしょう。,I guess it will be a long time before I can return to Japan.
蛇,snake,私は蛇など全然怖くない。,I'm not in the least afraid of snakes.
クラス,class,そのクラスは５０人の学生から成っている。,The class consists of fifty students.
として,"as (i.e. in the role of), for (i.e. from the viewpoint of)",彼女は音楽家として初めて世に出た。,She made her first appearance as a musician.
担う,"to carry on one's shoulder, to shoulder, to bear, to take upon",この梱包材が断熱機能を担っている。,This packaging material provides heat insulation.
しかし,"however, but",しかしその答えはすべて間違っていた。,But the answers were all wrong.
出る,"to leave, to exit, to go out, to come out, to get out, to depart, to appear, to come out, to be published, to be issued, to be expressed",あなたの乗る電車は１０番線から出ます。,Your train leaves from Platform 10.
女,"female, woman",彼の娘は美しい女になった。,His daughter grew to be a beautiful woman.
入る,"to get in, to go in, to come in, to flow into, to set, to set in",私が部屋に入ると彼らは拍手した。,"As I entered the room, they applauded."
でしょうか,"don't you think?, indicates question",東京は今何時でしょうか。,What's the local time in Tokyo now?
