P1,T1,P2,T2,P3,T3
失ってしまうには あまりにも惜しい,It would be such a pity for them to disappear., 餃子の焼き方 教えてくんない？,Can you teach me how to make gyoza?,１日が終わり 人々が家路へと急ぐ頃,"At the end of the day, when people are rushing home..."
これは 平日に くたびれたサラリーマンが,This is a story about a tired office worker on a weekday.,うまい酒とおいしい料理,"Good sake, good food.",俺の１日は始まる,My day begins.
そんな絶メシに出会う,Encountering such excellent food.,あっ じゃあ カウンターどうぞ,Come to the counter.,営業時間は 夜12時から朝７時ごろまで,We're open from 12:00 p.m. to 7:00 a.m.
週末１泊２日の物語,A story of two days and one weekend.,はい コート お預かりしますね,"Okay, I'll take your coat.",人は「深夜食堂」って言ってるよ,People call it the Midnight Diner.
それでは案内を開始します,Then we will begin the tour.,餃子の焼き方？,How to cook dumplings?,メニューは これだけ,This is the only menu.
もうちょっと分かりやすいほうが いいかな,I think it's better if it's a little clearer.,あんまり無理しないでね,Don't push yourself too hard.,あとは勝手に注文してくれりゃ,All you have to do is order what you want.
それって具体的に言うと？,Can you be more specific?,ああ いってきます,I'm off.,客が来るかって？,Do you get many customers?
比較対象をもっと入れるとか,We should add more comparisons.,いってらっしゃい,Have a good day.,それが結構 来るんだよ,We get a lot.
それ直してたら てか もう定時なんで,"If we fix it, we're already on time.",大好きな餃子で 元気になってほしくて,I wanted to cheer you up with my favorite dumplings.,１人で飲みたい時に ここへ来るんだ,She comes here when she wants to drink alone.
飲み会あるんスよね 今日,We're having a party today.,そういえば ゆうべ…,"By the way, last night...",うちの白菜漬けが 大のお気に入りでね,She really likes our pickled Chinese cabbage.
いっぱいだしなぁ,It's a lot.,うちの嫁が―,My wife...,はい ツナマヨ丼,Tuna mayo rice bowl.
お疲れさまです,Thank you for your hard work.,悲しそうに帰ってったよ,She left sadly.,何回やっても この味が出ないのよね うちじゃあ,"No matter how many times I try, I can't get this flavor at home."
送信！,Sending!,ホント めんどくさい息子だよ,He's such a pain in the ass.,んっ マスター お酒は？,"Master, do you want a drink?"
できましたよっと,It's done.,お願い コツ 教えて,"Please, teach me how.",すぐできるよ,It'll be ready soon.
名古屋遠征 行ってきます,I'm off to Nagoya for an expedition.,コツですか,Tips?,マスターのは ずっと同じ味,Master's pickles always taste the same.
帰りは明日(あした)の夕方くらいかな,I'll probably be back tomorrow evening.,あっ 落ち着いてください,Please calm down.,変わらないことは 変わることより,What doesn't change is better than what does.
目的地まで132キロ,It's 132 kilometres to our destination.,ちゃんと このとおりに,I want you to do this.,難しいって言いますけどね,You say it's difficult.
１時間52分くらい かかります,It'll take about an hour and 52 minutes.,フライパンを熱して 油を引き―,"Heat a frying pan, add oil...",マスターの場合 変わらないんじゃなくて,"In Master's case, it's not that he doesn't change."
週末 私は ちょっとした旅に出る,I'm going on a little trip this weekend.,本製品を並べ 中火で焼く,Put the product on the pan and cook over medium heat.,変われないんじゃないの？,I thought you said you couldn't change.
その１ 期間は金曜の帰宅後から,The first rule is to start after I get home on Friday.,ちゃんと説明どおりに 忠実にやってるのに,I'm following the directions exactly.,褒めてんのよ,I'm complimenting you.
誰も誘わない　誰も巻き込まない,Invite no one. Involve no one.,あれ？　何か うちのやり方と違うかも,What?　Maybe it's not the way we do it.,お土産で持って帰ったでしょ,You brought it back as a souvenir.
目的地に着きました,You've arrived at your destination.,えっ？　やっぱり！,What?　I knew it!,故郷の味って 人それぞれありますよね,"Everyone has their own taste of home, right?"
案内を終了します 運転 お疲れさまでした,This tour is over. Thank you for driving.,きっと何か秘けつがあるのよ,There must be some secret to it.,私の場合 仙台なんですが,"In my case, it's Sendai."
高速代 ガソリン代 食費,"Highway fare, gasoline, food.",お願い 私を助けると思って教えて,"Please, think of it as helping me and tell me.",死ぬ前に なにが食べたいって聞かれたら,If you were to ask me what I wanted to eat before I died...
いろいろ含め 小遣いの範囲内に収める,I'll try to keep it all within my allowance.,結婚して もう10年 過ぎたんですよね？,"You've been married for 10 years, right?",東京来てしばらくは―,For a while after arriving in Tokyo.
そのために必要不可欠なのは,"To do this, it is essential to.",せっかくだから 本体から作りましょう,"Since we're here, let's start with the body.",どうも違和感みたいなものが ありましたよ,I had a strange feeling.
日の出 見えないんだ？,Can't you see the sunrise?,あっ 大丈夫よ 焼き方だけ教われれば,Don't worry. You can just teach me how to bake.,そう… なんか違うんだよねえ,"Yeah, it's different."
隠れてる,It's hidden...,でも そんな時間 取らせられないわ,But I can't afford that kind of time.,東京の人にとっては こっちが…,"For people in Tokyo, this is..."
晴れて 富士山が見えますように,Let's hope it's a clear day and we can see Mt. Fuji.,まずは野菜ね,Let's start with the vegetables.,ハァ… ここんとこ食ってねえなあ,I haven't eaten in a while.
ここ 評価高い,This place is highly rated.,私は白菜のほうが扱いやすくて ,I find bok choy easier to handle. ,好きなんだ？ 運転手さん,You like it? You like it?
案内を終了します,End guidance.,季節柄 キャベツにしましょうね,"But since it's the season, let's go with cabbage.",お客さんにもあるでしょ？ 故郷の味,Do you have any customers? Taste of home.
すみません あの　今 お店探してまして,We're looking for a place to eat.,もしかして 皮も手作り？,Do you make the skin by hand?,忘れたなあ もう,I've forgotten.
うどん屋さんなんですけど,"It's a udon shop, but...",ああ… 時間もないですし そこまでは,We don't have time to go that far.,あの味 東京には ないんだよなあ,You can't get that taste in Tokyo.
あっ　ここも うどん屋さん,"Oh, this is also a udon shop.",ああ よかった 皮も手作りかと,"Oh, good. I thought the skin was homemade.",どれ食っても なーんか違う,"No matter what I eat, there's something different."
でも ここは ちょっと違うかな,But this one's not quite right.,はい あっ 菜切りで,"Yes. Oh, just chop it.",塩だか 白菜だか,"Salt, Chinese cabbage."
１名さまですね　どうぞ どうぞ,"One person, please. Come in.",調味料は先に入れるのね？,"You put the seasoning in first, right?",運転手さん ちょっと これ食べてみてよ,"Hey, driver, try this."
大丈夫ですよ　席空いてるので,"It's okay, there's a seat available.",うまみとコクを引き出す効果が 高いんです,It's rich in amino acids and brings out the full flavor.,白菜漬けかあ,Pickled Chinese cabbage?
物好きだねえ,You're so curious.,入れてみたいけど 常備するのは ちょっと…,"I'd like to try it, but I don't have it on hand.",怖いなあ 口に合うかどうか,I'm afraid my taste buds won't like it.
吉田うどんだったら もっと あるでしょう　,I'm sure there are more Yoshida Udon.　,是非 試してみてください,Please give it a try.,大丈夫 私が保証する,"Don't worry, I'll guarantee it."
だいぶ ディープな席だ,That's a pretty deep seat.,本格的な味になりますよ,It will give you an authentic taste.,ここの宣伝もしといたから 今度 来るかもよ,"I advertised this place, so maybe you'll come next time."
注文はね それに書くの,We'll write our orders on that.,キャベツは刻み終わったら―,When you finish chopping the cabbage...,あっ そうだけど,"Yes, but.."
じゃ ここは 天ぷらうどん,We'll have tempura udon.,ひき肉と混ぜる前に 塩で軽くもみます,Toss it with salt before mixing it with the minced meat.,マスター 卵焼きとビールね,"Master, omelets and beer."
あ～ 書いてあげるよ,I'll write it down for you.,そうしたほうが 適度に水分が抜けて―,"That way, the water will drain out properly.",めちゃめちゃ元気 見て見て見て,"He's fine. Look, look, look."
ここはね 肉うどんの一択だから,You can only choose meat udon here.,その間 ゆっくりお茶でも飲みましょう,"In the meantime, let's have a nice cup of tea.",フゥ… たださあ 私が夜 帰るでしょ？,"But I'll be home at night, right?"
えっ？　大盛りにするかい？,What?　Do you want a large bowl?,じゃあ 包んで焼いてみましょう,Let's wrap it up and bake it.,あんまり遅く帰ると 引っかいたり かんだり,"When I come home too late, he scratches and bites."
えっ あ～ いや 普通で大丈夫です,"No, I'm fine with regular.",え… これ 全部包むの？,You're going to wrap all of these?,もう すごいの,It's amazing.
そもそも この人は店員さんなのか？,Is this guy a waiter in the first place?,今から焼く分だけです,Just the ones we're going to bake.,本気で かむから痛くって,It hurts because I really bite.
やはり店員さん？,Is it the waitress?,焼く練習の分だけ 包みましょう,We'll wrap up enough for the baking exercise.,ホントに？ ,Really?
あっ えっ 有名な人なんですか？,"Oh, he's famous?",私 実は餃子って作ったことないの,I've never made gyoza before.,変ねえ,That's weird.
なら 知ってるわけない…,Then how would I know.,私 料理 下手で―,I'm a terrible cook.,月ちゃんとこ持ってった時 ３月でしょ？,"When I brought it to you, you were March, right?"
もう来なくていいよ,You don't have to come back.,正直に言ってから教わるべきよね,You should have told me first.,それまでは 兄弟で遊ばしてたから―,"Before that, I let my brothers play with her."
常連さんが いなくなったら いなくなったで,"If the regulars disappear, so do we.",じゃあ イチから教えますね ,Then I'll teach you from scratch. ,甘がみは 知ってるはずなんだけどなあ,I'm sure he knows about the sugar cane.
静けさが際立つ,The quietness is noticeable.,あっ 油は あとからでも 大丈夫なんです,You can add the oil later.,やっぱり 猫にも血筋ってあるのね,"I guess cats have bloodlines, too."
ほら　店の前にいる,She's in front of the store.,はい 少なくとも うちでは そうしてました,"Yes, at least that's how we do it in our house.",におってるの,He's pissed.
あっ ここ 長そうですね,This place looks long.,ここから ゴマ油を入れます,"From here, add sesame oil.",まあっ いやらしい,How disgusting...
いえ　全然　大したことないわよ,"No, not at all. It's no big deal.",お皿をかぶせます,I'll cover it with a plate.,猫には ウソはつけないのよ,You can't lie to a cat.
気づいたら こんな感じで,"Before you know it, it's like this.",失敗ゼロなんです,I have zero failures.,フッ 確かにそうかも,I guess you're right.
あっ じゃ お母さんのあとを継がれて？,So you're following in your mother's footsteps?,食べてみてもいい？,Can I try some?,鋭いなあ 小寿々さん,"You're so perceptive, Mr. Kotobuki."
あと継ぐとか そんな大した話じゃなくて,It's not that big of a deal.,お熱いうちに どうぞ,While it's hot.,人生なんでも 仕事の材料なのね,"Everything in life is material for work, isn't it?"
15年前くらいかな,It was about 15 years ago.,皮 パリパリ,The skin is crispy.,締め切りは 気にしなくていいから,Don't worry about the deadline.
お母さんが お店やってるときに,When my mom was running the store.,でも かみしめると ,But when you bite down. ,編成のほうは 俺がなんとでもやっとく,I'll take care of the organization.
お店 お休みにしてたの,I had to close the store.,じゅうっと肉汁もあふれて,The meat was juicy and tender.,周りのことは 考えなくていいからさ,You don't have to think about what's going on around you.
当時は 今ほど うどんのお店も多くなくて,"Back then, there weren't as many udon stores as there are now.", 絶対 満足してくれるわ, I'm sure he'll be satisfied.,とにかく月子がやりたいように 書いてみろよ,Just write whatever you want.
手取り足取り教えてもらわなくても,You don't need someone to teach you everything.,そうよね 自分で できなきゃね,That's right. You have to be able to do it yourself.,俺は一番それが読みたい,That's what I want to read the most.
追い込まれたら なんとかなるものね,"If you're backed into a corner, you can make it work.",うん この音になったら もう大丈夫,"When you hear that sound, you're good to go.",仕事やるから やらせろ みたいな感じだろ,"It's like, ""I'll give you the job, so let me do it."
ごめんなさい そろそろ ゆで上がるから,I'm sorry. I'm almost done boiling.,焼き色を確認してみて,Let's check the color.,決まってんだろ 権力使ってんだよ,"Of course not, I'm using my power."
意外と そういうもんだよな,"Surprisingly, that's how it is.",わあ いい色 ああ きれいに羽根もできてる,It's a nice color. The feathers are nicely done.,職権乱用だっつ,It's an abuse of power.
はい　肉うどん お待たせしました,"Here you go, meat udon. Thanks for waiting.",じゃあ このお皿をかぶせて,Put this plate on top.,この女だけじゃないよ ,She's not the only one. 
