K1,K2,K3
"人嫌い unsociable, extremely shy hitogirai",編入 change course (university) hennyū,防火 fire prevention bōka
"婦人 lady, young woman fujin","介入 intervention, intercession kainyū","小火 small fire, fire-prevented boya"
"夫人 wife, married woman, Mrs. fujin","記入 write down, record kinyū",花火 fireworks hanabi
"人柄 character, personality hitogara","購入 buy, purchase kōnyū",火花 sparks hibana
"人工 artificial, man-made jinkō",密入 smuggling mitsunyū,火色 flame colour hiiro
人口 population jinkō,入学 school admissions nyūgaku,火元 fire source himoto
"人民 citizens, people jinmin","入費 entrance-, admission fee nyūhi","放火 arson, setting in flames hōka"
"恋人 boyfriend, girlfriend koibito","入場 admission, entrance nyūjō",情火 fire of passion jōka
"人殺し murder, manslaughter hitogoroshi","入金 payment, deposit nyūkin","火炎 flame, blaze kaen"
美人 pretty woman bijin,入国 arrival in a foreign country nyūkoku,火片 sparks kahen
"人類 mankind, humanity jinrui","入札 auction, bidding nyūsatsu",火事 fire outbreak kaji
人生 human life jinsei,"入口 opening, door iriguchi",山火事 forest fire yamakaji
"仲人 matchmaker, nakōdo"," 加入 enter, join kanyū","火気 fire, spark kaki"
"人質 hostage, kidnap victim hitojichi",入院 hospital confinement nyūin,"火の気 fire, spark hinoke"
" 人々 people, crowd hitobito","入門 introductory, primer nyūmon",火口 crater kakō
"一人 one individual hitori, ichinin",入社 joining a company nyūsha,"火急 urgency, emergency kakyū"
"法人 legal entity, incorporated hōjin",入賞 winning an award nyūshō,"中火 medium heat, moderate fire chūbi"
人事 personnel; human affairs jinji,"侵入 invade, attack shinnyū","発火 catching fire, igniting hakka"
人権 human rights jinken,"収入 income, salary shūnyū",火影 flickering light hokage
"人間 human, person ningen",挿入 insert sō'nyū,火熱 flame heat kanetsu
人魚 mermaid ningyo,"出入り coming & going, in & out deiri",火星 Planet Mars kasei
"人形 doll, mannequin ningyō","入り用 need, necessary, necessity iriyō",火線 line of fire (battle) kasen
"人気 popularity, public acclaim ninki","嫁入り marriage, taking a bride yomeiri",火山 volcano kazan
人気 sign of life hitoke,"受け入れ acceptance, treatment ukeire",口火 pilot light kuchibi
人数 number of people ninzū,"入れ歯 false teeth, dentures ireba",急火 sudden outbreak of fire kyūka
"大人 adult, grown-up otona","札入れ wallet, purse satsuire",戦火 flames of war senka
"素人 amateur, novice, greenhorn shirōto","入り込む get in, steal into hairikomu","消火 fire fighting, ~extinguishing shōka"
"人道的 humane, humanitarian jindōteki",恥じ入る be ashamed of hajiiru,大火 conflagration taika
"他人 stranger, another fellow tanin",一括購入 bulk purchase ikkatsu kōnyū,点火 igniting tenka
"見物人 spectator, audience kenbutsunin",入り浸る overstay one's welcome iribitaru,火災 fire disaster kasai
"日本人 Japanese person nihonjin, nipponjin",刈り入れ crop harvest kariire,火葬 cremation kasō
"外国人 non-Japanese, foreigner gaikokujin",八丁 skillfullness hacchō,烈火 raging fire rekka
甚六 simpleton jinroku,八月 August hachigatsu,不審火fireofunknownorigin fushinbi
