Sentences,Translation
このあたりでは、4月から5月にかけていろいろな花が咲く。,"In this area, various flowers bloom during April and May."
台風の影響で、昨夜から今朝にかけて、激しい雨が降り続いた。,"Due to the typhoon, it rained heavily from last night to this morning."
この植物は九州北部から中部にかけて見られる。,This plant is found in northern and central Kyushu.
ガス爆発で、彼は肩から腰にかけて大やけどを負った。,The gas explosion left him with severe burns on his shoulders and lower back.
ほこりだらけの部屋。,A dusty room.
泥だらけのくつ。,Muddy shoes.
数学の答案は間違いだらけだった。,His math papers were full of mistakes.
苦労した祖父の手は固くてしわだらけだ。,My grandfather's hands were stiff and wrinkled from his hard work.
山頂までの道は石ころだらけだ。,The road to the top of the mountain was covered with stones.
父の部へ屋やは本だらけで足の踏ふみ場ばもない。,My father's clubhouse was so full of books that there was nowhere to step.
仕事が早く済んだのは、友達が手伝ってくれたおかげだ。,I was able to get the work done quickly thanks to the help of my friends.
しら髪が が少ないおかげで若く見られることが多い。,I often look younger because I have fewer white hairs.
医療技術の進歩のおかげで平均寿命が伸びた。,"Thanks to advances in medical technology, life expectancy has increased."
彼の言うことを信じたおかげでひどい目にあった。,I got into a terrible mess because I believed what he said.
あの人のせいでみんなが迷惑している。,Everyone is in trouble because of that person.
景気が悪いせいでボーナスが減った。,My bonus has been reduced because of the bad economy.
試合に負けたのはミスをした私のせいだ。,It's my fault that we lost the game because I made a mistake.
大気汚染が悪化したのは、政府が何の対策も立てなかったせいだ。,The air pollution got worse because the government didn't do anything about it.
彼女は何でも人のせいにするから嫌われている。,She is hated because she blames others for everything.
気のせいか、最近父は元気がないようだ。,"Maybe it's my imagination, but my father seems to be in low spirits lately."
年のせいか、このごろ物忘れがひどい。,"Maybe it's his age, but he's been forgetting a lot lately."
このあたりは気候が温暖なせいか、のんびりしていて暮らしやすい。,"Perhaps it's because of the mild climate here, but it's very relaxing and easy to live in."
学生たちは、先生が黒板に書いたとおりにノートに写した。,The students copied the notes exactly as the teacher had written them on the blackboard.
外国語だと、なかなか思ったとおりに話すことができない。,"In a foreign language, it is difficult to speak exactly as you want."
父は、私たち家族が父の言うとおりにしないと、きげんが悪い。,My father was not in a good mood when we didn't do as he asked.
勉強がなかなか予定どおりに進まない。,My studies did not go as planned.
幼い弟は思いどおりにならないと大声で泣く。,My younger brother cries loudly when he doesn't get his way.
例のとおりに書きなさい。,Write the story as in the example.
暗くならないうちに山を下りたい。,I want to get off the mountain before it gets dark.
祖父は元気なうちにいろいろな所へ旅行したいと言っている。,My grandfather wants to travel to various places while he is still alive.
明日は母の日だ。母が寝ているうちに朝ごはんを作って驚かせよう。,Tomorrow is Mother's Day. I'll surprise her by making her breakfast while she's still sleeping.
10 代のうちに将来の目標を決めたいと思っている。,I want to set my future goals while I am still a teenager.
大事なことは忘れないうちにメモしておいたほうがいいですよ。,It's better to write down important things before you forget them.
テレビを見ているうちに寝ね てしまい、試験勉強ができなかった。,I fell asleep while watching TV and was not able to study for the exam.
切符を買っているうちに電車が出てしまった。,The train left while I was buying a ticket.
しばらく会わないうちに、その子はずいぶん大きくなっていた。,"It's been a while since I've seen him, but he's grown up a lot."
申し込み手続きに関してお伺いしたいのですが。,I would like to ask you about the application process.
パソコンで環境問題に関する記事を検索した。,I searched for an article on environmental issues on my computer.
議長は時間に関して厳しいので、絶対遅刻はできない。,"The chairperson is very strict about time, so I can never be late."
その件に関しましては、後ほどご説明いたします。,I will explain about that later.
