W1,T1,W2,T2,W3,T3
表情も見えないし,I can't even see his expression.,声だけって,Just a voice.,普通の恋愛ではない,This is no ordinary love affair.
めちゃめちゃ不思議っすね,It's so strange!,現実なのか,Is it real?,分からんくなってきた,I don't know. I don't know anymore.
僕の目が見えなくなっても,Even though I'm blind.,あなたに恋をする,I fall in love with you,めっちゃ不思議じゃない?,Isn't it so strange?
めっちゃ好きみたいな,"Like, I love you so much.",目から入ってくる,It's coming through my eyes.,情報で判断しがち,We tend to judge based on information.
所でつながれる,I can connect with you there.,出会えたら,If we meet,掛け替えのない関係かも,Maybe the relationship is irreplaceable.
やっぱり今まで,I knew it. I knew it. I knew it.,外見なしに恋愛してきた,I've fallen in love without appearances,でもこう長期的に見たら,But in the long run.
一番大事なものではやっぱりない,It's still not the most important thing.,運命の人が見つけたいです,I want to find my destiny.,めっちゃキレイ,So beautiful.
恋愛に影響してきた,It's affected my love life.,身体的な不安,Physical insecurity,この実験では体型は抜きで,"In this experiment, we're not going to look at body shape."
これまでの恋愛は散々だった,My love life so far has been a mess.,運命の人を探しに来た,I'm here to find my destiny.,見た目でなく,Not by the way you look.
見つけたい,I want to find it.,まずは内面を知りたい,I want to know what's going on inside first.,観光業セールス,Tourism Sales
タイプがこうとかって言うより,It's not about the type.,ホントに内面的にこう相手のこと,Really internal about the person you are talking to,めっちゃ好きになれたら,If you like it so much...
その居酒屋には,In that tavern,一本入った路地にある,It's in an alley down the street.,商店街から,From the shopping district
勇気を持ってくぐった者,Who have had the courage to pass through.,気づくだろう,You'll notice.,うまい酒とおいしい料理,Good sake and good food
ここにいることを,That you're here.,コートお預かりしますね,I'll take your coat.,どこの家庭でも,In every home
金取ってる,I'm getting paid.,ありきたりの料理でもな,Even if it's just a plain old cookout.,一つ丁寧に心込めて作んだ,I put my heart and soul into each and every one of them.
思わず笑みを浮かべるような一皿,A dish that will make you smile,それができて初めて,Only then can you do it.,払った金惜しくねえって,I'm not going to miss what I paid for.
何の料理作んの？,What are you cooking?,ニンジンの葉っぱ食べさせて,Let them eat the carrot leaves.,翌日から楽しめますよ,You'll enjoy it the next day.
出来上がり,Ready to serve.,蓋をすれば,If you put a lid on it,潰さないようにそっと置きます,Place it gently so as not to crush it
調味料を入れたみそ床に,In a bed of miso with seasonings.,卵黄のみそ漬け,Egg yolk in miso,楽しめるお酒です,It's a sake to be enjoyed.
肴と合わせると,When combined with snacks,相互のうまみが溶け合って,Mutual flavor melds with each other,膨よかなうまみが楽しめるお酒,Sake with a full-bodied umami taste.
そして今時珍しい義理人情がある,And there's a sense of righteousness that's rare these days.,お待ちどおさま,"Here you are, my dear.",そこまでじゃない,Not that far.
じゃあこれ頼む,"Okay, I'll take that, then.",あっとごめんなさい間違えた,"Oh, I'm sorry, I made a mistake.",みそ漬けじゃないってば,I told you I'm not pickled in miso.
親方さんたちも大変ねえ,"It's hard work, isn't it?",塩気がないとつまらなくなる,It would be boring without saltiness.,ききすぎてても,I don't care if it's overdone.
でも今はちゃんと働いてる,But I'm working now.,冷静になって考えたらしいんだな,He's cool with it. He's thought about it.,でもどういう風の吹き回し？,But what kind of windfall?
あの逃げ出しちゃった人,The one who ran away.,弟子が朝一番で現場に来たんだよ,My apprentice came on the scene first thing in the morning.,現場がうまく片づいたんでな,The scene was cleared up nicely.
たまには違う辛さもいいでしょ,It's nice to have a different kind of spice now and then.,じゃあ頂いてこうかな,I guess I'll just take it then.,昨日の大根どうだった？,How were the daikon radishes last night?
春の先駆けの菜めし,The first greens rice of spring,外はまだ寒いけど,It's still cold outside.,春はすぐそこまでって感じよね,It's like spring is just around the corner.
鮮やかだね,It's so bright.,大根には葉っぱが付き物ですから,"Daikon radishes come with leaves, you know.",今日はもう締めにしましょ,Let's call it a day.
思い出があるとか？,You have a memory?,お姉ちゃんとってもキレイ,"You look so beautiful, sis.",自転車置いてきちゃった,I left my bike here.
何時に寝たの？,What time did you go to bed?,いい天気だよね,"It's a beautiful day, isn't it?",腕を回します,I'll put my arm around you.
