W1,T1,W2,T2,W3,T3,W4,T4,W5,T5,W6,W7,W8
油,oil,暴れる,Rampage,上がる,go up,すると,Then,遭う,meet,,,
愛,love,溢れる,overflow,挨拶,Greetings,食べる,Eat,追う,chase,,,
愛情,Affection,愛着,attachment,味,Taste,反対,Against,負う,take care of,,,
相変わらず,as usual,合間,between,赤ちゃん,baby,まだ,Still,飼う,have,,,
生憎,hate,曖昧,ambiguous,赤ん坊,baby,大会,Tournament,請う,beg,,,
愛する,Love,愛らしい,adorable,案内,Guide,鳥,Bird,吸う,suck,,,
相手,partner,愛社,love company,安心,Safety,平均,Average,沿う,follow,,,
合図,Sign,相性,affinity,安全,safe,長い,Long,添う,accompany,,,
明かり,light,相次いで,successively,浅い,Shallow,天然,Natural,問う,ask,,,
明ける,dawn,愛用,adore,足音,Footsteps,取る,Take,縫う,sew,,,
空き,vacant,味付け,seasoning,遊び,Play,だろう,will,這う,crawl,,,
空き家,vacant house,赤字,deficit,集る,Gathering,降り続く,keep coming down,舞う,dance,,,
明らか,clear,飽き,boredom,集める,Gather,俺,Me,酔う,drift,,,
諦める,give up,空き地,Vacant land,合う,meet,当時,At that time,開く,open,,,
飽きる,get tired of,諦め,Giving up,謝る,apologize,湖,Lake,空く,empty,,,
悪魔,The devil,悪化,Deterioration,倍,Double,注文,Order,行く,go,,,
握手,Handshake,憧れ,Longing,番組,Program,けど,but,浮く,float,,,
余る,Excess,憧れる,Longing,場所,Place,まま,as,置く,put down,,,
編む,knit,悪影響,Bad influence,別,different,体,body,書く,write,,,
案,plan,悪意,Bad intentions,美術館,Museum,捕る,Catch,描く,draw,,,
汗,sweat,悪条件,Bad conditions,びっくり,Surprise!,不自由,disability,掻く,scratch,,,
穴,hole,雨水,Rainwater,僕,Me,助け,Help,欠く,lack,,,
暗記,memorization,甘やかす,Spoil,貿易,Trade,戦争,War,嗅ぐ,Smell,,,
安定,stability,案外,unexpected,部長,Director,折れる,Break,聞く,listen,,,
粗い,coarse,安易,easy,ぶどう,Grapes,製品,Product,漕ぐ,paddle,,,
嵐,Storm,安価,inexpensive,文学,Literature,下,bottom,咲く,bloom,,,
新た,new,仰向け,upside down,文化,Culture,胸が痛む,My Heart Hurts,裂く,tear,,,
現れる,Appear,荒い,rough,文法,Grammar,笑い,Laughter,敷く,lay out,,,
表す,manifest,洗い出す,wash out,血,Blood,雪,Snow,炊く,cook,,,
