P1,T1,P2,T2,P3,T3
見ているだけだ。,I'm just looking.,彼らは結婚することにした。,They decided to get married.,危険は避けようよ。,Let's not take any chances.
じゃ、少しだけ。,"Okay, just a little bit.",毎日散歩することにしてるの。,I'm going to take a walk every day.,コンドームもってる?,Do you have a condom?
願いは一つだけ。,I only have one wish.,私は毎朝走ることにしている。,I'm going to run every morning.,それなら、やめましょう。,Then let's stop.
眠たいだけだよ。,I just want to sleep.,どうしてそんな事になったの？,How did that happen?,それなら、やめよう。,Then let's not.
すこしだけ痛いです。,It hurts just a little bit,明日で１週間雨が続く事になる。,It's going to rain for a week tomorrow.,お誕生日おめでとうございます。,Happy birthday to you.
結果だけが必要だ。,I just need a result,私はパリに行く事になっている。,I'm supposed to go to Paris.,心からお悔やみ申し上げます。,My deepest sympathies.
疲れただけだよ。,I'm just tired.,７時にバスを待つ事になっています。,I'm supposed to wait for the bus at 7:00.,今度いつ会えますか。,When can we meet again?
言ってみただけだよ。,I'm just saying.,彼女は結局彼と結婚することになった。,She was to marry him after all.,この週末おひまですか。,Are you free this weekend?
それだけで結構です。,That's all I need.,彼にそれを独りでさせなさい。,Let him have it alone.,何か計画しましょうか。,Shall we plan something?
好きなだけ取ってね。,Take as much as you want.,謝るしかない。,All I can do is apologize.,車で拾ってくださいますか。,Can you pick me up in your car?
一回使っただけです。,I only used it once.,二時間しか寝なかった。,I only slept for two hours.,車で拾って上げましょうか。,Can I pick you up in my car?
怪我だけはするなよ。,Just don't hurt yourself.,彼女は野菜しか食べない。,She only eats vegetables.,９時までに帰らなければなりません。,I have to be home by nine o'clock.
寝たかっただけだよ。,I just wanted to sleep.,五千円しか持っていない。,I only have five thousand yen on me.,もう会いたくないわ。,I don't want to see you anymore.
１０分だけ付き合おう。,I'll give you ten minutes.,英語を少ししか話せません。,I can only speak a little English.,もう会いたくないよ。,I don't want to see you anymore.
週末だけここにいます。,I'm only here for the weekend.,高すぎる！,Too high!,何かお飲みになりませんか。,Would you like to have something to drink?
ご無沙汰。元気？,Long time no see. How are you?,暗すぎる。,Too dark.,何をお飲みになりますか。,What would you like to drink?
ご無沙汰しました。,It's been a while.,難しすぎる。,Too difficult.,タバコはいかがですか。,Would you like a cigarette?
ご無沙汰しています。,It's been a while.,夏は過ぎた。,Summer is over.,葉巻はいかがですか。,Would you like a cigar?
２年間のご無沙汰でした。,It's been two years.,小さすぎる。,Too small.,アルコールなしの飲み物を下さい。,Please give me a drink without alcohol.
ご無沙汰をして、ごめんなさい。,I'm sorry it's been so long.,静か過ぎる。,Too quiet.,たばこは吸いません。,I don't smoke.
記録を破った。,I broke the record.,遠すぎるわ。,Too far away.,送っていってもいいですか。,Can I give you a ride?
記録は誰も破れない。,No one can break the record.,複雑すぎます！,It's too complicated!,手紙を書いてもいいですか。,Can I write you a letter?
現在までの状況を記録した。,I've documented the situation up to now.,また１日が過ぎた。,Another day has passed.,メールをしてもいいですか。,Can I email you?
水泳で記録を持っている。,I have a swimming record.,これは派手すぎる。,This is too fancy.,電話をかけてもいいですか。,Can I call you?
温度を毎日記録している。,I'm recording the temperature every day.,眠すぎて倒れそう。,I'm going to fall asleep.,手紙をくれますか。,Can you write me a letter?
経済はマイナス成長を記録した。,The economy has recorded negative growth.,あれは簡単すぎた？,Was that too easy?,電話をくれますか。,Can I call you?
すべての買い物を記録する。,I keep track of all my purchases.,彼は早く着きすぎた。,He got there too early.,あなたの住所を教えてくれますか。,Will you give me your address?
早く用意して。,"Come on, get ready.",彼は酒を飲みすぎる。,He drinks too much.,あなたの電話番号を教くれますか。,Will you give me your phone number?
用意はいいかい。,Are you ready?,いつもそうでした。,He always did.,メールアドレスを教えてください。,Can I have your e-mail address?
用意はできた？,Are you ready?,怪我自体はなん針か縫う程度だそうです。,The injury itself is said to require only a few stitches.,いろいろありがとうございました。,Thank you very much for everything.
万事用意しておけ。,Be ready for anything.,怪我自体はなん針か縫う程度だそうです。,The injury itself is said to require only a few stitches.,とても楽しかったです。,It was a lot of fun.
行く用意はいいか？,Are you ready to go?,出してくれ。,Get me out of here.,元気でね。,Take care.
ケーキは良いできた？,Is the cake ready?,元気出して。,Cheer up.,いつ帰る?,When are you coming back?
出発の用意をした。,We're ready to go.,張り紙を出した。,I put up a sign.,待ってるわ。,I'll be waiting.
車は用意してあります。,The car is ready.,ごみを外に出して。,Take out the trash.,待ってるよ。,I'll be waiting for you.
夕飯を用意しましょうか。,I'll fix you some dinner.,答案を出して下さい。,Please give me your answers.,また会いたいわ。,I want to see you again.
彼は７０歳でなお活躍している。,He's 70 years old and still active.,ごめん。道が混んじゃって。,I'm sorry. The streets are so crowded.,また会いたいなあ。,I want to see you again.
その考えは今日なお優勢である。,That idea still prevails today.,ボタンを押してください。,Press the button.,この辺でヨガが出来ますか。,Can I do yoga around here?
この車誰の？,Whose car is this?,ドアは押して開けてください。,Push to open the door.,ここで自転車が借りられますか。,Can I rent a bicycle here?
相変わらずだね。,"Same old, same old.",ここに拇印を押してください。,Please put your thumbprint here.,スノーボードのレッスンが受けられますか。,Can I take snowboarding lessons?
相変わらずまだ寒い。,Still cold as ever.,私は家に着くやいなや寝た。,I went to bed as soon as I arrived home.,一時間いくらですか。,How much does it cost per hour?
相変わらず忙しいの？,You busy as ever?,外に出るや否や雨が降ってきた。,"As soon as I stepped outside, it started to rain.",一日いくらですか。,How much does it cost per day?
相変わらず親切だ。,Kind as ever.,到着するやいなや彼は病気になった。,"As soon as he arrived, he became ill.",一回いくらですか。,How much is one time?
相変わらずやってるね。,You're still doing it.,私が家につくや否や妹は出て行った。,"As soon as I arrived home, my sister left.",許可書が必要ですか。,Do I need a permit?
相変わらず挑戦的ね。,Challenging as ever.,彼が到着するや否や、バスは出発した。,"As soon as he arrived, the bus departed.",許可書はどこで発行されますか。,Where is the permit issued?
相変わらず美しい。,Beautiful as ever.,全力を尽くすつもりです。,I will do my best.,私の趣味は登山です。,My hobby is mountain climbing.
台本に目を通しておいてください。,Please read through the script.,お役に立てずすみません。,I'm sorry I can't be of more help.,ハイキングをするならどこがいいですか。,Where is the best place to go hiking?
お化粧は一切しなさい。,Don't wear any makeup.,お役に立てて何よりです。,I'm glad I could be of help.,登山をするならどこがいいですか。,Where is the best place to go mountain climbing?
肉類は一切食べないんだ。,I don't eat any meat.,お役に立ててうれしいです。,I'm glad I could be of help.,有名なパワースポットがこのへんにありますか。,Are there any famous power spots in the area?
この度初めて見たのです。,I've never seen this before.,お役に立ててよかったです。,I'm glad I could help you.,このへんに良い温泉はありますか。,Are there any good hot springs in this area?
エンジンが復活した。,The engines are back on.,何かお役に立てることはありますか？,What can I do to help you?,ここから一番近い日帰り温泉はどこですか。,Where is the nearest day trip hot spring from here?
流行を復活させる。,I'm bringing back the fashion.,また別の機会にお役に立てれば幸いです。,I hope I can be of help another time.,露天風呂はどこですか。,Where are the open-air baths?
翌日は家に戻ることになっていた。,We were supposed to go home the next day.,役に立つはずだ。,It should be useful.,混浴するときの決まりは何ですか。,What are the rules for mixed bathing?
いつ船が出ることになっているの？,When is the ship supposed to leave?,役に立つでしょう。,It will be useful.,混浴するときは、何か着ないといけませんか。,Do I have to wear something when I take a mixed bath?
そうなんですよね。,That's right.,鉄は役に立つ金属だ。,Iron is a useful metal.,海岸までまだ遠いですか。,Is it far from the beach?
これすごいことなんですよね。,"This is amazing, isn't it?",それは非常に役に立つ。,It's very useful.,この辺にプールはありますか。,Is there a swimming pool around here?
台風は関東地方に上陸した。,The typhoon made landfall in the Kanto region,あなたの役に立ちたい。,I want to be useful to you.,この辺に砂浜 はありますか。,Is there a beach around here?
