W1,W2,W3,W4,W5,W6
人uman,未ending,凹ollow,未ending,未ending,未ending
人erson,未ot yet,円en,未ot yet,未ot yet,未ot yet
入nter,末atter-part,円ircle,末atter-part,末atter-part,末atter-part
入ut-inside,末nding,全ntir,末nding,末nding,末nding
火ire,抹ross-out,全hole,抹ross-out,抹ross-out,抹ross-out
火lame,抹ipe-out,全omplete,抹ipe-out,抹ipe-out,抹ipe-out
六ix,日ay,金oney,日ay,日ay,日ay
八ight,日un,金etal,日un,日un,日un
穴ole,日apan,金old,日apan,日apan,日apan
穴avity,百undred,栓ork,百undred,百undred,百undred
乙art B,白hite,栓topper,白hite,白hite,白hite
乙econd group,可ossible,廷mperial cour,可ossible,可ossible,可ossible
己elf,可pproval,艇oat,可pproval,可pproval,可pproval
己ne's own,拘rrest,艇essel,己ne's own,己ne's own,己ne's own
忌ourning,拘dherence,庭arden,忌ourning,忌ourning,忌ourning
忌bhour,句hrase,年nnual,忌bhour,忌bhour,忌bhour
太hick,句erse,年ear,太hick,太hick,太hick
太bese,四our,缶an,太bese,太bese,太bese
犬og,匹[animal],缶anister,犬og,犬og,犬og
犬anine,西estern,岳ummit,犬anine,犬anine,犬anine
大arge,西uropean,岳ountain peak,大arge,大arge,大arge
大rand,矢rrow,岩ock,大rand,大rand,大rand
大ig,矢art,炭oal,大ig,大ig,大ig
士entleman,医edicine,炭ignite,士entleman,士entleman,士entleman
士ighter,医octor,岸oastal,士ighter,士ighter,士ighter
土round,失ailure,岸seashore,土round,土round,土round
土oil,失issing,正orrect,土oil,土oil,土oil
仕ervice,冊[books],正ccurate,仕ervice,仕ervice,仕ervice
仕ction,血lood,正recise,仕ction,仕ction,仕ction
水ater,血leeding,整ectify,水ater,水ater,水ater
水qua,皿late,整ut in order,水qua,水qua,水qua
氷reeze,皿ish,征onquest,氷reeze,氷reeze,氷reeze
氷ce,盟lliance,征onquer,氷ce,氷ce,氷ce
永ong-lasting,盟onfederacy,波aves,永ong-lasting,永ong-lasting,永ong-lasting
永ternal,月onth,波urrent,永ternal,永ternal,永ternal
主aster,月oon,婆ld woman,主aster,主aster,主aster
主rincipal,明right,婆randma,主rincipal,主rincipal,主rincipal
玉phere,明lear,渡ross-over,玉phere,玉phere,玉phere
玉ewel,凸rotrude,渡and-over,玉ewel,玉ewel,玉ewel
王ing,凸onvex,忙usy,王ing,王ing,王ing
王onarch,凹oncave,忙ectic,王onarch,王onarch,王onarch
