Sentences,Words
昔の友達に会いに行った。,会う
この服は私に合わない。,合う
ひどい目に遭った。,遭う
昨日東京に来たと彼は言った。,言う
その男の子は母親の後を追ってばかりいる。,追う
彼は重要な任務を負っていた。,負う
ワインを買って来てください。,買う
犬を２匹飼っている。,飼う
その部屋の使用許可を請うた。,請う
大きく息を吸う。,吸う
海岸に沿ってホテルが並んでいる。,沿う
結果はわれわれの期待に添わなかった。,添う
彼の意図を問う。,問う
上着のほころびを縫う。,縫う
赤ちゃんは部屋に這ってきた。,這う
花びらが風に舞っていた。,舞う
彼はすでに十分酔っていた。,酔う
戸が開かない。,開く
机と机の間が空いている。,空く
私は明朝大阪へ行きます。,行く
木片が水に浮いている。,浮く
本を元の棚に置いておきなさい。,置く
雑誌に小説を書く。,書く
美しい風景を心に描く。,描く
馬が前脚で地面を掻いている。,掻く
刃物を欠く。,欠く
焼肉のにおいを嗅いで空腹を覚えた。,嗅ぐ
熱心に話を聞く。,聞く
この薬は頭痛によく効く。,効く
自転車を漕ぐ。,漕ぐ
チューリップは春に咲く。,咲く
丸太を二つに裂く。,裂く
鉄道を敷く。,敷く
ご飯を炊く。,炊く
私の母は毎朝パンを焼く。,焚く
暗くならないうちに目的地に着いた。,着く
洋服にインキの染みが付いた。,付く
彼は教職に就いた。,就く
カーテンに火が点いた。,点く
針で親指を突いてしまった。,突く
彼にビールを一杯注いであげてください。,注ぐ
きれい好きは敬神に次ぐ美徳。,次ぐ
医者は彼の折れた足をついだ。,接ぐ
彼に家業を継ぐようにときつけた。,継ぐ
靴ひもを解く。,解く
塩を水で溶く。,溶く
先生はこの点を詳細に説いた。,説く
じゃまにならないようにわきへどきなさい。,退く
包丁を砥石で研ぐ。,研ぐ
その映画館で観客は皆泣いた。,泣く
ぶどう酒の栓を抜く。,抜く
洋服を脱いでゆかたを着た。,脱ぐ
普段はジーンズを履いてるね。,履く
食べたものをみんな吐いてしまった。,吐く
ごみを掃いて捨てる。,掃く
彼らは木の皮を剥いだ。,剥ぐ
ボートを綱で引く。,引く
彼女はピアノを弾きます。,弾く
電車に轢かれて死ぬ。,轢く
風が激しく吹いている。,吹く
手ぬぐいで手をふく。,拭く
スカーフを首に巻く。,巻く
とうもろこしの種を畑に蒔いた。,蒔く
私は息子に芝生に水を撒かせた。,撒く
壁のほうを向いて立つ。,向く
オレンジを剥いてあげよう。,剥く
ステーキはよく焼いてください。,焼く
学校へ自転車で行きます。,行く
湯が沸いている。,沸く
彼の畑から温泉が湧いた。,湧く
荷車を押す。,押す
その本を彼に貸してもらった。,貸す
水をかけて火を消す。,消す
川を越す。,越す
出費が予算を超している。,超す
父は毎朝鉢植えに水を差している。,差す
時計の針は10時５分を指していた。,指す
指にとげを刺した。,刺す
髪にかんざしを挿す。,挿す
車輪には油を注したばかりだ。,注す
木が多すぎると家に光が射さない。,射す
三に二を足すと五になる。,足す
そろそろ夏服を出す季節だ。,出す
私の考えはまだ形をなしていない。,為す
洗たく物を干す。,干す
すばらしい天気は私達の楽しさを増した。,増す
ムール貝とハマグリを加え7分間蒸す。,蒸す
コートをお召しください。,召す
爪を噛むのはよしなさい。,止す
彼女はボールを強く打った。,打つ
今までに銃を撃ったことある？,撃つ
いつかは敵を討つぞ。,討つ
選挙に勝つ。,勝つ
寺は山の中腹に立っている。,立つ
彼がここに移り住んでから３年経った。,経つ
昔は田んぼだった所に巨大な工場が建っている。,建つ
私たちはここを発つところです。,発つ
登山隊が消息を絶った。,絶つ
平手で頬を打たれた。,打つ
ちょっとお待ちください。,待つ
かばんを持ちましょう。,持つ
彼が死んでから５年になる。,死ぬ
ちょうがひらひら飛んでいる。,飛ぶ
急にばったが葉から跳んだ。,跳ぶ
ただちに医者が呼ばれた。,呼ぶ
桜の花が散ってしまった。,編む
川で魚が釣れましたか。,産む
部屋の天井には電灯が吊られていない。,噛む
太陽がさんさんと照っている。,組む
いま自宅を出るところです。,汲む
お手に取ってご覧ください。,酌む
写真を撮ってもらった。,込む
この方法を採ろう。,混む
あなたが捕った魚の写真見たわよ。,住む
イタリア人は日に2回しっかりと食事を摂る。,済む
呼び鈴が鳴っていますよ。,澄む
５人の電車賃はいくらになりますか。,積む
雨は夜半から雪になった。,富む
この木は実がなりますか。,飲む
あの娘は母親によく似ている。,踏む
野菜をとろ火で煮る。,揉む
テーブルにニスを２度塗る。,止む
疲れたから少し寝たい。,病む
これはかなり良く練られた計画だったね。,読む
広島で新幹線に乗った。,有る
君の名が顧客リストに載っている。,在る
ポスターを壁にはった。,居る
会場の周りに幕を張った。,要る
雨がひどく降っている。,煎る
よく振ってからお飲みください。,炒る
会員数が減った。,入る
各種の職業を経る。,売る
地面に深い穴を掘った。,得る
表札に自分の名前を彫った。,得る
私は映画を観るのが好きです。,折る
誰だか行って見て来よう。,居る
医者に診てもらいなさい。,織る
盆にオレンジを盛る。,刈る
雨が降ると必ず屋根から雨水が漏る。,切る
彼はそばへ寄って来た。,着る
重さによって値段が違う。,来る
時計は直しにやってあります。,蹴る
ボールをぶつけて窓ガラスを割ってしまった。,去る
雪が地面を覆った。,知る
私がしなければ誰がする。,為る
ボストンにいるの？,為す
机の上に本がある。,剃る
もう一度言ってくださいませんか。,散る
この壁画は３人の画家の手に成る。,釣る
明日客が二人来る。,吊る
まっすぐ家に帰ろうと思った。,照る
学校へは歩いて行きます。,出る
最近富士山を見ましたか。,取る
仕事が出来た。,撮る
聞くところによると彼は相当できる人らしい。,採る
夕食を食べてしまったところです。,捕る
彼の言っていることは分からない。,摂る
彼は本を手に持っている。,鳴る
そんな発言をしたらどうなるか考えてみなさい。,為る
今宿題をやっている。,成る
今度の急行は５番ホームから出る。,生る
彼はやっと職に就いた。,似る
客から注文を取る。,煮る
聞こうとすれば聞こえる。,塗る
私にプレゼントをくださった。,寝る
どこで会があるか知ってますか。,練る
彼女は私にペンをくれた。,乗る
砂糖はたくさん入っていますか。,載る
本を元の棚に置いておきなさい。,貼る
このなべはミルクを温めるのに使っている。,張る
学校と教会が道をはさんで対している。,降る
駐車場から車を出す。,振る
この工場ではカメラを作っている。,減る
研究を行う。,経る
うわさはうそだとすぐに知れた。,掘る
ここに住所と名前を書きなさい。,彫る
本には用語解説が付けてある。,観る
コーヒーを一杯もらえませんか。,見る
高校で化学を教えている。,診る
カレンダーを壁に掛ける。,盛る
彼はやっと両親の許可を得た。,漏る
屋上から町がよく見える。,寄る
旅行かばんに衣類を入れる。,因る
彼は大学から奨学金を受けている。,遣る
窓の下に大きな足跡が付いていた。,割る
この２枚のドレスは型が違う。,覆う
先生は授業を始めた。,為る
ウエーターを呼んで追加注文した。,居る
彼は帽子を上げて婦人にあいさつした。,有る
トンネルを過ぎて車は海岸に出た。,言う
家が揺れるのを感じた。,成る
地震の最中も彼は講義を続けた。,来る
気分が悪くて晩ごはんが食べられなかった。,思う
壁に絵が掛かっている。,行く
この物質は熱すると気体に変わる。,見る
子供におとぎ話を読んでやる。,出来る
ワインを買って来てください。,拠る
人間は何日間食べずに生きていられますか。,仕舞う
ガラスで指先を切る。,分かる
寺は山の中腹に立っている。,持つ
もう帰ってもよろしい。,考える
万事後でお話しします。,遣る
お茶を飲みながら話し合った。,出る
身分証明書を示した。,就く
彼に関する限り問題はない。,取る
"息子に月3,000円を与ている。",聞く
小切手は昨日いただきました。,下さる
もと来た道を戻らねばならなかった。,知る
本の38ページを開きなさい。,呉れる
交通事故で死ぬ。,入る
校則に従う。,置く
彼は足を止めて地図を見た。,使う
お願いしたいことがあります。,対する
この調子で歩けば30分で着くだろう。,出す
寝ずに夫の帰りを待った。,作る
職を求めている。,行う
彼の偉業は世に認められた。,知れる
3 時にお得意さんと会う約束がある。,書く
雨が５日も続いている。,付ける
壁に向かって立つ。,貰う
私は1998年11月２日大阪で生まれた。,教える
運転免許証を見せてください。,掛ける
ボールが頭に当たった。,得る
試験はすぐに終わる。,見える
車に乗っていてください。,入れる
彼の顔には傷跡が残っている。,受ける
上に述べたようにそれは不可能です。,付く
系図正しき薬で御座る。,違う
看板を立てる。,始める
今出掛けるところだと答えた。,呼ぶ
兄は工場で働いている。,上げる
我が社は世界各地に製品を送ります。,過ぎる
展覧会は来週月曜日に始まる。,感じる
この本には有益な情報が含まれている。,続ける
恐ろしい事故が起こった。,食べる
そのことには何も関わっていません。,掛かる
彼女の住所を忘れた。,変わる
夕飯はもうお済みですか。,読む
その冗談を聞いてどっと笑った。,買う
楽になさってください。,生きる
チャンネル変えてもいい？,切る
カーテンを引いてもいいですか。,立つ
あの店では果物を安く売っている。,帰る
我々は林の中を数キロ進んだ。,話す
彼は道を渡った。,飲む
彼はよいものを選んだ。,示す
子供たちが走って来た。,関する
彼は結局現われなかった。,与える
彼はここに住んでいるのですか。,頂く
彼に伝言を伝えてほしい。,戻る
車が雪にはまって動かなくなった。,開く
彼らは最終の計画を決めた。,死ぬ
教授は私に留学を勧めてくれた。,従う
彼女は近づく危険に気付いていた。,止める
風景を描く。,願う
英語の単語を覚える。,歩く
車の屋根を激しく打つ雨。,待つ
彼らの活動がこの会社の中核を成している。,求める
箱のふたを開ける。,認める
新しい事態に皆の注意を向けた。,会う
老婆は金をねらわれて殺された。,続く
彼は真相を語った。,向かう
信ずる理由がない。,生まれる
声を合わせて歌った。,見せる
その機械は広く用いられている。,当たる
彼は娘を連れて出掛けた。,終わる
私は彼とは意見が異なる。,乗る
ガソリンスタンドはここから遠く離れている。,残る
あなたにこの包みを置いて行きました。,述べる
彼は貸し家を探している。,御座る
この道は秋葉原を経て銀座に至る。,立てる
時が経つにつれて痛みは消えた。,答える
あの娘は母親によく似ている。,働く
危害から身を守る。,送る
日照り続きで困っていた。,始まる
子供を加えて一行は50名であった。,含む
事故の原因を徹底的に調べる。,起こる
これらも放射を生ずる可能性があります。,関わる
彼女の忍耐強さには驚いた。,忘れる
私たちは霧のため方向を失った。,済む
この服は私に合わない。,笑う
金庫の宝石が無くなっている。,為さる
豪雨で川の水かさが増えた。,変える
火山から煙が上がっているのが見えた。,引く
目を覚ましたときには皆もう起きていた。,売る
晴れた日は木陰に座る。,進む
この場合は非常に明瞭な音が聞こえる。,渡る
彼の腕のぬくもりを思い出す。,選ぶ
あなたが許すならもっとよく知りたい。,走る
彼は試験に落ちるだろうか。,現われる
同じあやまちを２度繰り返すな。,住む
地球は地軸を中心にして24時間に１回まわる。,伝える
明朝７時に起こしてください。,動く
英語で話を通じさせる事ができますか。,決める
会場は沖縄と決まった。,勧める
夜はたいていの人が寝る時である。,気付く
以前と比べるとよくなった。,描く
我々の予算は10万円以内に限られている。,覚える
よく振ってからお飲みください。,打つ
彼女の態度は不満を表している。,成す
山を通してトンネルを通した。,開ける
私がお持ち致しましょう。,向ける
彼の指示に基づいて行動した。,殺す
明かりが消えた。,語る
