Verb,Reading,Meaning,Sentence
会う,あう,"to meet, encounter, see",今日彼女と会う約束がある。
合う,あう,"to come together, merge, unite, fit, match, suit",このサラダはほとんど何にでも合う。
遭う,あう,"to meet, encounter",台風でたいへんな被害に遭った。
言う,いう,"to say, utter, name, call, tell",あの子はまだものが言えない。
追う,おう,"to chase, run after, follow, drive out, be pressed",私は全速力で彼の後を追った。
負う,おう,"to bear, carry on one's back, take responsibility, be injured",それはとても私の手に負えない。
買う,かう,"to buy, purchase",昨日銀座へ買い物に行った。
飼う,かう,"to keep, raise, feed",牛を飼って生計を立てている。
請う,こう,"to request, ask, beg, invite ",彼はわたしに赦しを請うた。
吸う,すう,"to smoke, suck, breathe in, inhale ",私はたばこは吸いません。
沿う,そう,"to run along, follow, comply with",鉄道はしばらく川に沿って走っていた。
添う,そう,"to meet expectations, comply, satisfy, accompany, go with, associate with, mix with, marry, be added",ご要望に添えない場合もございます。
問う,とう,"to ask, inquire, question, charge, accuse, not matter",男は傷害罪に問われた。
縫う,ぬう,"to sew, stitch, weave one's way",医者は傷口を５針縫った。
這う,はう,"to creep, crawl",毛虫が枝を這っている。
舞う,まう,"to dance, flutter about, revolve ",木の葉が庭でくるくる舞っていた。
酔う,よう,"to get drunk, become nauseated",かなり酔ってたんだよ。
開く,あく,"to open, become open",店は10時に開く。
空く,あく,"to open, become empty",今は少し席が空いている。
行く,いく,to go,この高速道路は名古屋に行くのですか。
浮く,うく,"to float, become merry, become loose",湾岸地域の開発計画は宙に浮いたままだ。
置く,おく,"to put, leave",花瓶をテーブルのまん中に置いた。
書く,かく,to write,今新しい戯曲を書いている。
描く,かく,"to draw, paint, sketch, depict, describe ",富士山の水彩画を描いている。
掻く,かく,"to scratch, perspire, shovel, rake",かゆい所を掻く。
欠く,かく,"to chip, break, crack, lack ",転んで前歯を欠いた。
嗅ぐ,かぐ,"to sniff, smell",私はこのにおいを嗅ぐと気分が悪くなる。
聞く,きく,"to hear, listen to, ask",今日は私の言うことをぜひ聞いてもらいます。
効く,きく,"to be effective, take effect, be good for, work",テレビのコマーシャルが効いた。
漕ぐ,こぐ,"to row, scull, pedal",湖でボートを漕いで遊んだ。
咲く,さく,to bloom,桜が咲いてるよ。
裂く,さく,"to tear, split",布をずたずたに裂く。
敷く,しく,"to spread out, lay out",布団を敷く。
炊く,たく,"to boil, cook",五目ご飯を炊く。
焚く,たく,"to burn, kindle, build a fire ",私は浜辺で肌を焼いた。
着く,つく,"to arrive, reach, sit on, sit at",何時にそこに着きましたか。
付く,つく,"to be attached, be connected, adhere, stick, scar, stain, accompany",この商品には景品が付いている。
就く,つく,"to take (seat, position), get a job",彼は大統領によって要職に就いた。
点く,つく,"to catch fire, (electricity) comes on ",浴室の電気がつきません。
突く,つく,"to thrust, strike, poke ",くぎが壁を突きぬけた。
注ぐ,つぐ,"to pour (into), irrigate, pay ",彼女はお客たちにお茶をついだ。
次ぐ,つぐ,"to rank next to, come after ",会合は次ぎの日曜日に行われる。
接ぐ,つぐ,"to join, pice together, set (bones), graft (tress)",病院で骨を接いでもらった。
継ぐ,つぐ,to succeed,この会社は誰が引き継ぐと思う？
解く,とく,"to unfasten, solve",包みを解く。
溶く,とく,to dissolve (paint),小麦粉と卵を水またはだし汁で溶く。
説く,とく,"to explain, advocate, preach, persuade ",彼は息子の誤りをこんこんと説いた。
退く,どく,"to retreat, recede, withdraw ",彼は一歩退いた。
研ぐ,とぐ,"to sharpen, grind, scour, hone, polish, wash(rice) ",革でかみそりを研ぐ。
泣く,なく,"to weep, cry",彼女は身を震わせて泣いた。
抜く,ぬく,"to extract, omit, surpass, draw out, unplug ",棚の本の中から１冊を抜いた。
脱ぐ,ぬぐ,to take off clothes,濡れた服脱ぎなよ。
履く,はく,"to wear, put on (lower body) ",赤い靴を履いた女の子。
吐く,はく,"to vomit, emit, make comment, tell",車に酔って吐きそうになった。
掃く,はく,"to sweep, brush, gather up ",落葉を掃いて集める。
剥ぐ,はぐ,"to tear off, peel off, rip off, strip off, disrobe, deprive of ",包装紙を剥ぐ。
引く,ひく,"to pull, tug, lead, draw, attract, catch, deduct",カーテンを引いて開ける。
弾く,ひく,"to play an instrument with strings, including piano ",その少女は大変上手にギターを弾く。
轢く,ひく,"to run somebody over, knock someone down ",おばあさんが車にひかれた。
吹く,ふく,to blow,笛を吹いたら試合をやめなさい。
拭く,ふく,"to wipe, to dry",ふきんで皿をふく。
巻く,まく,"to wind, coil, roll, envelope",時計のねじを巻く。
蒔く,まく,"to sow (seeds), plant",農民が穀物の種を蒔いた。
撒く,まく,"to scatter, to sprinkle, to sow ",彼はホースを使って庭に水を撒いていました。
向く,むく,"to turn toward, look, face, point, be suited, fit for, go towards",窓は庭に向いている。
剥く,むく,"to peel, skin, pare, hull, open wide",大根の皮を薄く剥く。
焼く,やく,"to bake, grill, roast, broil, burn",パンはオーブンで焼いて作られる。
行く,いく,"to go, move, head towards, proceed",この列車は大阪へ行きますか。
