W1,T1,W2,T2,W3,T3
競って取り組んでいた,engage competitively,考えてくれているように,like you're thinking about it,合わせみたいじゃない,it looks like a match
体系化された,made systematically,お前のことを思っているんだ,thinking about you,妹と待ち合わせているんだ,i’m meeting up with my sister
どう報いればいいのだろうか,how should we reward them?,選ばれることはない,never be chosen,お待たせいたしました,thank you for waiting
納得できません,i’m not convinced,見せてくれ,let me see,また会いましたね,we meet again
優先されるんだ,made priority,それではいってまいります,i’m off then,ご挨拶させていただいただけですから,just wanted to greet you
分かっているだろ？,"you know that, right?",行っておいで,go ahead,謝ることじゃないさ,no need to apologize
申し訳ございません,i’m sorry,見ていてくださいね,watch me,当てにされていたと思えば,if you think they were counting on you
怒ってくれる,get mad at me,潰そうか,shall we crush it?,そうおっしゃるのであれば,if you say so
それに救われているんだ,that's what's saving me,お隣は空いていますか？,Is the next one available?,存じております,i know
叱ってばかり,keep scolding,面白い偶然と言っていいのかな？,can we say interesting coincidence?,落ち着いてもらえませんか？,would you please calm down?
