W1,R1,T1,W2,R2,T2,W3,R3,T3,W4,R4,T4
お金,おかね,money,作業,さぎょう,work,余裕,よゆう,room,介護,かいご,nursing
お父さん,おとうさん,father,作品,さくひん,the work,要素,ようそ,element,介入,かいにゅう,intervention
お母さん,おかあさん,mom,使用,しよう,use,翼,つばさ,wings,会見,かいけん,press conference
こんな,こんな,such,思わず,おもわず,involuntarily,裸,はだか,naked,会談,かいだん,parley
さあ,さあ,"come, well",持ち上げる,もちあげる,lift,嵐,あらし,storm,解ける,ほどける,unravel
さん,さん,mr. miss.,自ら,みずから,oneself,利益,りえき,profit,解除,かいじょ,lift
そう,そう,"so, really, seeming",自動,じどう,automatic,理論,りろん,theory,解剖,かいぼう,anatomy
そんな,そんな,such,室,しつ,room,離す,はなす,release,回収,かいしゅう,collect
どうも,どうも,thanks,質,しつ,quality,離れる,はなれる,leave,回路,かいろ,circuit
もう,もう,already,借金,しゃっきん,debt,離婚,りこん,divorce,改革,かいかく,reform
もっと,もっと,more,手間,てま,time,率,りつ,rate,改修,かいしゅう,refurbishment
ゆっくり,ゆっくり,slowly,手入れ,ていれ,maintenance,礼儀,れいぎ,courtesy,改定,かいてい,modification
アパート,アパート,apartment,重大,じゅうだい,serious,劣る,おとる,inferior,改良,かいりょう,improvement
エレベーター,エレベーター,elevator,出会い,であい,encounter,化粧,けしょう,make up,海峡,かいきょう,strait
カップ,カップ,cup,出来事,できごと,event,助言,じょげん,advice,開催,かいさい,hold
カメラ,カメラ,camera,書店,しょてん,bookstore,傷,きず,scratch,開拓,かいたく,pioneering
カレー,カレー,curry,小屋,こや,hut,敵,てき,enemy,開発,かいはつ,development
カレンダー,カレンダー,calendar,上京,じょうきょう,go to tokyo,梅雨,つゆ,rainy season,階級,かいきゅう,class
キロ,キロ,kilo,食品,しょくひん,food,避ける,さける,avoid,階層,かいそう,hierarchy
ギター,ギター,guitar,食料,しょくりょう,food,描く,えがく,draw,外貨,がいか,foreign currency
クラス,クラス,class,真っ赤,まっか,bright red,雷,かみなり,thunder,外観,がいかん,exterior
グラム,グラム,gram,親しい,したしい,close,飽きる,あきる,get bored,外相,がいしょう,foreign minister
コート,コート,coat,親友,しんゆう,close friend,怪しい,あやしい,suspicious,外来,がいらい,outpatient
コップ,コップ,cup,人工,じんこう,artificial,あらゆる,あらゆる,every,概念,がいねん,concept
シャツ,シャツ,shirt,図,ず,figure,覆う,おおう,cover,街頭,がいとう,street
シャワー,シャワー,shower,世の中,よのなか,world,丘,おか,hill,街道,かいどう,highway
スカート,スカート,skirt,世間,せけん,the world,影,かげ,shadow,各種,かくしゅ,various
ストーブ,ストーブ,stove,正午,しょうご,noon,陰,かげ,shadow,拡散,かくさん,diffusion
スプーン,スプーン,spoon,生地,きじ,material,桜,さくら,cherry blossoms,格差,かくさ,disparity
スポーツ,スポーツ,sports,青年,せいねん,youth,砂漠,さばく,desert,核,かく,nuclear
ズボン,ズボン,pants,切れる,きれる,cut,刺激,しげき,stimulation,核心,かくしん,core
セーター,セーター,sweater,先ず,まず,first,絞る,しぼる,squeeze,獲得,かくとく,acquired
ゼロ,ゼロ,zero,前者,ぜんしゃ,former,事態,じたい,situation,確定,かくてい,confirm
タクシー,タクシー,taxi,足る,たる,sufficient,勧める,すすめる,recommend,確保,かくほ,secure
テーブル,テーブル,table,多少,たしょう,somewhat,退屈,たいくつ,boring,確立,かくりつ,established
テープ,テープ,tape,体重,たいじゅう,body weight,蓄える,たくわえる,store,革新,かくしん,innovation
テスト,テスト,test,貸し,かし,lending,激しい,はげしい,intense,革命,かくめい,revolution
テレビ,テレビ,tv set,代金,だいきん,price,馬鹿,ばか,fool,学芸,がくげい,gakugei
デパート,デパート,department store,代理,だいり,proxy,引っ張る,ひっぱる,pull,学歴,がくれき,educational background
トイレ,トイレ,toilet,台,だい,platform,故郷,こきょう,hometown,楽観,らっかん,optimism
ドア,ドア,door,大家,おおや,landlord,保証,ほしょう,guarantee,楽譜,がくふ,musical score
ナイフ,ナイフ,knife,大会,たいかい,tournament,褒める,ほめる,praise,活発,かっぱつ,active
ニュース,ニュース,news,大使,たいし,ambassador,基づく,もとづく,based on,叶う,かなう,come true
ネクタイ,ネクタイ,tie,題,だい,title,履く,はく,wear,叶える,かなえる,will come true
ノート,ノート,note,知事,ちじ,governor,演奏,えんそう,performance,株式,かぶしき,stock
ハンカチ,ハンカチ,handkerchief,地,ち,ground,途端,とたん,immediately,刊行,かんこう,publication
バス,バス,bus,地下,ちか,underground,眺め,ながめ,view,勧告,かんこく,recommendation
バター,バター,butter,地方,ちほう,local,恵まれる,めぐまれる,blessed,勧誘,かんゆう,solicitation
パーティー,パーティー,party,中止,ちゅうし,cancel,級,きゅう,class,耐える,たえる,endure
パン,パン,bread,中心,ちゅうしん,center,詩,し,poetry,堪える,たえる,bear
フィルム,フィルム,the film,注文,ちゅうもん,orde,氏,し,mr,官僚,かんりょう,officials
フォーク,フォーク,fork,注目,ちゅうもく,attention,おしゃべり,おしゃべり,talking,寛容,かんよう,tolerance
プール,プール,pool,度,たび,every time,くっつく,くっつく,stick together,干渉,かんしょう,interference
ベッド,ベッド,bed,土地,とち,land,しきりに,しきりに,frequently,幹線,かんせん,trunk line
ペン,ペン,pen,動かす,うごかす,move,それとも,それとも,or,幹部,かんぶ,executives
ホテル,ホテル,hotel,動作,どうさ,motion,ぶつかる,ぶつかる,collide,感慨,かんがい,impression
ボールペン,ボールペン,ballpoint pen,同一,どういつ,same,やがて,やがて,eventually,感触,かんしょく,feel
ポケット,ポケット,pocket,特急,とっきゅう,limited express,溢れる,あふれる,overflowing,感染,かんせん,infection
マッチ,マッチ,match,入場,にゅうじょう,admission,噂,うわさ,rumor,慣行,かんこう,practice
メートル,メートル,meter,年代,ねんだい,age,餌,えさ,feed,慣習,かんしゅう,habit
ラジオ,ラジオ,radio,売れる,うれる,sell,いつか,いつか,sometimes,換算,かんさん,conversion
レコード,レコード,record,発,はつ,departure,蓋,ふた,lid,歓声,かんせい,cheers
レストラン,レストラン,restaurant,発見,はっけん,discover,まるで,まるで,as if,監視,かんし,surveillance
安い,やすい,cheap,発行,はっこう,issue,ごく,ごく,very,看護,かんご,nurse
一,いち,one,病,やまい,disease,僅か,わずか,subtle,簡易,かんい,simple
一つ,ひとつ,one,不安,ふあん,anxiety,近頃,ちかごろ,recently,簡素,かんそ,simple
飲む,のむ,drink,不運,ふうん,bad luck,つながる,つながる,connect,緩める,ゆるめる,loosen
右,みぎ,right,不正,ふせい,illegal,つなぐ,つなぐ,connect,緩やか,ゆるやか,loose
駅,えき,station,不足,ふそく,lack,ことわざ,ことわざ,way of saying,緩和,かんわ,relief
円,えん,circle,父親,ちちおや,father,おめでとう,おめでとう,congrats,観,かん,view
下手,へた,poor,分野,ぶんや,field,ご覧,ごらん,see,観点,かんてん,perspective
どうぞ,どうぞ,please,文,ぶん,sentence,たちまち,たちまち,immediately,貫く,つらぬく,penetrate
花,はな,flower,文字,もじ,letter,さようなら,さようなら,good bye,還元,かんげん,reduction
会社,かいしゃ,society,別れ,わかれ,farewell,撒く,まく,sprinkle,関税,かんぜい,customs duty
外国,がいこく,foreign country,歩道,ほどう,sidewalk,しかる,しかる,sure,関与,かんよ,involvement
学校,がっこう,school,母親,ははおや,mother,蹴る,ける,kick,頑固,がんこ,stubborn
学生,がくせい,student,味わう,あじわう,taste,いとこ,いとこ,cousin,企画,きかく,plan
休み,やすみ,holiday,味方,みかた,allies,いわゆる,いわゆる,so-called,危機,きき,crisis
休む,やすむ,rest,目立つ,めだつ,stand out,拭く,ふく,wipe,喜劇,きげき,comedy
空,そら,sky,野,の,field,尻,しり,butt,基金,ききん,fund
見せる,みせる,show,有料,ゆうりょう,paid,尻尾,まさか,tail,既婚,きこん,married
見る,みる,look,用いる,もちいる,use,まさか,まさか,no way,期日,きじつ,deadline
古い,ふるい,old,用心,ようじん,beware,親戚,しんせき,relatives,機構,きこう,mechanism
五,ご,five,立ち止まる,たちどまる,stop,ついに,ついに,finally,気軽,きがる,feel free
五つ,いつつ,five,立ち上がる,たちあがる,stand up,まさに,まさに,exactly,気質,きしつ,temperament
午後,ごご,afternoon,立場,たちば,position,あいにく,あいにく,unfortunately,気象,きしょう,weather
午前,ごぜん,morning,旅,たび,journey,羨ましい,うらやましい,jealous,祈り,いのり,prayer
後ろ,うしろ,behind,料金,りょうきん,price,ようやく,ようやく,at last,規格,きかく,standard
語,ご,word,力,りょく,power,かく,かく,write,規制,きせい,regulation
口,くち,mouth,話題,わだい,topic,袖,そで,sleeve,規定,きてい,regulations
高い,たかい,expensive,一家,いっか,family,それでも,それでも,nevertheless,規模,きぼ,scale
今,いま,now,姉妹,しまい,sisters,そこで,そこで,therefore,規約,きやく,terms
今月,こんげつ,this month,主人,しゅじん,master,揃える,そろえる,align,記す,しるす,write
今週,こんしゅう,this week,少女,しょうじょ,girl,わざと,わざと,on purpose,記載,きさい,description
左,ひだり,left,注ぐ,そそぐ,pour it up,おとなしい,おとなしい,quiet,記述,きじゅつ,description
三つ,みっつ,three,転ぶ,ころぶ,fall,叩く,たたく,hit,貴族,きぞく,aristocrat
山,やま,mountain,空く,すく,free,しゃべる,しゃべる,chatter,起点,きてん,starting point
四つ,よっつ,four,足元,あしもと,foot,じかに,じかに,directly,軌道,きどう,orbit
時,とき,time,言う,ゆう,to tell,掴む,つかむ,grab,偽造,ぎぞう,counterfeit
時間,じかん,time,思い出,おもいで,memory,潰す,つぶす,crush,戯曲,ぎきょく,drama
耳,みみ,ear,少々,しょうしょう,a little,諦める,あきらめる,give up,技,わざ,technique
七,なな,seven,銀,ぎん,silver,釘,くぎ,nail,技能,ぎのう,skill
車,くるま,car,少なくとも,すくなくとも,at least,溺れる,おぼれる,drown,犠牲,ぎせい,sacrifice
手,て,hand,建つ,たつ,stand,うさぎ,うさぎ,rabbit,疑惑,ぎわく,suspicion
週間,しゅうかん,week,出会う,であう,meet,とにかく,とにかく,anyways,義理,ぎり,in-law
出す,だす,put out,計る,はかる,scale,ともかく,ともかく,anyway,議案,ぎあん,bill
出る,でる,get out,昼食,ちゅうしょく,lunch,謎,なぞ,mystery,議決,ぎけつ,voting
出口,でぐち,exit,広がる,ひろがる,spread,鍋,なべ,pot,議題,ぎだい,agenda
出来る,できる,can do,広げる,ひろげる,spread,どうしても,どうしても,no matter what,客観,きゃっかん,objective
書く,かく,write,お昼,おひる,noon,覗く,のぞく,look in,脚本,きゃくほん,screenplay
女,おんな,woman,不,ふ,unlucky,莫大,ばくだい,enormous,逆転,ぎゃくてん,reversal
女の子,おんなのこ,girl,者,しゃ,person,膝,ひざ,knees,休める,やすめる,rest
小さい,ちいさい,small,元,もと,former,ひじ,ひじ,elbow,及ぶ,およぶ,reach
少し,すこし,"a little, few",安定,あんてい,stable,紐,ひも,string,宮殿,きゅうでん,palace
上,うえ,up,委員,いいん,committee member,ふと,ふと,suddenly,弓,ゆみ,bow
上げる,あげる,increase,易い,やすい,easy,物凄い,ものすごい,awesome,救い,すくい,salvation
上手,じょうず,good,育つ,そだつ,growing up,しかも,しかも,"moreover,",救援,きゅうえん,relief
食べる,たべる,eat,一流,いちりゅう,top notch,およそ,およそ,about,救済,きゅうさい,relief
新聞,しんぶん,newspaper,引退,いんたい,retirement,枕,まくら,pillow,究極,きゅうきょく,ultimate
人,じん,man,羽,はね,wing,みょう,みょう,myo,給食,きゅうしょく,school lunch
水,みず,water,営業,えいぎょう,sales,儲ける,もうける,make money,居住,きょじゅう,residence
生まれる,うまれる,to be born,横切る,よこぎる,cross,ただ,ただ,however,拒否,きょひ,rejection
西,にし,west,横断,おうだん,crossing,ほぼ,ほぼ,almost,許容,きょよう,tolerance
先,さき,ahead,王子,おうじ,prince,溜まる,たまる,accumulate,距離,きょり,distance
先月,せんげつ,last month,王様,おうさま,king,脇,わき,side,漁船,ぎょせん,fishing boat
先週,せんしゅう,last week,屋根,やね,roof,嗅ぐ,かぐ,smell,享受,きょうじゅ,enjoy
先生,せんせい,teacher,温度,おんど,temperature,埃,ほこり,dust,共感,きょうかん,sympathy
